active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,11,5,MIAMI HEAT,HOME,CHICAGO BULLS,LOSS,808,5,6,1,1,0,0,1,2,1,0,0,2,5,6.8
True,2022-10-21,2,-18,MIAMI HEAT,HOME,BOSTON CELTICS,LOSS,523,1,3,0,1,0,0,0,0,0,0,0,0,2,-0.5
True,2022-10-22,2,-2,MIAMI HEAT,HOME,TORONTO RAPTORS,WIN,740,1,1,0,0,0,0,1,2,1,0,0,1,2,1.9
True,2022-10-24,0,-13,MIAMI HEAT,HOME,TORONTO RAPTORS,LOSS,619,0,1,0,0,0,0,0,1,0,0,0,0,1,-0.8
True,2022-10-26,2,1,MIAMI HEAT,AWAY,PORTLAND TRAIL BLAZERS,WIN,315,1,1,0,0,0,0,0,1,0,0,0,0,2,1.2
True,2022-11-01,9,7,MIAMI HEAT,HOME,GOLDEN STATE WARRIORS,WIN,649,2,4,1,3,4,4,0,5,0,0,0,1,0,7.5
True,2022-11-02,10,1,MIAMI HEAT,HOME,SACRAMENTO KINGS,WIN,954,4,6,2,3,0,0,2,6,3,0,1,1,3,11.2
True,2022-11-04,4,-5,MIAMI HEAT,AWAY,INDIANA PACERS,LOSS,848,0,2,0,1,4,4,1,3,0,0,0,1,2,2.4
True,2022-11-07,10,-5,MIAMI HEAT,HOME,PORTLAND TRAIL BLAZERS,LOSS,877,3,5,0,1,4,4,0,6,1,0,0,0,0,10.2
True,2022-11-10,7,-4,MIAMI HEAT,HOME,CHARLOTTE HORNETS,WIN,864,3,6,0,1,1,4,1,1,0,1,0,0,5,2.8
True,2022-11-12,7,-2,MIAMI HEAT,HOME,CHARLOTTE HORNETS,WIN,798,3,7,1,2,0,0,3,1,2,0,3,0,2,8.4
True,2022-11-14,12,-11,MIAMI HEAT,HOME,PHOENIX SUNS,WIN,706,5,7,2,3,0,0,3,1,0,0,1,0,0,12.2
True,2022-11-16,9,-7,MIAMI HEAT,AWAY,TORONTO RAPTORS,LOSS,955,4,4,0,0,1,3,0,0,0,0,0,2,2,4.2
True,2022-11-20,10,-10,MIAMI HEAT,AWAY,CLEVELAND CAVALIERS,LOSS,788,3,8,0,2,4,4,1,4,0,1,1,1,0,8.2
True,2022-11-21,10,5,MIAMI HEAT,AWAY,MINNESOTA TIMBERWOLVES,LOSS,744,3,7,1,2,3,4,1,2,3,0,0,0,3,8.1
True,2022-11-23,9,2,MIAMI HEAT,HOME,WASHINGTON WIZARDS,WIN,759,3,5,0,1,3,3,0,2,1,0,2,0,1,9.0
True,2022-11-25,9,2,MIAMI HEAT,HOME,WASHINGTON WIZARDS,WIN,762,4,8,0,0,1,1,2,3,0,1,0,1,1,6.9
True,2022-11-27,13,7,MIAMI HEAT,AWAY,ATLANTA HAWKS,WIN,858,6,7,1,2,0,2,1,5,0,1,0,1,1,11.5
True,2022-12-02,2,-1,MIAMI HEAT,AWAY,BOSTON CELTICS,WIN,521,1,3,0,2,0,0,0,4,0,0,0,1,3,-0.7
True,2022-12-05,0,-17,MIAMI HEAT,AWAY,MEMPHIS GRIZZLIES,LOSS,556,0,5,0,1,0,0,2,4,0,0,0,1,4,-3.5
True,2022-12-08,6,-8,MIAMI HEAT,HOME,LOS ANGELES CLIPPERS,WIN,695,3,5,0,1,0,1,0,3,0,1,1,1,3,3.7
True,2022-12-10,2,-8,MIAMI HEAT,HOME,SAN ANTONIO SPURS,LOSS,939,1,8,0,3,0,0,2,3,1,0,1,1,3,-1.7
True,2022-12-12,6,4,MIAMI HEAT,AWAY,INDIANA PACERS,WIN,762,2,3,0,0,2,2,3,3,1,0,0,0,3,7.2
True,2022-12-14,7,14,MIAMI HEAT,AWAY,OKLAHOMA CITY THUNDER,WIN,873,2,5,2,4,1,2,0,6,0,0,1,0,2,5.6
True,2022-12-17,3,-19,MIAMI HEAT,AWAY,SAN ANTONIO SPURS,WIN,462,1,3,0,1,1,2,1,0,1,0,1,1,1,1.6
True,2022-12-20,3,4,MIAMI HEAT,HOME,CHICAGO BULLS,LOSS,598,1,2,0,1,1,2,1,3,0,1,0,1,2,2.4
True,2023-01-04,2,-3,MIAMI HEAT,AWAY,LOS ANGELES LAKERS,LOSS,396,1,1,0,0,0,0,0,3,0,0,1,1,3,1.1
True,2023-01-06,2,-9,MIAMI HEAT,AWAY,PHOENIX SUNS,WIN,585,1,2,0,0,0,0,2,2,0,0,0,1,2,1.2
True,2023-01-10,2,-3,MIAMI HEAT,HOME,OKLAHOMA CITY THUNDER,WIN,297,0,0,0,0,2,2,0,3,0,0,0,0,0,2.9
True,2023-02-04,0,-8,MIAMI HEAT,AWAY,MILWAUKEE BUCKS,LOSS,736,0,4,0,1,0,0,0,2,1,1,1,0,3,-1.0
True,2023-03-12,4,-3,PHILADELPHIA 76ERS,HOME,WASHINGTON WIZARDS,WIN,288,2,2,0,0,0,0,0,1,1,0,0,0,1,4.0
True,2023-03-17,2,4,PHILADELPHIA 76ERS,AWAY,CHARLOTTE HORNETS,WIN,383,1,1,0,0,0,2,0,3,1,1,0,0,2,2.7
True,2023-03-18,2,1,PHILADELPHIA 76ERS,AWAY,INDIANA PACERS,WIN,169,1,1,0,0,0,0,0,1,0,0,0,1,0,1.0
True,2023-03-22,2,-10,PHILADELPHIA 76ERS,AWAY,CHICAGO BULLS,WIN,579,1,3,0,0,0,0,3,1,0,0,1,1,1,2.0
True,2023-03-25,0,-13,PHILADELPHIA 76ERS,AWAY,PHOENIX SUNS,LOSS,562,0,1,0,1,0,0,1,1,0,0,2,1,2,-0.1
