active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,35,1,PHILADELPHIA 76ERS,AWAY,BOSTON CELTICS,LOSS,2237,9,14,5,9,12,12,0,8,7,0,0,3,3,31.9
True,2022-10-20,31,5,PHILADELPHIA 76ERS,HOME,MILWAUKEE BUCKS,LOSS,2420,13,24,1,7,4,4,0,8,9,2,1,2,2,28.0
True,2022-10-22,12,0,PHILADELPHIA 76ERS,HOME,SAN ANTONIO SPURS,LOSS,2417,4,18,1,6,3,4,4,5,12,1,2,2,3,12.5
True,2022-10-24,29,16,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,WIN,2079,10,18,5,10,4,4,0,9,11,2,0,1,2,31.0
True,2022-10-26,18,-6,PHILADELPHIA 76ERS,AWAY,TORONTO RAPTORS,LOSS,2139,5,12,3,6,5,6,0,7,9,0,1,3,2,16.5
True,2022-10-28,11,3,PHILADELPHIA 76ERS,AWAY,TORONTO RAPTORS,WIN,2023,4,9,0,3,3,3,1,3,4,0,2,5,2,6.3
True,2022-10-29,15,-3,PHILADELPHIA 76ERS,AWAY,CHICAGO BULLS,WIN,2160,2,13,0,5,11,11,0,6,11,2,0,3,0,15.2
True,2022-10-31,23,8,PHILADELPHIA 76ERS,AWAY,WASHINGTON WIZARDS,WIN,2257,8,17,2,6,5,6,0,7,17,2,0,4,2,25.1
True,2022-11-02,24,-9,PHILADELPHIA 76ERS,HOME,WASHINGTON WIZARDS,LOSS,2104,8,18,3,8,5,6,0,5,10,1,0,3,2,19.9
True,2022-12-05,21,4,PHILADELPHIA 76ERS,AWAY,HOUSTON ROCKETS,LOSS,2304,4,19,4,11,9,10,1,3,7,2,0,7,2,9.6
True,2022-12-09,28,10,PHILADELPHIA 76ERS,HOME,LOS ANGELES LAKERS,WIN,2841,9,19,3,8,7,8,1,3,12,2,1,5,2,24.8
True,2022-12-11,19,18,PHILADELPHIA 76ERS,HOME,CHARLOTTE HORNETS,WIN,2295,6,12,3,8,4,5,1,8,16,0,1,4,3,22.4
True,2022-12-13,21,24,PHILADELPHIA 76ERS,HOME,SACRAMENTO KINGS,WIN,2155,7,13,4,7,3,6,0,7,15,5,0,6,2,24.3
True,2022-12-16,27,8,PHILADELPHIA 76ERS,HOME,GOLDEN STATE WARRIORS,WIN,2190,8,15,4,8,7,9,1,4,9,0,0,4,4,21.5
True,2022-12-19,14,14,PHILADELPHIA 76ERS,HOME,TORONTO RAPTORS,WIN,2516,5,14,1,6,3,3,0,7,8,1,0,5,2,9.1
True,2022-12-21,15,8,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,WIN,1954,6,14,2,7,1,2,0,2,8,1,1,4,2,10.3
True,2022-12-23,20,11,PHILADELPHIA 76ERS,HOME,LOS ANGELES CLIPPERS,WIN,2466,6,17,3,6,5,6,0,11,21,1,0,3,2,25.3
True,2022-12-25,29,10,PHILADELPHIA 76ERS,AWAY,NEW YORK KNICKS,WIN,2601,7,16,5,11,10,11,0,4,13,4,1,1,3,33.0
True,2022-12-27,26,-2,PHILADELPHIA 76ERS,AWAY,WASHINGTON WIZARDS,LOSS,2389,7,14,2,8,10,10,0,7,13,3,1,5,1,28.5
True,2022-12-30,20,3,PHILADELPHIA 76ERS,AWAY,NEW ORLEANS PELICANS,LOSS,2121,5,8,4,7,6,6,0,1,10,0,0,7,1,16.3
True,2023-01-02,27,10,PHILADELPHIA 76ERS,HOME,NEW ORLEANS PELICANS,WIN,2298,8,19,3,9,8,10,0,2,8,2,1,1,3,22.8
True,2023-01-04,26,-4,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,WIN,2560,8,20,2,8,8,10,0,6,8,1,2,4,3,19.0
True,2023-01-06,17,-10,PHILADELPHIA 76ERS,HOME,CHICAGO BULLS,LOSS,2023,4,17,3,9,6,8,5,2,11,1,0,1,0,17.7
True,2023-01-08,20,7,PHILADELPHIA 76ERS,AWAY,DETROIT PISTONS,WIN,1683,7,14,3,5,3,4,1,10,11,0,1,1,2,22.9
True,2023-01-10,16,35,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,WIN,1562,6,7,2,3,2,3,1,11,15,2,0,3,1,26.2
True,2023-01-12,24,-4,PHILADELPHIA 76ERS,HOME,OKLAHOMA CITY THUNDER,LOSS,2185,6,13,5,10,7,8,0,6,15,1,0,7,3,22.0
True,2023-01-14,31,-2,PHILADELPHIA 76ERS,AWAY,UTAH JAZZ,WIN,2261,11,19,4,10,5,5,1,5,11,0,0,2,4,28.4
True,2023-01-15,24,1,PHILADELPHIA 76ERS,AWAY,LOS ANGELES LAKERS,WIN,2189,9,15,4,7,2,2,0,7,13,1,1,2,3,26.8
True,2023-01-17,6,3,PHILADELPHIA 76ERS,AWAY,LOS ANGELES CLIPPERS,WIN,1892,1,6,0,4,4,4,0,3,9,1,1,3,1,7.7
True,2023-01-19,16,3,PHILADELPHIA 76ERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2029,6,11,1,4,3,4,0,10,14,0,0,5,3,16.9
True,2023-01-25,23,4,PHILADELPHIA 76ERS,HOME,BROOKLYN NETS,WIN,2108,6,12,5,10,6,7,0,3,7,2,1,6,4,17.5
True,2023-01-28,17,-3,PHILADELPHIA 76ERS,HOME,DENVER NUGGETS,WIN,2147,5,10,3,6,4,6,1,3,13,0,0,0,1,21.5
True,2023-01-30,17,-19,PHILADELPHIA 76ERS,HOME,ORLANDO MAGIC,LOSS,2097,5,14,3,9,4,4,0,8,6,0,0,2,2,13.0
True,2023-02-01,26,7,PHILADELPHIA 76ERS,HOME,ORLANDO MAGIC,WIN,2254,7,13,6,10,6,7,1,8,10,1,0,7,2,22.6
