active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,2,4,PHILADELPHIA 76ERS,AWAY,BOSTON CELTICS,LOSS,644,1,3,0,0,0,0,0,0,0,0,1,1,3,-1.2
True,2022-10-20,0,-2,PHILADELPHIA 76ERS,HOME,MILWAUKEE BUCKS,LOSS,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-10-22,0,-12,PHILADELPHIA 76ERS,HOME,SAN ANTONIO SPURS,LOSS,553,0,0,0,0,0,0,2,0,0,0,0,0,0,1.4
True,2022-10-24,5,7,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,WIN,637,0,2,0,0,5,6,0,0,0,0,1,0,1,3.5
True,2022-10-26,0,-4,PHILADELPHIA 76ERS,AWAY,TORONTO RAPTORS,LOSS,255,0,0,0,0,0,2,0,1,0,0,0,0,0,-0.5
True,2022-10-28,9,12,PHILADELPHIA 76ERS,AWAY,TORONTO RAPTORS,WIN,1042,4,4,0,0,1,1,0,2,2,0,1,2,1,8.1
True,2022-10-29,3,10,PHILADELPHIA 76ERS,AWAY,CHICAGO BULLS,WIN,719,1,4,0,0,1,2,2,2,2,1,0,0,2,3.8
True,2022-10-31,7,8,PHILADELPHIA 76ERS,AWAY,WASHINGTON WIZARDS,WIN,814,3,6,0,0,1,1,1,3,0,1,2,0,2,7.2
True,2022-11-02,0,-9,PHILADELPHIA 76ERS,HOME,WASHINGTON WIZARDS,LOSS,744,0,1,0,0,0,0,0,1,0,0,0,0,2,-1.2
True,2022-11-04,14,-4,PHILADELPHIA 76ERS,HOME,NEW YORK KNICKS,LOSS,1745,4,6,0,0,6,8,1,6,1,1,0,0,1,14.4
True,2022-11-10,8,7,PHILADELPHIA 76ERS,AWAY,ATLANTA HAWKS,LOSS,206,3,3,0,0,2,3,1,1,0,1,0,0,1,8.3
True,2022-11-13,4,-7,PHILADELPHIA 76ERS,HOME,UTAH JAZZ,WIN,337,2,3,0,0,0,0,1,1,0,0,1,2,1,2.0
True,2022-11-18,1,-2,PHILADELPHIA 76ERS,HOME,MILWAUKEE BUCKS,WIN,297,0,0,0,0,1,4,1,0,0,0,0,0,0,0.5
True,2022-11-19,3,-1,PHILADELPHIA 76ERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,429,1,1,0,0,1,2,0,0,1,0,0,2,3,-0.2
True,2022-11-22,6,-10,PHILADELPHIA 76ERS,HOME,BROOKLYN NETS,WIN,945,2,8,0,0,2,2,6,1,0,0,0,1,1,4.3
True,2022-11-23,16,-4,PHILADELPHIA 76ERS,AWAY,CHARLOTTE HORNETS,LOSS,1307,4,7,0,0,8,8,2,5,1,0,0,1,2,14.5
True,2022-11-25,14,16,PHILADELPHIA 76ERS,AWAY,ORLANDO MAGIC,WIN,1680,5,8,0,0,4,4,3,5,1,0,0,2,1,12.3
True,2022-11-27,9,2,PHILADELPHIA 76ERS,AWAY,ORLANDO MAGIC,WIN,1072,3,6,0,0,3,4,0,7,1,0,2,0,1,9.4
True,2022-11-30,2,-7,PHILADELPHIA 76ERS,AWAY,CLEVELAND CAVALIERS,LOSS,499,1,1,0,0,0,0,1,2,1,0,0,2,0,1.7
True,2022-12-05,0,-6,PHILADELPHIA 76ERS,AWAY,HOUSTON ROCKETS,LOSS,312,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.4
True,2022-12-09,0,3,PHILADELPHIA 76ERS,HOME,LOS ANGELES LAKERS,WIN,200,0,0,0,0,0,0,0,1,0,0,0,0,2,-0.5
True,2022-12-11,9,6,PHILADELPHIA 76ERS,HOME,CHARLOTTE HORNETS,WIN,777,4,5,0,0,1,3,2,1,4,0,1,0,2,10.7
True,2022-12-13,0,14,PHILADELPHIA 76ERS,HOME,SACRAMENTO KINGS,WIN,727,0,2,0,0,0,0,0,3,1,1,1,0,1,1.5
True,2022-12-16,0,5,PHILADELPHIA 76ERS,HOME,GOLDEN STATE WARRIORS,WIN,664,0,1,0,0,0,0,1,1,0,0,1,0,0,1.0
True,2022-12-19,7,-2,PHILADELPHIA 76ERS,HOME,TORONTO RAPTORS,WIN,653,3,4,0,0,1,2,0,1,1,2,0,0,2,7.2
True,2022-12-21,10,1,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,WIN,570,5,7,0,0,0,0,1,0,0,0,1,2,0,6.5
True,2022-12-23,0,-3,PHILADELPHIA 76ERS,HOME,LOS ANGELES CLIPPERS,WIN,290,0,1,0,0,0,0,0,0,1,0,0,1,1,-1.4
True,2022-12-25,2,13,PHILADELPHIA 76ERS,AWAY,NEW YORK KNICKS,WIN,846,0,2,0,1,2,2,0,4,1,0,0,0,0,2.5
True,2022-12-27,9,-4,PHILADELPHIA 76ERS,AWAY,WASHINGTON WIZARDS,LOSS,570,4,5,0,0,1,2,2,1,0,0,1,0,4,7.5
True,2022-12-30,4,-9,PHILADELPHIA 76ERS,AWAY,NEW ORLEANS PELICANS,LOSS,722,2,3,0,1,0,0,1,0,1,1,0,1,2,3.3
True,2022-12-31,9,2,PHILADELPHIA 76ERS,AWAY,OKLAHOMA CITY THUNDER,WIN,936,4,9,0,0,1,1,4,2,0,0,1,1,2,6.6
True,2023-01-02,3,-1,PHILADELPHIA 76ERS,HOME,NEW ORLEANS PELICANS,WIN,724,1,4,0,0,1,2,0,1,2,2,1,1,2,2.8
True,2023-01-04,19,9,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,WIN,1679,8,9,0,0,3,4,3,2,1,1,4,1,5,19.7
True,2023-01-06,17,-14,PHILADELPHIA 76ERS,HOME,CHICAGO BULLS,LOSS,1363,8,12,0,0,1,2,3,1,0,1,0,1,2,13.0
True,2023-01-08,20,3,PHILADELPHIA 76ERS,AWAY,DETROIT PISTONS,WIN,1429,8,11,0,0,4,4,3,3,1,0,1,1,3,17.7
True,2023-01-10,8,-7,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,WIN,819,3,3,0,0,2,2,0,0,2,0,0,3,3,4.3
True,2023-01-12,2,-2,PHILADELPHIA 76ERS,HOME,OKLAHOMA CITY THUNDER,LOSS,410,1,2,0,0,0,0,0,1,0,0,0,1,1,-0.1
True,2023-01-14,6,-1,PHILADELPHIA 76ERS,AWAY,UTAH JAZZ,WIN,744,2,5,0,0,2,4,4,1,1,1,1,0,0,8.0
True,2023-01-15,2,-6,PHILADELPHIA 76ERS,AWAY,LOS ANGELES LAKERS,WIN,724,1,2,0,0,0,0,0,1,0,0,0,1,0,0.3
True,2023-01-17,3,10,PHILADELPHIA 76ERS,AWAY,LOS ANGELES CLIPPERS,WIN,711,1,2,0,0,1,1,1,1,0,0,1,1,1,2.3
True,2023-01-19,5,-4,PHILADELPHIA 76ERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,885,2,3,0,0,1,4,3,3,0,1,1,1,5,4.2
True,2023-01-21,17,-1,PHILADELPHIA 76ERS,AWAY,SACRAMENTO KINGS,WIN,1987,7,8,0,0,3,5,5,2,2,0,1,0,2,18.8
True,2023-01-25,4,1,PHILADELPHIA 76ERS,HOME,BROOKLYN NETS,WIN,705,2,3,0,0,0,0,0,1,0,0,0,0,2,2.2
True,2023-01-28,2,-7,PHILADELPHIA 76ERS,HOME,DENVER NUGGETS,WIN,607,1,1,0,0,0,0,0,0,0,0,0,0,2,0.9
True,2023-01-30,8,2,PHILADELPHIA 76ERS,HOME,ORLANDO MAGIC,LOSS,837,4,6,0,0,0,0,1,0,1,1,0,1,2,6.0
True,2023-02-01,2,-3,PHILADELPHIA 76ERS,HOME,ORLANDO MAGIC,WIN,615,1,2,0,0,0,0,1,3,1,1,1,1,3,2.8
True,2023-02-03,6,13,PHILADELPHIA 76ERS,AWAY,SAN ANTONIO SPURS,WIN,952,3,4,0,0,0,0,2,5,1,0,0,0,2,7.2
True,2023-02-05,0,-15,PHILADELPHIA 76ERS,AWAY,NEW YORK KNICKS,LOSS,197,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1
True,2023-02-08,2,-4,PHILADELPHIA 76ERS,AWAY,BOSTON CELTICS,LOSS,518,1,2,0,0,0,0,2,1,0,0,0,0,0,2.7
True,2023-02-13,4,-7,PHILADELPHIA 76ERS,HOME,HOUSTON ROCKETS,WIN,159,2,2,0,0,0,0,0,0,0,0,0,0,0,3.4
True,2023-03-02,0,2,PHILADELPHIA 76ERS,AWAY,DALLAS MAVERICKS,LOSS,168,0,1,0,0,0,0,0,2,0,0,0,0,0,-0.1
True,2023-03-22,0,-3,PHILADELPHIA 76ERS,AWAY,CHICAGO BULLS,WIN,195,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0
True,2023-03-27,3,11,PHILADELPHIA 76ERS,AWAY,DENVER NUGGETS,LOSS,347,1,2,0,1,1,2,1,1,0,0,0,0,1,2.2
True,2023-04-02,0,5,PHILADELPHIA 76ERS,AWAY,MILWAUKEE BUCKS,LOSS,186,0,1,0,1,0,0,0,0,0,0,0,1,0,-1.7
True,2023-04-06,8,-5,PHILADELPHIA 76ERS,HOME,MIAMI HEAT,LOSS,435,2,2,0,0,4,4,0,0,0,0,0,0,0,7.4
True,2023-04-07,11,-4,PHILADELPHIA 76ERS,AWAY,ATLANTA HAWKS,WIN,829,5,7,0,0,1,3,4,6,0,1,0,2,0,10.9
True,2023-04-09,15,23,PHILADELPHIA 76ERS,AWAY,BROOKLYN NETS,WIN,1287,5,10,0,2,5,7,1,5,2,0,0,1,0,11.8
