active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,18,-1,PHILADELPHIA 76ERS,AWAY,BOSTON CELTICS,LOSS,2054,7,14,3,6,1,2,1,1,0,3,0,0,3,13.4
True,2022-10-20,9,2,PHILADELPHIA 76ERS,HOME,MILWAUKEE BUCKS,LOSS,2003,4,10,1,4,0,0,1,9,2,1,2,1,2,9.0
True,2022-10-22,15,-6,PHILADELPHIA 76ERS,HOME,SAN ANTONIO SPURS,LOSS,2140,6,11,3,6,0,0,0,4,2,0,0,1,2,10.5
True,2022-10-24,18,14,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,WIN,1713,7,14,4,10,0,0,2,6,2,1,1,0,3,16.1
True,2022-10-26,3,0,PHILADELPHIA 76ERS,AWAY,TORONTO RAPTORS,LOSS,2055,1,5,1,3,0,0,2,6,6,1,0,1,3,6.1
True,2022-10-28,13,12,PHILADELPHIA 76ERS,AWAY,TORONTO RAPTORS,WIN,1680,5,14,2,8,1,1,1,4,3,2,0,1,2,9.4
True,2022-10-29,13,-2,PHILADELPHIA 76ERS,AWAY,CHICAGO BULLS,WIN,1870,4,6,3,4,2,2,2,3,3,1,2,1,1,15.8
True,2022-10-31,16,0,PHILADELPHIA 76ERS,AWAY,WASHINGTON WIZARDS,WIN,2057,6,10,1,3,3,7,0,5,1,4,1,0,3,15.5
True,2022-11-02,16,-7,PHILADELPHIA 76ERS,HOME,WASHINGTON WIZARDS,LOSS,2035,6,12,4,5,0,0,2,7,4,0,0,1,1,14.9
True,2022-11-04,23,-2,PHILADELPHIA 76ERS,HOME,NEW YORK KNICKS,LOSS,2247,9,15,3,7,2,2,2,7,4,1,2,2,2,22.0
True,2022-11-07,21,5,PHILADELPHIA 76ERS,HOME,PHOENIX SUNS,WIN,2274,7,18,3,7,4,5,0,8,6,1,0,2,1,16.0
True,2022-11-10,12,-13,PHILADELPHIA 76ERS,AWAY,ATLANTA HAWKS,LOSS,2012,5,15,0,4,2,2,0,2,3,5,0,1,1,9.8
True,2022-11-12,21,5,PHILADELPHIA 76ERS,HOME,ATLANTA HAWKS,WIN,2312,7,13,1,3,6,6,1,5,2,2,0,2,2,17.5
True,2022-11-13,8,14,PHILADELPHIA 76ERS,HOME,UTAH JAZZ,WIN,1893,4,12,0,3,0,0,1,5,2,0,0,2,4,1.2
True,2022-11-22,24,8,PHILADELPHIA 76ERS,HOME,BROOKLYN NETS,WIN,2025,10,21,1,3,3,4,1,5,3,0,0,3,2,13.4
True,2022-11-23,19,-6,PHILADELPHIA 76ERS,AWAY,CHARLOTTE HORNETS,LOSS,2243,9,20,1,9,0,0,0,5,0,0,0,2,3,6.9
True,2022-11-25,23,5,PHILADELPHIA 76ERS,AWAY,ORLANDO MAGIC,WIN,2072,10,21,1,7,2,2,0,10,5,1,0,2,2,17.0
True,2022-11-27,25,20,PHILADELPHIA 76ERS,AWAY,ORLANDO MAGIC,WIN,1783,10,14,2,2,3,3,0,5,5,2,1,1,2,25.1
True,2022-11-28,24,0,PHILADELPHIA 76ERS,HOME,ATLANTA HAWKS,WIN,2145,10,18,3,7,1,1,2,8,1,0,0,2,2,17.1
True,2022-11-30,3,-26,PHILADELPHIA 76ERS,AWAY,CLEVELAND CAVALIERS,LOSS,1399,0,7,0,3,3,3,0,1,3,0,0,1,1,-0.9
