active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,1,-5,PHILADELPHIA 76ERS,AWAY,BOSTON CELTICS,LOSS,972,0,2,0,1,1,2,0,1,1,2,0,1,2,0.4
True,2022-10-20,4,3,PHILADELPHIA 76ERS,HOME,MILWAUKEE BUCKS,LOSS,1276,2,4,0,2,0,0,0,3,2,0,0,1,0,3.3
True,2022-10-22,2,-8,PHILADELPHIA 76ERS,HOME,SAN ANTONIO SPURS,LOSS,1006,1,2,0,1,0,0,2,0,1,0,1,2,1,1.4
True,2022-10-24,6,15,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,WIN,1200,2,4,1,3,1,2,1,1,2,0,0,0,2,5.2
True,2022-10-26,3,-10,PHILADELPHIA 76ERS,AWAY,TORONTO RAPTORS,LOSS,883,1,3,1,2,0,0,0,0,0,0,0,0,1,0.9
True,2022-10-28,0,3,PHILADELPHIA 76ERS,AWAY,TORONTO RAPTORS,WIN,630,0,1,0,1,0,0,0,2,0,0,0,1,1,-1.5
True,2022-10-29,3,-2,PHILADELPHIA 76ERS,AWAY,CHICAGO BULLS,WIN,582,1,1,1,1,0,0,0,0,0,0,0,1,1,1.3
True,2022-10-31,2,10,PHILADELPHIA 76ERS,AWAY,WASHINGTON WIZARDS,WIN,919,0,0,0,0,2,2,0,2,1,0,0,0,0,3.3
True,2022-11-02,12,-10,PHILADELPHIA 76ERS,HOME,WASHINGTON WIZARDS,LOSS,1416,3,10,2,5,4,5,1,5,2,1,0,0,4,8.8
True,2022-11-10,8,-14,PHILADELPHIA 76ERS,AWAY,ATLANTA HAWKS,LOSS,1142,3,3,1,1,1,1,0,0,0,1,1,0,3,7.6
True,2022-11-12,5,-6,PHILADELPHIA 76ERS,HOME,ATLANTA HAWKS,WIN,1069,2,4,1,3,0,0,0,1,0,2,1,0,1,5.6
True,2022-11-13,1,-4,PHILADELPHIA 76ERS,HOME,UTAH JAZZ,WIN,1005,0,1,0,1,1,2,0,1,1,0,0,0,1,0.5
True,2022-11-18,9,3,PHILADELPHIA 76ERS,HOME,MILWAUKEE BUCKS,WIN,1836,3,6,1,2,2,2,0,2,1,0,1,0,2,7.2
True,2022-11-19,11,-12,PHILADELPHIA 76ERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2343,4,9,3,6,0,0,0,7,1,0,0,2,2,6.3
True,2022-11-22,0,-1,PHILADELPHIA 76ERS,HOME,BROOKLYN NETS,WIN,569,0,1,0,1,0,0,0,2,1,0,0,0,0,0.6
True,2022-11-23,1,-2,PHILADELPHIA 76ERS,AWAY,CHARLOTTE HORNETS,LOSS,661,0,1,0,1,1,2,0,1,0,0,0,1,1,-1.2
True,2022-11-25,2,8,PHILADELPHIA 76ERS,AWAY,ORLANDO MAGIC,WIN,818,1,2,0,1,0,0,0,1,0,0,0,0,1,0.9
True,2022-11-27,19,16,PHILADELPHIA 76ERS,AWAY,ORLANDO MAGIC,WIN,1529,5,8,1,4,8,10,0,2,2,0,1,1,1,15.9
