active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-11-27,2,4,PHILADELPHIA 76ERS,AWAY,ORLANDO MAGIC,WIN,229,1,1,0,0,0,0,0,0,2,1,0,1,1,2.7
True,2022-11-30,4,1,PHILADELPHIA 76ERS,AWAY,CLEVELAND CAVALIERS,LOSS,378,2,3,0,1,0,0,0,0,0,0,0,2,0,0.7
True,2023-01-11,8,-1,PHOENIX SUNS,AWAY,DENVER NUGGETS,LOSS,916,2,4,0,1,4,4,0,3,4,0,0,1,1,8.3
True,2023-01-13,12,6,PHOENIX SUNS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,808,3,3,0,0,6,8,0,2,2,0,0,1,1,10.9
True,2023-01-16,10,-16,PHOENIX SUNS,AWAY,MEMPHIS GRIZZLIES,LOSS,1706,3,9,1,2,3,4,1,1,3,1,0,1,3,6.4
True,2023-01-19,15,-6,PHOENIX SUNS,HOME,BROOKLYN NETS,WIN,1767,6,11,2,4,1,2,1,2,6,1,0,1,2,14.0
True,2023-01-21,12,6,PHOENIX SUNS,HOME,INDIANA PACERS,WIN,1747,2,6,2,4,6,8,1,3,4,0,0,4,5,6.2
True,2023-01-22,2,-1,PHOENIX SUNS,HOME,MEMPHIS GRIZZLIES,WIN,579,0,1,0,0,2,2,0,0,3,0,0,1,0,2.4
True,2023-01-24,2,25,PHOENIX SUNS,HOME,CHARLOTTE HORNETS,WIN,1256,1,6,0,0,0,0,1,3,6,0,1,1,0,3.7
True,2023-01-26,0,-11,PHOENIX SUNS,HOME,DALLAS MAVERICKS,LOSS,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-28,7,-4,PHOENIX SUNS,AWAY,SAN ANTONIO SPURS,WIN,826,2,3,1,1,2,3,2,1,3,0,0,0,0,9.1
True,2023-01-30,2,2,PHOENIX SUNS,HOME,TORONTO RAPTORS,WIN,491,1,1,0,0,0,0,1,0,2,0,0,1,0,2.8
True,2023-02-01,6,-6,PHOENIX SUNS,HOME,ATLANTA HAWKS,LOSS,1289,2,6,0,0,2,2,1,2,3,3,0,1,1,7.6
True,2023-02-03,7,16,PHOENIX SUNS,AWAY,BOSTON CELTICS,WIN,778,3,4,1,1,0,0,0,0,2,1,0,2,2,5.0
True,2023-02-04,4,-8,PHOENIX SUNS,AWAY,DETROIT PISTONS,WIN,927,0,1,0,0,4,6,1,2,5,2,0,2,3,6.1
True,2023-02-07,0,-5,PHOENIX SUNS,AWAY,BROOKLYN NETS,WIN,618,0,5,0,2,0,0,0,1,4,1,0,1,2,-1.2
True,2023-02-09,9,7,PHOENIX SUNS,AWAY,ATLANTA HAWKS,LOSS,1190,3,6,0,0,3,5,1,2,3,1,0,0,3,8.4
True,2023-02-10,2,-9,PHOENIX SUNS,AWAY,INDIANA PACERS,WIN,1033,1,6,0,2,0,0,0,2,1,3,0,2,1,0.1
True,2023-02-14,7,2,PHOENIX SUNS,HOME,SACRAMENTO KINGS,WIN,376,3,4,0,1,1,1,0,0,1,0,0,0,0,6.1
True,2023-02-16,4,-2,PHOENIX SUNS,HOME,LOS ANGELES CLIPPERS,LOSS,474,2,4,0,0,0,0,0,2,0,1,0,1,2,1.8
True,2023-03-03,0,0,PHOENIX SUNS,AWAY,CHICAGO BULLS,WIN,91,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2023-03-08,2,-4,PHOENIX SUNS,HOME,OKLAHOMA CITY THUNDER,WIN,374,0,4,0,1,2,2,1,0,0,0,0,0,0,-0.1
True,2023-04-04,0,2,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,WIN,176,0,0,0,0,0,2,0,1,0,1,0,0,0,0.5
True,2023-04-07,9,-19,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,1464,4,12,1,2,0,0,1,3,2,1,0,0,2,5.4
True,2023-04-09,25,-9,PHOENIX SUNS,HOME,LOS ANGELES CLIPPERS,LOSS,2653,8,21,3,8,6,8,1,2,10,2,0,1,3,20.8
