active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,21,-6,PHILADELPHIA 76ERS,AWAY,BOSTON CELTICS,LOSS,2291,8,16,2,5,3,3,0,1,2,2,0,1,5,13.7
True,2022-10-20,15,-7,PHILADELPHIA 76ERS,HOME,MILWAUKEE BUCKS,LOSS,2050,6,13,0,3,3,4,0,2,0,0,0,1,3,6.3
True,2022-10-22,25,-11,PHILADELPHIA 76ERS,HOME,SAN ANTONIO SPURS,LOSS,2377,8,18,3,8,6,9,1,2,6,1,0,3,3,16.7
True,2022-10-24,8,4,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,WIN,2267,3,11,2,5,0,0,1,1,3,1,0,2,0,3.6
True,2022-10-26,31,-1,PHILADELPHIA 76ERS,AWAY,TORONTO RAPTORS,LOSS,2594,12,21,4,8,3,4,1,4,6,2,1,4,0,25.5
True,2022-10-28,44,29,PHILADELPHIA 76ERS,AWAY,TORONTO RAPTORS,WIN,2389,15,20,9,12,5,6,0,8,4,1,0,2,3,38.6
True,2022-10-29,14,5,PHILADELPHIA 76ERS,AWAY,CHICAGO BULLS,WIN,1757,5,14,2,6,2,3,0,5,3,1,0,2,4,6.8
True,2022-10-31,28,-4,PHILADELPHIA 76ERS,AWAY,WASHINGTON WIZARDS,WIN,2065,12,22,2,6,2,2,0,3,3,1,0,3,3,17.2
True,2022-11-02,32,-2,PHILADELPHIA 76ERS,HOME,WASHINGTON WIZARDS,LOSS,2589,11,20,5,9,5,8,0,2,4,0,0,0,1,24.2
True,2022-11-04,31,2,PHILADELPHIA 76ERS,HOME,NEW YORK KNICKS,LOSS,2343,10,29,4,13,7,7,1,2,7,1,0,4,3,16.7
True,2022-11-07,11,8,PHILADELPHIA 76ERS,HOME,PHOENIX SUNS,WIN,2420,4,18,0,4,3,6,1,4,6,0,1,2,0,3.6
True,2022-11-10,15,-9,PHILADELPHIA 76ERS,AWAY,ATLANTA HAWKS,LOSS,1996,5,17,2,6,3,4,1,3,5,0,0,1,2,8.0
True,2022-11-12,26,24,PHILADELPHIA 76ERS,HOME,ATLANTA HAWKS,WIN,2155,10,18,3,5,3,4,0,2,9,1,0,3,4,20.3
True,2022-11-13,18,15,PHILADELPHIA 76ERS,HOME,UTAH JAZZ,WIN,2202,8,24,2,8,0,0,0,3,3,4,1,1,4,9.5
