active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,5,-13,PHILADELPHIA 76ERS,AWAY,BOSTON CELTICS,LOSS,1233,2,4,1,2,0,0,0,0,0,1,0,0,2,3.2
True,2022-10-20,9,5,PHILADELPHIA 76ERS,HOME,MILWAUKEE BUCKS,LOSS,1174,4,7,1,2,0,0,0,2,0,1,0,0,0,7.3
True,2022-10-22,0,-7,PHILADELPHIA 76ERS,HOME,SAN ANTONIO SPURS,LOSS,935,0,3,0,2,0,0,0,3,1,2,0,0,2,0.7
True,2022-10-24,11,11,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,WIN,1020,3,6,2,4,3,3,0,5,1,1,0,0,1,10.8
True,2022-10-26,12,-13,PHILADELPHIA 76ERS,AWAY,TORONTO RAPTORS,LOSS,1301,5,7,2,4,0,0,0,3,5,3,0,0,2,15.7
True,2022-10-28,13,9,PHILADELPHIA 76ERS,AWAY,TORONTO RAPTORS,WIN,1845,6,15,1,5,0,0,2,3,6,5,0,1,1,15.0
True,2022-10-29,10,-2,PHILADELPHIA 76ERS,AWAY,CHICAGO BULLS,WIN,1306,4,8,2,4,0,0,0,3,4,1,1,1,0,10.4
True,2022-10-31,16,-3,PHILADELPHIA 76ERS,AWAY,WASHINGTON WIZARDS,WIN,1961,7,10,2,4,0,0,0,2,1,2,0,1,3,12.9
True,2022-11-04,12,0,PHILADELPHIA 76ERS,HOME,NEW YORK KNICKS,LOSS,1817,4,18,3,11,1,2,4,1,9,2,2,3,2,9.6
True,2022-11-07,6,12,PHILADELPHIA 76ERS,HOME,PHOENIX SUNS,WIN,2030,2,7,1,6,1,2,2,5,2,1,2,1,5,5.2
True,2022-11-10,5,-7,PHILADELPHIA 76ERS,AWAY,ATLANTA HAWKS,LOSS,1707,2,7,1,3,0,0,4,6,1,0,0,3,0,3.2
True,2022-11-13,6,-15,PHILADELPHIA 76ERS,HOME,UTAH JAZZ,WIN,1225,3,5,0,1,0,0,2,4,2,0,1,1,1,7.0
True,2022-11-18,10,6,PHILADELPHIA 76ERS,HOME,MILWAUKEE BUCKS,WIN,2163,3,8,2,3,2,2,2,5,6,0,0,5,2,6.9
