active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,3,-5,PHILADELPHIA 76ERS,AWAY,BOSTON CELTICS,LOSS,729,1,4,1,3,0,0,0,0,1,0,0,0,1,0.9
True,2022-10-20,0,0,PHILADELPHIA 76ERS,HOME,MILWAUKEE BUCKS,LOSS,488,0,1,0,1,0,0,0,1,0,0,0,0,0,-0.4
True,2022-10-22,8,-8,PHILADELPHIA 76ERS,HOME,SAN ANTONIO SPURS,LOSS,902,3,4,2,3,0,0,0,0,0,0,0,1,1,5.0
True,2022-10-24,13,13,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,WIN,1289,4,7,3,6,2,2,0,1,2,1,0,0,2,11.6
True,2022-10-26,3,-8,PHILADELPHIA 76ERS,AWAY,TORONTO RAPTORS,LOSS,859,1,4,1,4,0,0,0,1,0,0,0,1,0,-0.1
True,2022-10-28,5,10,PHILADELPHIA 76ERS,AWAY,TORONTO RAPTORS,WIN,1195,2,4,1,3,0,0,0,5,0,0,1,2,4,1.6
True,2022-10-29,15,6,PHILADELPHIA 76ERS,AWAY,CHICAGO BULLS,WIN,1103,6,8,3,4,0,0,1,2,0,0,0,0,3,11.9
True,2022-10-31,12,7,PHILADELPHIA 76ERS,AWAY,WASHINGTON WIZARDS,WIN,823,4,8,4,7,0,0,0,2,1,0,0,1,1,7.9
True,2022-11-02,13,-8,PHILADELPHIA 76ERS,HOME,WASHINGTON WIZARDS,LOSS,1613,5,11,3,6,0,0,1,2,0,0,1,0,4,7.7
True,2022-11-04,6,4,PHILADELPHIA 76ERS,HOME,NEW YORK KNICKS,LOSS,1145,2,8,2,7,0,0,0,3,1,0,0,1,2,1.0
True,2022-11-07,21,7,PHILADELPHIA 76ERS,HOME,PHOENIX SUNS,WIN,1623,7,11,7,10,0,0,0,4,1,2,0,3,2,16.2
True,2022-11-10,9,-18,PHILADELPHIA 76ERS,AWAY,ATLANTA HAWKS,LOSS,1400,2,8,1,7,4,4,0,1,2,1,1,0,3,6.4
True,2022-11-12,4,-4,PHILADELPHIA 76ERS,HOME,ATLANTA HAWKS,WIN,857,1,2,1,2,1,1,0,0,2,0,2,1,2,4.0
True,2022-11-13,5,-11,PHILADELPHIA 76ERS,HOME,UTAH JAZZ,WIN,1131,2,5,1,4,0,0,1,1,0,1,1,0,0,5.0
True,2022-11-18,17,3,PHILADELPHIA 76ERS,HOME,MILWAUKEE BUCKS,WIN,1826,6,11,4,8,1,1,0,3,0,1,0,2,2,10.8
True,2022-11-19,15,10,PHILADELPHIA 76ERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1943,5,12,1,7,4,4,1,1,1,1,0,1,4,8.7
True,2022-11-22,16,5,PHILADELPHIA 76ERS,HOME,BROOKLYN NETS,WIN,1063,6,11,4,5,0,0,0,5,2,0,1,0,3,13.1
True,2022-11-23,9,5,PHILADELPHIA 76ERS,AWAY,CHARLOTTE HORNETS,LOSS,1121,3,10,3,8,0,0,0,4,4,0,0,2,5,3.2
True,2022-11-25,18,-2,PHILADELPHIA 76ERS,AWAY,ORLANDO MAGIC,WIN,1385,6,8,5,7,1,2,0,1,2,0,0,1,1,14.7
True,2022-11-27,9,10,PHILADELPHIA 76ERS,AWAY,ORLANDO MAGIC,WIN,1183,4,9,1,5,0,1,0,4,5,1,0,0,4,8.0
True,2022-11-28,9,7,PHILADELPHIA 76ERS,HOME,ATLANTA HAWKS,WIN,1087,3,7,3,7,0,0,0,0,1,1,0,0,2,6.2
True,2022-11-30,5,-2,PHILADELPHIA 76ERS,AWAY,CLEVELAND CAVALIERS,LOSS,1459,2,7,1,4,0,0,0,2,0,0,0,0,2,0.7
True,2022-12-02,7,-13,PHILADELPHIA 76ERS,AWAY,MEMPHIS GRIZZLIES,LOSS,953,3,9,1,5,0,0,1,0,1,1,0,2,1,1.9
True,2022-12-11,3,0,PHILADELPHIA 76ERS,HOME,CHARLOTTE HORNETS,WIN,805,1,2,1,2,0,0,0,2,1,0,0,2,5,-0.7
True,2022-12-13,12,25,PHILADELPHIA 76ERS,HOME,SACRAMENTO KINGS,WIN,1532,4,8,4,8,0,0,0,6,3,1,0,0,2,12.1
True,2022-12-16,11,10,PHILADELPHIA 76ERS,HOME,GOLDEN STATE WARRIORS,WIN,1381,3,12,2,8,3,3,0,2,0,2,0,2,0,4.4
True,2022-12-19,5,-6,PHILADELPHIA 76ERS,HOME,TORONTO RAPTORS,WIN,688,1,3,1,2,2,2,0,1,0,0,0,0,1,3.2
True,2022-12-21,11,19,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,WIN,1593,3,12,3,11,2,2,0,3,0,2,0,2,3,3.5
True,2022-12-23,11,5,PHILADELPHIA 76ERS,HOME,LOS ANGELES CLIPPERS,WIN,1490,4,6,3,5,0,0,1,3,1,0,0,0,1,10.3
True,2022-12-25,16,16,PHILADELPHIA 76ERS,AWAY,NEW YORK KNICKS,WIN,1376,6,11,4,9,0,0,0,2,0,0,1,1,3,9.8
True,2022-12-27,3,2,PHILADELPHIA 76ERS,AWAY,WASHINGTON WIZARDS,LOSS,1707,1,7,1,7,0,0,0,4,1,0,0,0,5,-1.6
