active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,0,-7,PHOENIX SUNS,HOME,DALLAS MAVERICKS,WIN,446,0,1,0,0,0,0,0,2,1,0,0,1,2,-1.2
True,2022-10-21,0,0,PHOENIX SUNS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-10-28,11,0,PHOENIX SUNS,HOME,NEW ORLEANS PELICANS,WIN,1398,5,7,0,0,1,2,4,9,2,0,2,0,5,14.0
True,2022-10-30,5,12,PHOENIX SUNS,HOME,HOUSTON ROCKETS,WIN,1319,1,1,0,0,3,5,0,5,0,0,5,2,3,5.7
True,2022-11-01,8,11,PHOENIX SUNS,HOME,MINNESOTA TIMBERWOLVES,WIN,1789,4,5,0,0,0,0,1,3,1,0,4,1,2,9.4
True,2022-11-04,2,-8,PHOENIX SUNS,HOME,PORTLAND TRAIL BLAZERS,LOSS,223,1,3,0,0,0,0,0,1,0,0,2,0,0,2.0
True,2022-11-05,3,2,PHOENIX SUNS,HOME,PORTLAND TRAIL BLAZERS,WIN,829,1,4,0,0,1,1,1,3,0,0,3,2,3,1.1
True,2022-11-07,0,4,PHOENIX SUNS,AWAY,PHILADELPHIA 76ERS,LOSS,636,0,0,0,0,0,0,1,3,1,0,0,0,1,1.9
True,2022-11-09,0,-2,PHOENIX SUNS,AWAY,MINNESOTA TIMBERWOLVES,WIN,182,0,0,0,0,0,0,0,0,0,1,1,0,1,1.3
True,2022-11-11,7,-4,PHOENIX SUNS,AWAY,ORLANDO MAGIC,LOSS,661,3,6,0,0,1,1,1,1,1,1,1,0,2,6.6
True,2022-11-14,0,1,PHOENIX SUNS,AWAY,MIAMI HEAT,LOSS,313,0,0,0,0,0,0,0,1,0,0,1,1,1,-0.4
True,2022-11-20,5,15,PHOENIX SUNS,HOME,NEW YORK KNICKS,WIN,1272,2,6,0,0,1,2,6,4,3,0,1,4,5,3.4
True,2022-11-22,2,1,PHOENIX SUNS,HOME,LOS ANGELES LAKERS,WIN,987,1,3,0,0,0,2,0,3,1,1,2,2,0,1.5
True,2022-11-25,5,-7,PHOENIX SUNS,HOME,DETROIT PISTONS,WIN,1082,2,3,0,0,1,2,0,5,1,0,1,3,3,2.0
True,2022-11-26,0,-2,PHOENIX SUNS,HOME,UTAH JAZZ,WIN,508,0,1,0,0,0,2,0,0,2,2,1,0,1,2.2
True,2022-11-28,4,0,PHOENIX SUNS,AWAY,SACRAMENTO KINGS,WIN,532,2,3,0,0,0,0,1,2,2,0,2,2,1,4.4
True,2022-11-30,0,7,PHOENIX SUNS,HOME,CHICAGO BULLS,WIN,456,0,2,0,0,0,0,0,2,0,0,0,1,1,-2.2
True,2022-12-02,4,0,PHOENIX SUNS,HOME,HOUSTON ROCKETS,LOSS,677,2,2,0,0,0,0,1,3,1,1,1,0,3,6.2
True,2022-12-04,2,6,PHOENIX SUNS,AWAY,SAN ANTONIO SPURS,WIN,376,1,2,0,0,0,0,1,1,0,0,0,2,1,-0.4
True,2022-12-05,6,0,PHOENIX SUNS,AWAY,DALLAS MAVERICKS,LOSS,900,3,3,0,0,0,3,1,1,0,0,1,0,1,5.2
True,2022-12-07,0,5,PHOENIX SUNS,HOME,BOSTON CELTICS,LOSS,297,0,2,0,0,0,0,1,1,0,0,1,1,1,-1.1
True,2022-12-13,7,-4,PHOENIX SUNS,AWAY,HOUSTON ROCKETS,LOSS,1318,3,3,0,0,1,2,3,3,2,0,3,1,3,10.0
True,2022-12-15,5,6,PHOENIX SUNS,AWAY,LOS ANGELES CLIPPERS,WIN,1089,2,3,0,0,1,2,2,3,2,0,1,0,5,5.7
True,2022-12-17,11,6,PHOENIX SUNS,HOME,NEW ORLEANS PELICANS,WIN,1872,5,6,0,0,1,4,2,4,0,0,1,1,0,9.9
True,2022-12-19,0,13,PHOENIX SUNS,HOME,LOS ANGELES LAKERS,WIN,1045,0,2,0,0,0,0,1,7,1,1,2,1,2,2.7
True,2022-12-20,7,12,PHOENIX SUNS,HOME,WASHINGTON WIZARDS,LOSS,949,3,4,0,0,1,2,1,4,1,0,0,1,4,5.0
True,2022-12-23,6,-17,PHOENIX SUNS,HOME,MEMPHIS GRIZZLIES,LOSS,1282,3,3,0,0,0,3,1,3,2,2,4,3,4,7.1
True,2022-12-25,5,10,PHOENIX SUNS,AWAY,DENVER NUGGETS,LOSS,925,2,4,0,0,1,3,1,2,2,0,0,0,3,3.7
True,2022-12-27,4,-1,PHOENIX SUNS,AWAY,MEMPHIS GRIZZLIES,WIN,844,2,3,0,0,0,0,2,1,0,1,1,0,2,5.3
True,2022-12-28,0,-8,PHOENIX SUNS,AWAY,WASHINGTON WIZARDS,LOSS,486,0,1,0,0,0,2,1,1,0,0,0,0,1,-0.9
True,2023-01-04,0,5,PHOENIX SUNS,AWAY,CLEVELAND CAVALIERS,LOSS,568,0,0,0,0,0,2,0,3,0,0,0,1,1,-1.3
True,2023-01-10,8,21,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,WIN,1038,4,7,0,0,0,0,3,5,0,0,2,0,0,9.7
True,2023-01-11,4,-31,PHOENIX SUNS,AWAY,DENVER NUGGETS,LOSS,957,2,6,0,0,0,0,2,1,1,0,0,1,2,1.2
