active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,28,20,PHOENIX SUNS,HOME,DALLAS MAVERICKS,WIN,2437,10,20,1,1,7,7,1,3,9,0,1,2,3,23.4
True,2022-10-21,33,-2,PHOENIX SUNS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2635,11,23,3,7,8,9,0,5,3,1,0,2,1,23.1
True,2022-10-23,35,13,PHOENIX SUNS,AWAY,LOS ANGELES CLIPPERS,WIN,2089,13,21,5,9,4,4,1,0,4,1,0,3,1,26.6
True,2022-10-25,34,32,PHOENIX SUNS,HOME,GOLDEN STATE WARRIORS,WIN,2119,10,19,3,8,11,14,1,1,7,3,0,3,3,28.2
True,2022-10-28,16,4,PHOENIX SUNS,HOME,NEW ORLEANS PELICANS,WIN,1956,6,14,0,4,4,4,0,5,4,0,0,5,1,7.5
True,2022-10-30,30,11,PHOENIX SUNS,HOME,HOUSTON ROCKETS,WIN,2123,14,24,1,7,1,3,1,2,6,1,0,1,2,22.7
True,2022-11-01,18,11,PHOENIX SUNS,HOME,MINNESOTA TIMBERWOLVES,WIN,1826,6,18,2,7,4,5,1,6,5,0,1,2,5,10.1
True,2022-11-04,25,3,PHOENIX SUNS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2302,8,21,3,7,6,6,0,5,5,1,1,5,3,14.0
True,2022-11-05,24,19,PHOENIX SUNS,HOME,PORTLAND TRAIL BLAZERS,WIN,1750,9,20,2,7,4,4,1,2,3,1,2,1,2,17.6
True,2022-11-07,28,-9,PHOENIX SUNS,AWAY,PHILADELPHIA 76ERS,LOSS,2604,8,16,1,1,11,14,2,5,5,1,0,6,2,19.4
True,2022-11-09,32,26,PHOENIX SUNS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2290,12,23,5,7,3,3,0,4,10,2,0,1,2,29.1
True,2022-11-11,17,-27,PHOENIX SUNS,AWAY,ORLANDO MAGIC,LOSS,2068,6,19,2,8,3,3,3,5,6,1,0,2,2,12.1
True,2022-11-14,25,-7,PHOENIX SUNS,AWAY,MIAMI HEAT,LOSS,2494,11,22,2,7,1,2,2,6,5,3,1,2,5,20.0
True,2022-11-16,27,6,PHOENIX SUNS,HOME,GOLDEN STATE WARRIORS,WIN,2198,8,17,2,5,9,9,0,2,9,0,3,3,2,23.5
True,2022-11-18,49,-4,PHOENIX SUNS,AWAY,UTAH JAZZ,LOSS,2477,16,31,2,9,15,15,1,7,10,1,0,1,3,42.3
True,2022-11-20,20,13,PHOENIX SUNS,HOME,NEW YORK KNICKS,WIN,1771,7,17,5,8,1,1,1,4,3,0,0,0,0,14.9
True,2022-11-22,25,4,PHOENIX SUNS,HOME,LOS ANGELES LAKERS,WIN,2127,10,24,2,6,3,3,1,3,5,0,0,4,6,10.9
True,2022-11-25,21,10,PHOENIX SUNS,HOME,DETROIT PISTONS,WIN,2142,8,17,2,7,3,7,0,7,5,1,1,2,2,15.2
