active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,32,-23,BROOKLYN NETS,HOME,NEW ORLEANS PELICANS,LOSS,1906,11,21,2,6,8,9,0,3,2,1,4,4,4,21.8
True,2022-10-21,27,-8,BROOKLYN NETS,HOME,TORONTO RAPTORS,WIN,2127,8,18,3,9,8,10,1,4,6,0,2,5,2,18.5
True,2022-10-24,37,-10,BROOKLYN NETS,AWAY,MEMPHIS GRIZZLIES,LOSS,2341,14,20,1,3,8,9,1,4,4,0,0,1,4,30.3
True,2022-10-26,33,-17,BROOKLYN NETS,AWAY,MILWAUKEE BUCKS,LOSS,2332,10,23,1,4,12,13,0,6,3,0,2,5,3,19.6
True,2022-10-27,37,-6,BROOKLYN NETS,HOME,DALLAS MAVERICKS,LOSS,2474,12,21,2,5,11,11,1,2,5,2,1,3,2,30.8
True,2022-10-29,26,-3,BROOKLYN NETS,HOME,INDIANA PACERS,LOSS,2327,8,20,1,5,9,9,1,4,2,3,4,3,0,21.3
True,2022-10-31,36,8,BROOKLYN NETS,HOME,INDIANA PACERS,WIN,2344,13,22,2,5,8,8,0,9,7,1,1,3,2,31.3
True,2022-11-01,32,-7,BROOKLYN NETS,HOME,CHICAGO BULLS,LOSS,2279,9,16,2,4,12,12,0,9,6,1,2,7,3,25.5
True,2022-11-04,28,35,BROOKLYN NETS,AWAY,WASHINGTON WIZARDS,WIN,1991,10,21,2,6,6,6,0,9,11,0,1,2,1,26.0
True,2022-11-05,27,13,BROOKLYN NETS,AWAY,CHARLOTTE HORNETS,WIN,2240,10,20,1,4,6,6,0,8,2,0,3,3,2,19.1
True,2022-11-07,26,1,BROOKLYN NETS,AWAY,DALLAS MAVERICKS,LOSS,2320,10,20,1,3,5,7,1,3,4,2,1,3,5,17.3
True,2022-11-09,29,32,BROOKLYN NETS,HOME,NEW YORK KNICKS,WIN,2072,10,19,1,5,8,10,1,11,12,1,2,1,1,32.3
True,2022-11-12,27,16,BROOKLYN NETS,AWAY,LOS ANGELES CLIPPERS,WIN,2072,10,16,3,5,4,4,0,6,3,2,2,3,4,22.5
True,2022-11-13,31,-15,BROOKLYN NETS,AWAY,LOS ANGELES LAKERS,LOSS,2270,8,16,2,3,13,15,0,9,7,0,2,3,2,27.4
True,2022-11-15,27,-31,BROOKLYN NETS,AWAY,SACRAMENTO KINGS,LOSS,1839,8,15,0,1,11,11,0,4,6,0,1,2,2,23.0
True,2022-11-17,35,15,BROOKLYN NETS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2328,13,22,1,4,8,10,0,8,3,0,1,4,4,23.6
True,2022-11-20,26,5,BROOKLYN NETS,HOME,MEMPHIS GRIZZLIES,WIN,2141,9,16,0,3,8,8,0,7,7,1,1,4,3,21.9
True,2022-11-22,20,-10,BROOKLYN NETS,AWAY,PHILADELPHIA 76ERS,LOSS,2206,9,14,0,1,2,2,0,5,5,0,2,3,0,17.2
True,2022-11-23,12,30,BROOKLYN NETS,AWAY,TORONTO RAPTORS,WIN,1968,5,10,2,5,0,0,0,7,5,0,3,4,2,9.9
True,2022-11-25,36,0,BROOKLYN NETS,AWAY,INDIANA PACERS,LOSS,2330,15,31,3,12,3,4,2,7,8,0,2,5,4,23.8
True,2022-11-27,31,21,BROOKLYN NETS,HOME,PORTLAND TRAIL BLAZERS,WIN,2201,12,20,3,6,4,4,0,5,5,0,0,1,4,24.2
