active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,15,-3,PHOENIX SUNS,HOME,DALLAS MAVERICKS,WIN,1630,6,13,3,6,0,0,0,3,0,0,2,0,2,9.8
True,2022-10-21,5,-5,PHOENIX SUNS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1351,2,9,1,6,0,0,1,2,2,2,0,2,1,1.8
True,2022-10-23,11,13,PHOENIX SUNS,AWAY,LOS ANGELES CLIPPERS,WIN,1356,4,6,3,4,0,0,1,4,2,1,0,0,4,11.1
True,2022-10-25,9,26,PHOENIX SUNS,HOME,GOLDEN STATE WARRIORS,WIN,2003,3,11,1,6,2,4,3,2,2,0,0,0,0,5.8
True,2022-10-28,16,-2,PHOENIX SUNS,HOME,NEW ORLEANS PELICANS,WIN,1614,5,10,2,6,4,4,0,2,3,2,0,0,2,14.9
True,2022-10-30,19,19,PHOENIX SUNS,HOME,HOUSTON ROCKETS,WIN,1874,7,15,5,11,0,0,0,7,1,1,0,0,3,13.9
True,2022-11-01,29,17,PHOENIX SUNS,HOME,MINNESOTA TIMBERWOLVES,WIN,1995,10,17,7,11,2,3,0,2,3,3,1,0,1,26.7
True,2022-11-04,0,8,PHOENIX SUNS,HOME,PORTLAND TRAIL BLAZERS,LOSS,314,0,2,0,1,0,0,0,0,1,0,0,0,1,-1.1
True,2023-01-19,19,8,PHOENIX SUNS,HOME,BROOKLYN NETS,WIN,1310,4,10,2,6,9,9,1,5,2,1,2,2,1,17.2
True,2023-01-22,8,-2,PHOENIX SUNS,HOME,MEMPHIS GRIZZLIES,WIN,1768,3,9,0,4,2,3,1,5,1,0,0,1,3,3.2
True,2023-01-24,24,2,PHOENIX SUNS,HOME,CHARLOTTE HORNETS,WIN,1062,9,11,6,7,0,0,1,2,3,0,0,0,2,22.5
True,2023-01-26,22,6,PHOENIX SUNS,HOME,DALLAS MAVERICKS,LOSS,1972,8,12,5,7,1,2,3,5,0,0,1,0,2,19.9
True,2023-01-28,15,5,PHOENIX SUNS,AWAY,SAN ANTONIO SPURS,WIN,1938,5,12,3,7,2,2,1,3,2,0,0,1,3,9.4
True,2023-01-30,4,6,PHOENIX SUNS,HOME,TORONTO RAPTORS,WIN,1545,1,9,1,6,1,2,0,3,0,2,0,0,1,0.2
True,2023-02-01,6,-31,PHOENIX SUNS,HOME,ATLANTA HAWKS,LOSS,919,2,7,1,3,1,1,0,1,0,0,0,2,2,-0.6
True,2023-02-04,20,25,PHOENIX SUNS,AWAY,DETROIT PISTONS,WIN,1350,7,9,3,4,3,3,0,2,2,2,0,0,1,20.1
True,2023-02-07,14,5,PHOENIX SUNS,AWAY,BROOKLYN NETS,WIN,1765,6,11,2,4,0,0,2,3,2,1,0,2,0,11.4
True,2023-02-11,12,5,BROOKLYN NETS,HOME,PHILADELPHIA 76ERS,LOSS,1706,4,13,2,8,2,3,0,7,3,3,0,0,1,10.9
True,2023-02-13,14,-1,BROOKLYN NETS,AWAY,NEW YORK KNICKS,LOSS,1599,5,10,2,6,2,3,1,3,1,1,0,0,1,11.5
True,2023-02-15,18,9,BROOKLYN NETS,HOME,MIAMI HEAT,WIN,2053,6,14,3,10,3,4,0,1,3,0,1,0,4,11.7
True,2023-02-24,10,-22,BROOKLYN NETS,AWAY,CHICAGO BULLS,LOSS,1180,4,13,2,8,0,0,0,1,0,1,0,0,1,3.4
True,2023-02-26,27,-9,BROOKLYN NETS,AWAY,ATLANTA HAWKS,LOSS,2178,10,15,3,8,4,4,1,2,1,2,1,0,2,24.4
True,2023-02-28,19,1,BROOKLYN NETS,HOME,MILWAUKEE BUCKS,LOSS,1768,6,12,2,5,5,6,0,7,1,4,0,4,2,14.6
True,2023-03-01,33,-9,BROOKLYN NETS,AWAY,NEW YORK KNICKS,LOSS,1647,13,18,7,11,0,0,0,2,0,0,1,1,3,24.7
True,2023-03-03,20,7,BROOKLYN NETS,AWAY,BOSTON CELTICS,WIN,1859,5,16,2,9,8,10,1,4,3,1,0,2,6,10.6
True,2023-03-05,11,17,BROOKLYN NETS,HOME,CHARLOTTE HORNETS,WIN,2093,3,13,1,7,4,4,2,8,2,0,0,0,1,7.9
True,2023-03-07,8,18,BROOKLYN NETS,AWAY,HOUSTON ROCKETS,WIN,1464,2,9,2,6,2,4,0,2,3,2,0,0,1,6.0
True,2023-03-10,15,-4,BROOKLYN NETS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2065,3,8,2,4,7,9,1,7,0,0,0,3,3,8.4
True,2023-03-12,14,13,BROOKLYN NETS,AWAY,DENVER NUGGETS,WIN,1732,5,11,2,6,2,2,0,4,2,2,0,0,0,12.9
True,2023-03-14,23,-13,BROOKLYN NETS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2360,7,13,3,7,6,8,0,9,3,1,0,2,3,18.5
True,2023-03-16,10,-2,BROOKLYN NETS,HOME,SACRAMENTO KINGS,LOSS,2175,4,11,2,6,0,0,0,6,2,1,1,0,2,8.0
True,2023-03-19,14,0,BROOKLYN NETS,HOME,DENVER NUGGETS,LOSS,2026,5,13,1,6,3,3,2,4,2,4,1,1,2,13.8
True,2023-03-21,16,-10,BROOKLYN NETS,HOME,CLEVELAND CAVALIERS,LOSS,2043,4,11,2,4,6,6,2,1,4,1,0,1,3,13.2
True,2023-03-23,5,-3,BROOKLYN NETS,HOME,CLEVELAND CAVALIERS,LOSS,1347,1,6,1,4,2,2,1,2,1,2,0,2,2,2.4
True,2023-03-25,23,25,BROOKLYN NETS,AWAY,MIAMI HEAT,WIN,1508,9,13,5,8,0,0,1,2,4,1,0,0,4,21.0
True,2023-03-26,10,-14,BROOKLYN NETS,AWAY,ORLANDO MAGIC,LOSS,1566,4,10,1,5,1,1,2,1,1,0,1,2,3,4.5
True,2023-03-29,31,17,BROOKLYN NETS,HOME,HOUSTON ROCKETS,WIN,2130,11,18,5,9,4,4,0,7,5,1,1,2,2,27.3
True,2023-03-31,16,20,BROOKLYN NETS,HOME,ATLANTA HAWKS,WIN,2122,7,13,1,5,1,1,1,5,3,2,0,0,3,14.8
True,2023-04-02,18,-1,BROOKLYN NETS,HOME,UTAH JAZZ,WIN,1904,5,9,1,2,7,8,1,5,2,0,0,2,3,13.7
True,2023-04-04,14,7,BROOKLYN NETS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2049,5,9,2,3,2,2,0,4,3,1,1,0,2,13.9
True,2023-04-05,15,-5,BROOKLYN NETS,AWAY,DETROIT PISTONS,WIN,1722,6,8,3,5,0,0,1,4,2,1,0,4,0,12.1
True,2023-04-07,18,12,BROOKLYN NETS,HOME,ORLANDO MAGIC,WIN,1924,7,15,1,4,3,3,3,2,1,4,0,1,0,16.7
