active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,6,-9,PHOENIX SUNS,HOME,DALLAS MAVERICKS,WIN,1817,1,6,0,2,4,4,0,3,9,2,0,3,3,7.2
True,2022-10-21,10,0,PHOENIX SUNS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2169,5,11,0,1,0,0,0,4,12,5,0,1,5,15.9
True,2022-10-23,7,15,PHOENIX SUNS,AWAY,LOS ANGELES CLIPPERS,WIN,1957,3,11,1,8,0,0,3,5,11,1,1,2,2,10.7
True,2022-10-25,16,21,PHOENIX SUNS,HOME,GOLDEN STATE WARRIORS,WIN,2113,5,10,4,5,2,2,0,7,9,1,0,2,4,16.8
True,2022-10-28,7,-3,PHOENIX SUNS,HOME,NEW ORLEANS PELICANS,WIN,1838,1,7,0,1,5,6,1,4,9,1,0,3,1,7.9
True,2022-10-30,10,19,PHOENIX SUNS,HOME,HOUSTON ROCKETS,WIN,1874,3,7,0,4,4,5,0,1,15,0,0,0,1,16.3
True,2022-11-01,15,18,PHOENIX SUNS,HOME,MINNESOTA TIMBERWOLVES,WIN,2032,5,12,1,5,4,6,1,7,12,3,0,1,2,20.2
True,2022-11-04,7,4,PHOENIX SUNS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2028,1,4,1,3,4,4,0,2,11,2,1,0,2,14.8
True,2022-11-05,15,16,PHOENIX SUNS,HOME,PORTLAND TRAIL BLAZERS,WIN,1461,3,7,2,4,7,7,0,5,4,0,0,1,2,13.8
True,2022-11-07,2,-10,PHOENIX SUNS,AWAY,PHILADELPHIA 76ERS,LOSS,825,1,1,0,0,0,0,0,2,2,2,0,2,1,3.3
True,2022-12-07,4,-28,PHOENIX SUNS,HOME,BOSTON CELTICS,LOSS,1443,2,6,0,2,0,0,0,4,4,1,0,4,3,0.4
True,2022-12-09,24,3,PHOENIX SUNS,AWAY,NEW ORLEANS PELICANS,LOSS,2045,7,14,6,9,4,4,0,8,7,0,0,3,3,20.1
True,2022-12-11,6,-5,PHOENIX SUNS,AWAY,NEW ORLEANS PELICANS,LOSS,2034,3,10,0,3,0,1,1,2,11,1,0,3,6,4.4
True,2022-12-13,16,-10,PHOENIX SUNS,AWAY,HOUSTON ROCKETS,LOSS,2258,5,17,2,10,4,4,1,5,7,2,1,4,2,11.1
True,2022-12-15,15,7,PHOENIX SUNS,AWAY,LOS ANGELES CLIPPERS,WIN,2163,6,13,2,6,1,2,1,6,13,2,1,1,0,21.2
True,2022-12-17,18,6,PHOENIX SUNS,HOME,NEW ORLEANS PELICANS,WIN,2122,6,11,5,7,1,2,0,5,8,1,0,2,2,17.6
