active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,13,5,ORLANDO MAGIC,AWAY,DETROIT PISTONS,LOSS,1909,5,12,3,8,0,1,1,3,1,1,0,0,2,8.7
True,2022-10-21,11,-8,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,LOSS,2118,4,8,1,4,2,2,1,3,2,0,1,1,4,8.1
True,2022-10-22,29,-3,ORLANDO MAGIC,HOME,BOSTON CELTICS,LOSS,2109,11,16,5,8,2,2,1,3,1,1,0,0,3,24.3
True,2022-10-24,8,-7,ORLANDO MAGIC,AWAY,NEW YORK KNICKS,LOSS,1955,3,7,2,5,0,0,0,3,0,1,0,1,1,4.8
True,2022-10-26,7,-17,ORLANDO MAGIC,AWAY,CLEVELAND CAVALIERS,LOSS,1914,3,10,1,3,0,0,1,1,2,2,0,0,3,4.4
True,2022-10-28,5,18,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,WIN,1438,2,7,1,5,0,1,0,2,1,1,1,0,3,2.3
True,2022-10-30,8,1,ORLANDO MAGIC,AWAY,DALLAS MAVERICKS,LOSS,1528,3,7,2,4,0,0,0,3,2,0,0,1,2,4.8
True,2022-11-01,0,1,ORLANDO MAGIC,AWAY,OKLAHOMA CITY THUNDER,LOSS,223,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2022-11-05,0,-13,ORLANDO MAGIC,HOME,SACRAMENTO KINGS,LOSS,936,0,2,0,0,0,0,0,1,1,1,0,2,1,-1.8
True,2022-11-07,21,-3,ORLANDO MAGIC,HOME,HOUSTON ROCKETS,LOSS,1853,8,15,5,10,0,0,0,3,2,1,1,4,2,12.9
True,2022-11-09,6,8,ORLANDO MAGIC,HOME,DALLAS MAVERICKS,WIN,1814,3,9,0,2,0,1,0,4,1,0,0,2,4,-1.2
True,2022-11-11,14,9,ORLANDO MAGIC,HOME,PHOENIX SUNS,WIN,1468,5,9,2,3,2,2,1,1,2,0,0,0,1,11.7
True,2022-11-14,3,4,ORLANDO MAGIC,HOME,CHARLOTTE HORNETS,LOSS,1319,1,6,1,4,0,0,1,2,4,0,0,4,2,-1.5
True,2022-11-16,6,-2,ORLANDO MAGIC,HOME,MINNESOTA TIMBERWOLVES,LOSS,1597,1,4,1,2,3,3,0,2,2,0,0,3,3,1.4
True,2022-11-18,8,8,ORLANDO MAGIC,AWAY,CHICAGO BULLS,WIN,1381,3,6,2,4,0,0,0,2,0,0,0,2,1,3.2
True,2022-11-19,7,1,ORLANDO MAGIC,AWAY,INDIANA PACERS,LOSS,1422,3,12,1,7,0,0,0,1,1,1,0,0,0,1.8
True,2022-11-21,6,-8,ORLANDO MAGIC,AWAY,INDIANA PACERS,LOSS,1311,2,7,2,5,0,0,0,2,2,3,1,1,0,6.6
True,2022-11-27,7,-11,ORLANDO MAGIC,HOME,PHILADELPHIA 76ERS,LOSS,515,3,6,1,3,0,1,0,0,0,2,0,3,0,2.6
True,2022-11-30,12,-1,ORLANDO MAGIC,HOME,ATLANTA HAWKS,LOSS,1345,5,11,2,6,0,0,0,0,1,0,0,1,0,6.0
True,2022-12-02,4,-4,ORLANDO MAGIC,AWAY,CLEVELAND CAVALIERS,LOSS,1275,2,7,0,3,0,0,0,2,1,0,0,1,0,0.2
True,2022-12-03,18,17,ORLANDO MAGIC,AWAY,TORONTO RAPTORS,LOSS,1492,7,7,4,4,0,0,0,1,0,2,0,0,1,17.8
True,2022-12-05,5,-5,ORLANDO MAGIC,HOME,MILWAUKEE BUCKS,LOSS,1379,2,10,1,4,0,0,1,3,2,0,0,1,0,0.8
True,2022-12-07,0,2,ORLANDO MAGIC,HOME,LOS ANGELES CLIPPERS,WIN,664,0,3,0,2,0,0,0,2,0,0,1,0,1,-1.2
True,2022-12-09,0,-14,ORLANDO MAGIC,HOME,TORONTO RAPTORS,WIN,1210,0,2,0,2,0,0,0,0,2,0,1,2,4,-2.9
True,2022-12-11,8,16,ORLANDO MAGIC,HOME,TORONTO RAPTORS,WIN,1387,3,6,2,3,0,0,0,1,0,1,0,0,1,5.9
True,2022-12-14,11,9,ORLANDO MAGIC,HOME,ATLANTA HAWKS,WIN,1459,4,9,3,7,0,0,1,3,1,1,0,2,1,7.2
True,2022-12-16,7,13,ORLANDO MAGIC,AWAY,BOSTON CELTICS,WIN,1662,3,8,1,5,0,0,0,5,2,1,0,1,0,5.5
True,2022-12-18,2,0,ORLANDO MAGIC,AWAY,BOSTON CELTICS,WIN,1137,1,6,0,3,0,0,0,1,2,0,0,1,1,-1.5
True,2022-12-19,14,-15,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,LOSS,1517,5,11,2,7,2,2,0,0,3,0,0,0,1,10.0
True,2022-12-21,2,10,ORLANDO MAGIC,AWAY,HOUSTON ROCKETS,WIN,1154,1,6,0,4,0,0,0,1,1,1,0,0,1,-0.2
True,2022-12-23,2,-8,ORLANDO MAGIC,HOME,SAN ANTONIO SPURS,WIN,394,1,1,0,0,0,0,0,0,0,0,0,1,0,0.7
True,2022-12-27,13,-14,ORLANDO MAGIC,HOME,LOS ANGELES LAKERS,LOSS,1287,6,10,0,2,1,2,1,1,1,0,0,0,0,9.7
True,2022-12-30,6,-21,ORLANDO MAGIC,HOME,WASHINGTON WIZARDS,LOSS,1421,3,10,0,2,0,0,0,1,1,1,0,0,3,1.0
True,2023-01-04,18,8,ORLANDO MAGIC,HOME,OKLAHOMA CITY THUNDER,WIN,1332,6,9,3,4,3,3,1,4,3,1,1,1,2,18.0
True,2023-01-05,14,-6,ORLANDO MAGIC,HOME,MEMPHIS GRIZZLIES,LOSS,1088,5,7,4,6,0,0,0,2,1,0,0,1,1,11.0
True,2023-01-07,5,12,ORLANDO MAGIC,AWAY,GOLDEN STATE WARRIORS,WIN,1384,2,3,1,1,0,0,0,4,3,1,0,0,0,8.0
True,2023-01-09,3,-13,ORLANDO MAGIC,AWAY,SACRAMENTO KINGS,LOSS,802,1,3,1,2,0,0,0,1,0,0,0,0,0,1.6
True,2023-01-10,0,-16,ORLANDO MAGIC,AWAY,PORTLAND TRAIL BLAZERS,WIN,901,0,0,0,0,0,0,0,2,0,1,0,0,1,1.2
True,2023-01-13,8,-4,ORLANDO MAGIC,AWAY,UTAH JAZZ,LOSS,1364,3,9,2,5,0,0,0,2,1,0,0,0,2,3.4
True,2023-01-15,7,1,ORLANDO MAGIC,AWAY,DENVER NUGGETS,LOSS,1394,3,6,1,4,0,0,0,1,0,1,0,1,0,4.3
True,2023-01-20,8,16,ORLANDO MAGIC,HOME,NEW ORLEANS PELICANS,WIN,1344,3,3,2,2,0,0,0,1,2,0,1,0,1,9.1
True,2023-01-21,8,-7,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,LOSS,1439,3,9,2,5,0,0,0,1,2,0,0,0,0,4.6
True,2023-02-16,16,-6,PHOENIX SUNS,HOME,LOS ANGELES CLIPPERS,LOSS,1503,7,17,1,8,1,2,1,3,4,0,0,0,2,10.1
True,2023-02-24,9,11,PHOENIX SUNS,HOME,OKLAHOMA CITY THUNDER,WIN,1376,3,7,3,6,0,0,0,7,2,1,0,0,2,9.0
True,2023-02-26,7,4,PHOENIX SUNS,AWAY,MILWAUKEE BUCKS,LOSS,1028,3,5,1,3,0,0,0,1,0,0,0,0,4,3.4
True,2023-03-05,0,-9,PHOENIX SUNS,AWAY,DALLAS MAVERICKS,WIN,773,0,1,0,1,0,0,1,0,1,0,0,0,3,-0.5
True,2023-03-08,24,9,PHOENIX SUNS,HOME,OKLAHOMA CITY THUNDER,WIN,1403,8,13,6,10,2,2,1,1,2,2,0,0,2,21.7
True,2023-03-11,18,-18,PHOENIX SUNS,HOME,SACRAMENTO KINGS,LOSS,1362,7,13,4,10,0,0,1,0,1,2,0,2,3,11.9
True,2023-03-13,3,-14,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,LOSS,916,1,5,1,3,0,0,1,2,2,1,0,1,3,1.4
True,2023-03-14,0,-5,PHOENIX SUNS,HOME,MILWAUKEE BUCKS,LOSS,674,0,3,0,1,0,0,0,2,2,1,0,0,2,0.1
True,2023-03-16,7,6,PHOENIX SUNS,HOME,ORLANDO MAGIC,WIN,961,2,5,1,2,2,2,0,1,1,0,0,0,5,3.3
True,2023-03-19,12,-7,PHOENIX SUNS,AWAY,OKLAHOMA CITY THUNDER,LOSS,960,4,8,2,5,2,3,0,4,1,1,0,1,2,8.7
True,2023-03-22,3,-12,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,746,1,6,1,2,0,0,1,1,1,0,0,0,1,0.5
True,2023-03-24,30,8,PHOENIX SUNS,AWAY,SACRAMENTO KINGS,LOSS,1607,11,16,6,10,2,2,0,5,1,0,0,0,3,24.2
True,2023-03-25,15,11,PHOENIX SUNS,HOME,PHILADELPHIA 76ERS,WIN,1377,6,12,3,8,0,0,0,7,4,0,0,0,3,12.7
True,2023-03-27,13,5,PHOENIX SUNS,AWAY,UTAH JAZZ,WIN,923,5,14,2,9,1,1,2,3,1,0,0,1,2,6.4
True,2023-03-29,0,-4,PHOENIX SUNS,HOME,MINNESOTA TIMBERWOLVES,WIN,771,0,3,0,1,0,0,0,4,2,0,0,0,1,0.1
True,2023-03-31,0,0,PHOENIX SUNS,HOME,DENVER NUGGETS,WIN,909,0,3,0,3,0,0,0,2,2,1,0,0,0,0.9
True,2023-04-02,0,5,PHOENIX SUNS,AWAY,OKLAHOMA CITY THUNDER,WIN,679,0,2,0,2,0,0,2,0,1,0,0,0,1,0.3
True,2023-04-04,0,14,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,WIN,731,0,3,0,3,0,0,1,5,3,0,1,0,0,2.9
True,2023-04-06,8,-2,PHOENIX SUNS,HOME,DENVER NUGGETS,WIN,902,3,4,2,3,0,0,0,3,0,0,0,0,0,7.3
True,2023-04-07,10,-18,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,1714,5,11,0,3,0,0,1,2,6,1,1,1,1,10.1
True,2023-04-09,13,-9,PHOENIX SUNS,HOME,LOS ANGELES CLIPPERS,LOSS,1872,5,15,1,5,2,2,0,4,4,0,0,0,4,6.9
