active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-23,8,4,PHOENIX SUNS,AWAY,LOS ANGELES CLIPPERS,WIN,800,2,5,2,5,2,2,0,1,1,1,0,0,1,6.9
True,2022-10-25,2,8,PHOENIX SUNS,HOME,GOLDEN STATE WARRIORS,WIN,908,1,2,0,0,0,0,0,0,1,1,0,1,2,0.9
True,2022-10-28,5,13,PHOENIX SUNS,HOME,NEW ORLEANS PELICANS,WIN,1037,2,4,1,3,0,0,1,0,2,1,0,0,4,4.5
True,2022-10-30,10,3,PHOENIX SUNS,HOME,HOUSTON ROCKETS,WIN,912,3,6,2,5,2,4,0,1,1,2,0,1,1,7.8
True,2022-11-01,8,-6,PHOENIX SUNS,HOME,MINNESOTA TIMBERWOLVES,WIN,1010,2,8,2,5,2,2,0,0,0,0,0,1,0,2.2
True,2022-11-04,6,-5,PHOENIX SUNS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1155,2,8,1,5,1,1,1,0,2,0,0,2,1,0.9
True,2022-11-05,8,11,PHOENIX SUNS,HOME,PORTLAND TRAIL BLAZERS,WIN,1159,3,6,2,4,0,0,0,1,2,0,1,0,0,7.4
True,2022-11-07,0,6,PHOENIX SUNS,AWAY,PHILADELPHIA 76ERS,LOSS,668,0,4,0,3,0,0,0,1,1,0,0,0,1,-2.2
True,2022-11-09,16,8,PHOENIX SUNS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1136,5,7,2,3,4,4,0,0,1,0,0,3,2,10.0
True,2022-11-26,2,-2,PHOENIX SUNS,HOME,UTAH JAZZ,WIN,895,1,2,0,0,0,0,0,0,0,0,1,1,2,-0.1
True,2022-11-28,6,2,PHOENIX SUNS,AWAY,SACRAMENTO KINGS,WIN,1093,2,5,2,5,0,0,0,2,0,0,0,1,2,2.1
True,2022-11-30,12,6,PHOENIX SUNS,HOME,CHICAGO BULLS,WIN,1113,4,7,4,7,0,0,1,2,1,1,0,1,1,10.3
True,2022-12-02,5,-7,PHOENIX SUNS,HOME,HOUSTON ROCKETS,LOSS,1115,1,5,1,4,2,2,1,0,1,1,0,1,4,1.7
True,2022-12-04,10,9,PHOENIX SUNS,AWAY,SAN ANTONIO SPURS,WIN,821,3,8,2,7,2,2,0,1,3,0,0,2,1,5.6
True,2022-12-05,13,-12,PHOENIX SUNS,AWAY,DALLAS MAVERICKS,LOSS,1134,4,9,3,6,2,2,0,1,2,0,0,2,0,8.0
True,2022-12-07,6,14,PHOENIX SUNS,HOME,BOSTON CELTICS,LOSS,1240,2,5,2,4,0,0,0,1,1,0,0,0,0,4.3
True,2022-12-09,0,0,PHOENIX SUNS,AWAY,NEW ORLEANS PELICANS,LOSS,277,0,0,0,0,0,0,0,0,2,1,0,1,0,1.4
True,2022-12-11,5,13,PHOENIX SUNS,AWAY,NEW ORLEANS PELICANS,LOSS,763,2,3,1,2,0,1,0,0,3,3,1,0,1,8.7
True,2022-12-13,13,-7,PHOENIX SUNS,AWAY,HOUSTON ROCKETS,LOSS,1912,5,13,3,11,0,0,2,2,3,2,0,0,3,10.8
True,2022-12-15,6,12,PHOENIX SUNS,AWAY,LOS ANGELES CLIPPERS,WIN,1183,1,7,0,3,4,4,0,1,4,0,0,0,2,3.8
True,2022-12-17,4,-5,PHOENIX SUNS,HOME,NEW ORLEANS PELICANS,WIN,880,1,6,0,2,2,2,1,0,3,1,0,0,1,3.6
True,2022-12-19,13,15,PHOENIX SUNS,HOME,LOS ANGELES LAKERS,WIN,1766,4,12,3,7,2,2,0,3,2,1,1,0,0,10.2
True,2022-12-20,31,4,PHOENIX SUNS,HOME,WASHINGTON WIZARDS,LOSS,2123,10,21,9,16,2,2,0,2,5,0,0,1,2,22.6
True,2022-12-23,15,-17,PHOENIX SUNS,HOME,MEMPHIS GRIZZLIES,LOSS,1882,6,16,3,10,0,0,1,4,3,1,0,2,0,9.2
True,2022-12-25,31,3,PHOENIX SUNS,AWAY,DENVER NUGGETS,LOSS,2320,10,20,7,17,4,4,0,2,6,0,1,2,5,22.5
True,2023-01-02,6,-7,PHOENIX SUNS,AWAY,NEW YORK KNICKS,LOSS,1527,2,9,2,6,0,0,0,6,2,0,0,3,0,0.7
True,2023-01-04,14,0,PHOENIX SUNS,AWAY,CLEVELAND CAVALIERS,LOSS,2175,4,12,2,6,4,4,0,4,3,1,0,0,5,9.5
True,2023-01-06,11,-14,PHOENIX SUNS,HOME,MIAMI HEAT,LOSS,2000,4,9,1,3,2,3,0,2,3,0,0,3,1,5.2
True,2023-01-08,11,-18,PHOENIX SUNS,HOME,CLEVELAND CAVALIERS,LOSS,1986,4,14,3,7,0,0,0,2,3,1,0,0,2,5.7
True,2023-01-16,9,-28,PHOENIX SUNS,AWAY,MEMPHIS GRIZZLIES,LOSS,1554,2,9,1,6,4,4,0,4,6,0,0,1,2,7.1
True,2023-03-19,10,-2,PHOENIX SUNS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1222,3,4,3,4,1,2,0,0,2,1,0,2,2,7.6
True,2023-03-22,15,-7,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,1747,6,13,3,8,0,0,1,2,3,2,0,2,2,10.9
True,2023-03-24,5,-5,PHOENIX SUNS,AWAY,SACRAMENTO KINGS,LOSS,957,2,4,1,2,0,0,0,1,0,0,0,1,1,1.9
True,2023-03-25,0,13,PHOENIX SUNS,HOME,PHILADELPHIA 76ERS,WIN,802,0,4,0,3,0,0,0,0,1,2,0,0,3,-1.3
True,2023-03-27,0,14,PHOENIX SUNS,AWAY,UTAH JAZZ,WIN,823,0,2,0,1,0,0,0,2,4,0,0,0,1,1.6
True,2023-04-02,7,5,PHOENIX SUNS,AWAY,OKLAHOMA CITY THUNDER,WIN,744,2,5,2,5,1,2,0,0,0,0,0,0,1,3.5
True,2023-04-04,0,-5,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,WIN,751,0,4,0,2,0,0,2,1,3,0,0,1,2,-0.8
True,2023-04-06,2,7,PHOENIX SUNS,HOME,DENVER NUGGETS,WIN,429,1,3,0,1,0,0,0,0,2,0,0,0,0,1.7
True,2023-04-07,7,9,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,1333,2,9,2,5,1,1,0,4,5,3,0,1,2,7.4
True,2023-04-09,14,6,PHOENIX SUNS,HOME,LOS ANGELES CLIPPERS,LOSS,1060,5,10,3,6,1,1,0,3,6,0,0,0,1,13.7
