active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-11-16,3,-4,PHOENIX SUNS,HOME,GOLDEN STATE WARRIORS,WIN,86,1,2,1,2,0,0,0,0,0,0,0,0,0,2.0
True,2022-11-20,3,17,PHOENIX SUNS,HOME,NEW YORK KNICKS,WIN,1225,1,8,1,6,0,0,4,3,2,0,0,2,2,0.1
True,2022-11-22,6,11,PHOENIX SUNS,HOME,LOS ANGELES LAKERS,WIN,690,2,2,2,2,0,0,2,1,1,0,2,0,2,8.4
True,2022-11-26,6,4,PHOENIX SUNS,HOME,UTAH JAZZ,WIN,1050,2,3,2,2,0,0,1,1,0,3,0,0,2,7.9
True,2022-11-28,0,2,PHOENIX SUNS,AWAY,SACRAMENTO KINGS,WIN,183,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2022-11-30,0,8,PHOENIX SUNS,HOME,CHICAGO BULLS,WIN,568,0,1,0,1,0,0,1,0,1,0,0,0,2,-0.1
True,2022-12-02,8,-8,PHOENIX SUNS,HOME,HOUSTON ROCKETS,LOSS,1163,2,4,2,4,2,2,0,1,1,0,0,0,4,5.4
True,2022-12-04,8,11,PHOENIX SUNS,AWAY,SAN ANTONIO SPURS,WIN,1666,3,3,2,2,0,1,0,1,4,1,0,0,2,10.0
True,2022-12-05,6,-9,PHOENIX SUNS,AWAY,DALLAS MAVERICKS,LOSS,810,2,5,2,5,0,0,1,2,1,1,0,1,1,4.9
True,2022-12-07,0,10,PHOENIX SUNS,HOME,BOSTON CELTICS,LOSS,606,0,0,0,0,0,0,0,1,1,1,0,0,0,2.0
True,2022-12-13,0,-5,PHOENIX SUNS,AWAY,HOUSTON ROCKETS,LOSS,257,0,1,0,1,0,0,0,1,0,0,0,0,0,-0.4
True,2022-12-15,2,8,PHOENIX SUNS,AWAY,LOS ANGELES CLIPPERS,WIN,404,1,1,0,0,0,0,1,1,0,0,0,0,0,2.7
