active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-24,4,3,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,WIN,247,2,2,0,0,0,1,0,0,0,0,0,0,0,3.0
True,2022-10-26,2,0,PORTLAND TRAIL BLAZERS,HOME,MIAMI HEAT,LOSS,468,1,2,0,0,0,2,0,0,0,1,1,1,0,0.9
True,2022-10-28,2,0,PORTLAND TRAIL BLAZERS,HOME,HOUSTON ROCKETS,WIN,58,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2022-11-05,2,8,PORTLAND TRAIL BLAZERS,AWAY,PHOENIX SUNS,LOSS,537,1,2,0,0,0,2,0,1,0,2,1,1,3,1.0
True,2022-11-30,0,-8,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES LAKERS,LOSS,501,0,4,0,2,0,0,1,0,0,0,2,1,0,-1.7
True,2022-12-03,6,2,PORTLAND TRAIL BLAZERS,AWAY,UTAH JAZZ,WIN,1071,2,4,1,3,1,1,0,4,0,0,0,0,3,4.0
True,2022-12-04,1,-1,PORTLAND TRAIL BLAZERS,HOME,INDIANA PACERS,WIN,129,0,0,0,0,1,2,0,1,0,0,0,0,1,0.5
True,2022-12-16,2,5,PORTLAND TRAIL BLAZERS,AWAY,DALLAS MAVERICKS,LOSS,720,1,4,0,0,0,0,1,3,0,1,1,2,0,0.9
True,2022-12-17,0,-10,PORTLAND TRAIL BLAZERS,AWAY,HOUSTON ROCKETS,WIN,242,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2022-12-26,0,0,PORTLAND TRAIL BLAZERS,HOME,CHARLOTTE HORNETS,WIN,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-02,5,2,PORTLAND TRAIL BLAZERS,HOME,DETROIT PISTONS,WIN,342,1,2,0,1,3,4,0,1,0,0,0,0,1,3.5
True,2023-01-14,2,-7,PORTLAND TRAIL BLAZERS,HOME,DALLAS MAVERICKS,WIN,325,1,2,0,0,0,0,0,4,0,0,0,1,0,1.2
True,2023-01-15,2,-6,PORTLAND TRAIL BLAZERS,HOME,DALLAS MAVERICKS,WIN,241,1,1,0,0,0,0,0,2,1,0,0,0,2,2.2
True,2023-01-17,0,6,PORTLAND TRAIL BLAZERS,AWAY,DENVER NUGGETS,LOSS,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-23,0,-2,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,WIN,316,0,2,0,0,0,0,0,0,0,0,0,0,2,-2.2
True,2023-02-06,0,3,PORTLAND TRAIL BLAZERS,HOME,MILWAUKEE BUCKS,LOSS,221,0,2,0,1,0,0,0,1,2,0,0,0,0,0.3
