active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-11-05,2,8,PORTLAND TRAIL BLAZERS,AWAY,PHOENIX SUNS,LOSS,537,1,2,0,1,0,0,0,1,0,0,1,0,0,2.0
True,2022-11-21,0,6,PORTLAND TRAIL BLAZERS,AWAY,MILWAUKEE BUCKS,LOSS,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-23,0,-3,PORTLAND TRAIL BLAZERS,AWAY,CLEVELAND CAVALIERS,LOSS,162,0,1,0,1,0,0,1,0,1,0,0,0,0,0.7
True,2022-11-30,0,-3,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES LAKERS,LOSS,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-23,0,-1,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,WIN,89,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2023-01-28,0,-1,PORTLAND TRAIL BLAZERS,HOME,TORONTO RAPTORS,LOSS,92,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2023-02-06,0,3,PORTLAND TRAIL BLAZERS,HOME,MILWAUKEE BUCKS,LOSS,322,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2023-02-13,0,-5,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES LAKERS,WIN,120,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7
True,2023-02-23,0,6,PORTLAND TRAIL BLAZERS,AWAY,SACRAMENTO KINGS,LOSS,274,0,1,0,1,0,0,0,0,0,1,1,0,0,1.0
True,2023-03-22,0,-4,PORTLAND TRAIL BLAZERS,AWAY,UTAH JAZZ,WIN,99,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2023-03-24,0,-6,PORTLAND TRAIL BLAZERS,HOME,CHICAGO BULLS,LOSS,456,0,0,0,0,0,0,0,1,0,0,1,0,0,1.0
True,2023-03-27,0,-7,PORTLAND TRAIL BLAZERS,HOME,NEW ORLEANS PELICANS,LOSS,997,0,3,0,2,0,0,0,1,0,0,0,0,3,-3.0
True,2023-03-29,3,-10,PORTLAND TRAIL BLAZERS,HOME,SACRAMENTO KINGS,LOSS,1564,1,6,0,4,1,1,0,3,1,2,1,0,4,1.9
True,2023-03-31,3,0,PORTLAND TRAIL BLAZERS,HOME,SACRAMENTO KINGS,LOSS,953,1,4,1,3,0,0,0,0,2,1,0,0,2,2.2
True,2023-04-02,5,7,PORTLAND TRAIL BLAZERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1069,2,5,1,3,0,0,1,0,0,0,0,0,1,2.6
True,2023-04-04,10,-8,PORTLAND TRAIL BLAZERS,AWAY,MEMPHIS GRIZZLIES,LOSS,1503,4,9,2,7,0,0,1,4,0,1,1,0,1,8.5
True,2023-04-06,12,-6,PORTLAND TRAIL BLAZERS,AWAY,SAN ANTONIO SPURS,LOSS,2192,4,11,2,6,2,2,0,2,4,2,2,1,2,10.9
True,2023-04-08,7,-10,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES CLIPPERS,LOSS,1292,3,5,1,3,0,1,0,1,3,0,1,0,4,5.8
True,2023-04-09,3,-37,PORTLAND TRAIL BLAZERS,HOME,GOLDEN STATE WARRIORS,LOSS,1321,1,5,1,3,0,0,0,1,0,0,0,0,2,-0.6
