active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,23,7,PORTLAND TRAIL BLAZERS,AWAY,SACRAMENTO KINGS,WIN,2120,5,11,3,3,10,13,2,6,1,2,0,1,4,19.4
True,2022-10-21,8,-4,PORTLAND TRAIL BLAZERS,HOME,PHOENIX SUNS,WIN,2406,3,7,1,2,1,4,0,4,2,0,2,1,1,5.7
True,2022-10-23,16,0,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES LAKERS,WIN,2082,5,11,2,3,4,4,0,2,1,0,0,1,3,9.4
True,2022-10-24,21,19,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,WIN,2130,7,13,1,6,6,7,0,2,1,0,1,1,1,14.9
True,2022-10-26,11,-11,PORTLAND TRAIL BLAZERS,HOME,MIAMI HEAT,LOSS,1691,4,10,1,5,2,5,0,3,4,0,0,3,0,5.1
True,2022-10-28,15,22,PORTLAND TRAIL BLAZERS,HOME,HOUSTON ROCKETS,WIN,2101,5,11,2,6,3,4,1,4,4,2,1,3,2,12.5
True,2022-11-02,23,8,PORTLAND TRAIL BLAZERS,HOME,MEMPHIS GRIZZLIES,LOSS,2297,7,18,3,9,6,7,0,5,3,0,1,4,1,12.7
True,2022-11-04,30,-2,PORTLAND TRAIL BLAZERS,AWAY,PHOENIX SUNS,WIN,2322,10,17,1,3,9,11,0,2,5,0,1,3,3,21.9
True,2022-11-05,14,-19,PORTLAND TRAIL BLAZERS,AWAY,PHOENIX SUNS,LOSS,1559,4,10,1,1,5,6,2,3,3,0,1,3,1,9.9
True,2022-11-07,23,3,PORTLAND TRAIL BLAZERS,AWAY,MIAMI HEAT,WIN,2099,9,15,5,8,0,0,1,5,2,0,1,3,3,16.2
