active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,19,-1,PORTLAND TRAIL BLAZERS,AWAY,SACRAMENTO KINGS,WIN,2298,8,11,0,0,3,3,0,7,5,1,0,2,3,17.9
True,2022-10-21,10,-3,PORTLAND TRAIL BLAZERS,HOME,PHOENIX SUNS,WIN,2459,3,9,1,2,3,4,3,4,3,2,0,1,3,9.7
True,2022-10-23,9,-4,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES LAKERS,WIN,2187,3,5,1,1,2,2,2,14,5,2,0,3,2,14.0
True,2022-10-24,6,20,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,WIN,2070,3,7,0,2,0,1,4,7,1,0,0,1,1,6.1
True,2022-10-26,10,-15,PORTLAND TRAIL BLAZERS,HOME,MIAMI HEAT,LOSS,1889,3,4,1,1,3,3,2,4,6,3,1,2,2,16.1
True,2022-10-28,9,10,PORTLAND TRAIL BLAZERS,HOME,HOUSTON ROCKETS,WIN,2028,3,8,0,2,3,3,2,6,4,0,0,1,1,9.2
True,2022-11-02,5,-8,PORTLAND TRAIL BLAZERS,HOME,MEMPHIS GRIZZLIES,LOSS,2377,1,4,0,1,3,5,2,4,4,1,1,3,4,4.3
True,2022-11-04,7,0,PORTLAND TRAIL BLAZERS,AWAY,PHOENIX SUNS,WIN,2297,3,7,1,2,0,0,1,8,6,0,0,3,3,6.4
True,2022-11-05,4,-18,PORTLAND TRAIL BLAZERS,AWAY,PHOENIX SUNS,LOSS,1927,1,6,1,1,1,2,1,6,8,1,0,0,3,7.7
True,2022-11-07,12,13,PORTLAND TRAIL BLAZERS,AWAY,MIAMI HEAT,WIN,2211,3,5,1,3,5,7,0,9,8,2,0,5,3,13.0
