active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-24,3,4,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,WIN,578,1,2,1,2,0,0,0,2,1,0,2,3,1,1.3
True,2022-10-26,2,-2,PORTLAND TRAIL BLAZERS,HOME,MIAMI HEAT,LOSS,497,1,2,0,1,0,0,0,3,1,0,0,2,1,0.2
True,2022-10-28,8,-5,PORTLAND TRAIL BLAZERS,HOME,HOUSTON ROCKETS,WIN,1008,3,7,1,4,1,2,0,1,1,2,0,0,1,6.5
True,2022-11-02,10,-3,PORTLAND TRAIL BLAZERS,HOME,MEMPHIS GRIZZLIES,LOSS,1054,4,9,2,5,0,0,1,4,3,0,0,1,1,7.9
True,2022-11-04,11,2,PORTLAND TRAIL BLAZERS,AWAY,PHOENIX SUNS,WIN,1393,4,13,2,8,1,2,1,1,1,2,0,3,4,2.2
True,2022-11-05,8,-16,PORTLAND TRAIL BLAZERS,AWAY,PHOENIX SUNS,LOSS,1851,3,12,2,3,0,2,1,1,3,1,0,4,2,-0.7
True,2022-12-08,3,1,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,LOSS,29,1,1,1,1,0,0,0,0,0,0,0,0,0,2.7
True,2022-12-12,0,-5,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,WIN,363,0,2,0,1,0,0,0,1,1,0,0,2,0,-2.4
True,2022-12-14,3,0,PORTLAND TRAIL BLAZERS,AWAY,SAN ANTONIO SPURS,WIN,194,1,2,1,2,0,0,0,0,0,0,0,1,0,1.0
True,2022-12-16,13,5,PORTLAND TRAIL BLAZERS,AWAY,DALLAS MAVERICKS,LOSS,1121,5,11,2,7,1,2,0,3,3,0,0,1,2,8.1
True,2022-12-17,6,-3,PORTLAND TRAIL BLAZERS,AWAY,HOUSTON ROCKETS,WIN,1033,3,6,0,2,0,0,0,3,1,0,0,2,1,2.2
True,2022-12-19,9,-7,PORTLAND TRAIL BLAZERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,813,3,11,3,5,0,0,2,2,1,0,0,0,1,4.8
True,2022-12-21,3,-2,PORTLAND TRAIL BLAZERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,471,1,1,1,1,0,0,0,0,1,0,1,1,2,2.3
True,2022-12-23,6,-8,PORTLAND TRAIL BLAZERS,AWAY,DENVER NUGGETS,LOSS,948,2,4,0,2,2,3,0,1,2,2,0,1,0,6.3
