active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,3,-2,DETROIT PISTONS,HOME,ORLANDO MAGIC,WIN,790,1,8,1,6,0,0,0,3,0,0,0,2,2,-4.1
True,2022-10-21,2,-22,DETROIT PISTONS,AWAY,NEW YORK KNICKS,LOSS,682,1,6,0,3,0,0,1,1,0,0,0,0,0,-0.8
True,2022-10-25,2,-5,DETROIT PISTONS,AWAY,WASHINGTON WIZARDS,LOSS,199,1,2,0,1,0,0,0,0,0,1,0,0,3,0.8
True,2022-10-26,0,3,DETROIT PISTONS,HOME,ATLANTA HAWKS,LOSS,326,0,0,0,0,0,0,0,1,0,0,0,0,2,-0.5
True,2022-10-28,0,0,DETROIT PISTONS,HOME,ATLANTA HAWKS,LOSS,183,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2022-11-02,4,3,DETROIT PISTONS,AWAY,MILWAUKEE BUCKS,LOSS,304,2,3,0,1,0,0,0,0,0,0,0,0,0,2.7
True,2022-11-04,3,0,DETROIT PISTONS,HOME,CLEVELAND CAVALIERS,LOSS,1057,1,3,1,3,0,0,1,1,1,0,1,1,2,1.9
True,2022-11-09,0,8,DETROIT PISTONS,AWAY,BOSTON CELTICS,LOSS,336,0,1,0,1,0,0,0,0,0,0,0,1,1,-2.1
True,2022-11-17,3,6,DETROIT PISTONS,AWAY,LOS ANGELES CLIPPERS,LOSS,535,1,4,1,3,0,0,1,1,0,1,2,0,1,3.6
True,2022-11-18,0,2,DETROIT PISTONS,AWAY,LOS ANGELES LAKERS,LOSS,289,0,1,0,1,0,0,0,1,1,0,0,1,0,-0.7
True,2022-11-20,11,13,DETROIT PISTONS,AWAY,SACRAMENTO KINGS,LOSS,1356,4,7,3,5,0,0,0,5,1,0,0,0,1,9.5
True,2022-11-22,17,12,DETROIT PISTONS,AWAY,DENVER NUGGETS,WIN,1476,8,11,1,4,0,0,1,7,1,1,0,1,3,14.8
True,2022-11-23,21,9,DETROIT PISTONS,AWAY,UTAH JAZZ,WIN,1547,6,8,6,8,3,4,0,3,0,0,0,1,2,16.5
True,2022-11-25,7,5,DETROIT PISTONS,AWAY,PHOENIX SUNS,LOSS,1759,3,7,1,3,0,0,2,2,1,1,2,0,2,7.6
True,2022-11-27,3,-9,DETROIT PISTONS,HOME,CLEVELAND CAVALIERS,LOSS,1042,1,3,1,2,0,0,1,1,0,0,0,1,2,0.5
True,2022-11-29,5,-2,DETROIT PISTONS,HOME,NEW YORK KNICKS,LOSS,1023,1,4,0,3,3,5,0,3,1,1,2,0,1,5.4
True,2022-12-01,2,-8,DETROIT PISTONS,HOME,DALLAS MAVERICKS,WIN,709,1,1,0,0,0,0,1,1,1,1,0,0,3,3.2
True,2022-12-04,6,11,DETROIT PISTONS,HOME,MEMPHIS GRIZZLIES,LOSS,718,2,4,1,2,1,2,1,4,0,0,0,0,1,5.1
True,2022-12-06,7,7,DETROIT PISTONS,AWAY,MIAMI HEAT,WIN,1059,3,5,1,3,0,0,0,1,0,0,0,2,3,1.8
True,2022-12-07,3,-8,DETROIT PISTONS,AWAY,NEW ORLEANS PELICANS,LOSS,901,1,6,1,5,0,0,0,3,0,1,0,1,4,-1.5
True,2022-12-09,13,-2,DETROIT PISTONS,AWAY,MEMPHIS GRIZZLIES,LOSS,998,4,5,3,3,2,2,1,3,0,0,0,0,4,11.1
True,2022-12-11,5,-12,DETROIT PISTONS,HOME,LOS ANGELES LAKERS,LOSS,764,2,4,1,3,0,0,1,0,1,0,0,1,2,2.6
True,2022-12-14,17,-10,DETROIT PISTONS,AWAY,CHARLOTTE HORNETS,WIN,1167,4,6,3,5,6,6,0,1,1,0,2,0,3,15.6
True,2022-12-16,7,3,DETROIT PISTONS,HOME,SACRAMENTO KINGS,LOSS,984,3,5,1,1,0,0,2,3,3,2,0,0,3,9.9
True,2022-12-18,9,-12,DETROIT PISTONS,HOME,BROOKLYN NETS,LOSS,1034,3,6,1,3,2,3,1,2,0,1,0,1,2,6.1
True,2022-12-20,9,9,DETROIT PISTONS,HOME,UTAH JAZZ,LOSS,1113,3,3,2,2,1,1,0,3,1,0,0,1,1,8.3
True,2022-12-21,2,-19,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,LOSS,1066,1,5,0,4,0,0,0,1,0,1,0,4,1,-4.2
True,2022-12-23,5,-12,DETROIT PISTONS,AWAY,ATLANTA HAWKS,LOSS,985,2,9,1,6,0,0,0,4,0,0,0,0,3,-0.5
True,2022-12-26,0,-3,DETROIT PISTONS,HOME,LOS ANGELES CLIPPERS,LOSS,431,0,1,0,1,0,0,0,1,0,0,0,0,1,-0.8
True,2022-12-28,3,-5,DETROIT PISTONS,HOME,ORLANDO MAGIC,WIN,378,1,3,1,3,0,0,0,1,0,0,0,1,0,0.6
True,2022-12-30,5,0,DETROIT PISTONS,AWAY,CHICAGO BULLS,LOSS,852,1,3,1,3,2,2,0,3,0,1,0,1,1,3.8
