active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,20,-1,PORTLAND TRAIL BLAZERS,AWAY,SACRAMENTO KINGS,WIN,2205,5,18,1,8,9,9,3,1,8,2,0,4,0,15.4
True,2022-10-21,41,-2,PORTLAND TRAIL BLAZERS,HOME,PHOENIX SUNS,WIN,2557,12,25,5,12,12,12,1,6,3,0,1,4,2,28.8
True,2022-10-23,41,2,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES LAKERS,WIN,2051,15,25,6,13,5,7,1,4,2,0,1,6,3,25.5
True,2022-10-24,31,24,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,WIN,2081,10,16,4,7,7,8,1,5,8,1,0,1,2,30.4
True,2022-10-26,22,-10,PORTLAND TRAIL BLAZERS,HOME,MIAMI HEAT,LOSS,1589,6,13,4,11,6,6,0,2,2,1,0,4,0,14.3
True,2022-11-07,19,6,PORTLAND TRAIL BLAZERS,AWAY,MIAMI HEAT,WIN,2072,4,12,3,8,8,9,0,3,6,0,0,4,2,12.1
True,2022-11-09,26,1,PORTLAND TRAIL BLAZERS,AWAY,CHARLOTTE HORNETS,WIN,2164,8,16,6,12,4,8,1,5,7,0,0,6,2,16.7
True,2022-11-12,29,-2,PORTLAND TRAIL BLAZERS,AWAY,DALLAS MAVERICKS,LOSS,2261,6,16,2,7,15,17,2,5,12,1,0,5,1,26.3
True,2022-11-15,22,15,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,WIN,2371,8,20,2,9,4,5,0,2,11,0,1,4,2,15.0
True,2022-11-17,25,-2,PORTLAND TRAIL BLAZERS,HOME,BROOKLYN NETS,LOSS,2258,8,24,3,12,6,6,1,2,11,1,0,2,2,18.6
True,2022-11-19,13,-17,PORTLAND TRAIL BLAZERS,HOME,UTAH JAZZ,LOSS,1598,2,14,1,12,8,9,0,2,7,0,0,2,2,6.3
True,2022-12-04,21,30,PORTLAND TRAIL BLAZERS,HOME,INDIANA PACERS,WIN,1922,7,16,5,10,2,2,0,4,6,1,1,4,4,14.1
True,2022-12-08,40,11,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,LOSS,2254,12,22,9,17,7,7,1,3,12,2,0,1,2,39.6
True,2022-12-10,36,4,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,WIN,2461,9,22,3,11,15,15,0,3,8,2,0,5,1,27.3
True,2022-12-12,38,24,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,WIN,1762,13,21,11,17,1,1,0,2,3,0,0,4,1,26.8
True,2022-12-14,37,7,PORTLAND TRAIL BLAZERS,AWAY,SAN ANTONIO SPURS,WIN,2181,14,23,7,14,2,2,0,5,8,2,0,5,1,30.2
True,2022-12-16,24,-14,PORTLAND TRAIL BLAZERS,AWAY,DALLAS MAVERICKS,LOSS,1461,6,14,3,8,9,10,0,1,3,0,0,2,2,15.8
True,2022-12-17,25,29,PORTLAND TRAIL BLAZERS,AWAY,HOUSTON ROCKETS,WIN,1957,7,20,5,13,6,8,0,3,10,2,0,1,2,21.1
True,2022-12-19,28,0,PORTLAND TRAIL BLAZERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2340,9,17,6,12,4,4,0,3,6,1,0,4,4,20.2
True,2022-12-21,16,-2,PORTLAND TRAIL BLAZERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2186,6,19,2,11,2,2,0,2,8,2,0,4,2,8.5
True,2022-12-23,34,-3,PORTLAND TRAIL BLAZERS,AWAY,DENVER NUGGETS,LOSS,2316,10,22,4,11,10,10,2,5,8,0,0,0,2,30.3
True,2022-12-26,17,21,PORTLAND TRAIL BLAZERS,HOME,CHARLOTTE HORNETS,WIN,2268,5,18,1,10,6,6,1,2,9,0,2,5,2,9.6
True,2022-12-30,34,-5,PORTLAND TRAIL BLAZERS,AWAY,GOLDEN STATE WARRIORS,LOSS,2532,12,29,4,15,6,7,2,6,5,0,1,3,4,20.9
True,2023-01-02,19,28,PORTLAND TRAIL BLAZERS,HOME,DETROIT PISTONS,WIN,1731,7,14,3,6,2,3,0,5,10,4,2,2,2,22.7
