active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,8,-7,PORTLAND TRAIL BLAZERS,AWAY,SACRAMENTO KINGS,WIN,1511,3,9,0,0,2,2,2,5,1,2,0,4,1,4.1
True,2022-10-21,20,0,PORTLAND TRAIL BLAZERS,HOME,PHOENIX SUNS,WIN,2109,6,10,0,1,8,9,4,13,2,1,1,3,4,20.2
True,2022-10-23,6,3,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES LAKERS,WIN,1801,2,5,0,0,2,2,3,10,4,0,1,2,3,8.7
True,2022-10-24,13,26,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,WIN,2127,4,12,0,1,5,7,2,10,6,0,1,0,5,12.7
True,2022-10-26,7,-8,PORTLAND TRAIL BLAZERS,HOME,MIAMI HEAT,LOSS,1545,2,7,0,1,3,4,4,5,1,1,1,1,2,7.4
True,2022-10-28,27,10,PORTLAND TRAIL BLAZERS,HOME,HOUSTON ROCKETS,WIN,1932,12,17,1,1,2,2,3,12,1,1,3,4,3,24.2
True,2022-11-02,23,12,PORTLAND TRAIL BLAZERS,HOME,MEMPHIS GRIZZLIES,LOSS,2084,8,14,3,3,4,4,6,7,4,1,0,3,5,21.5
True,2022-11-04,14,-3,PORTLAND TRAIL BLAZERS,AWAY,PHOENIX SUNS,WIN,1482,6,13,2,2,0,0,5,3,3,1,0,2,1,12.4
True,2022-11-05,8,-1,PORTLAND TRAIL BLAZERS,AWAY,PHOENIX SUNS,LOSS,1365,4,8,0,1,0,0,1,6,0,0,1,4,4,1.6
True,2022-11-07,4,-11,PORTLAND TRAIL BLAZERS,AWAY,MIAMI HEAT,WIN,1719,1,2,0,1,2,2,1,10,3,2,0,2,3,7.6
True,2022-11-15,9,-21,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,WIN,900,4,9,0,0,1,2,2,3,1,0,0,1,2,5.1
True,2022-11-17,17,5,PORTLAND TRAIL BLAZERS,HOME,BROOKLYN NETS,LOSS,1512,5,9,0,1,7,11,2,6,0,0,1,2,3,11.8
True,2022-11-19,18,-7,PORTLAND TRAIL BLAZERS,HOME,UTAH JAZZ,LOSS,1628,8,10,1,1,1,3,2,5,2,1,0,5,4,12.1
True,2022-11-21,16,-5,PORTLAND TRAIL BLAZERS,AWAY,MILWAUKEE BUCKS,LOSS,1897,7,15,1,4,1,2,4,6,3,0,0,0,3,13.4
