active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-11-05,9,7,PORTLAND TRAIL BLAZERS,AWAY,PHOENIX SUNS,LOSS,932,2,7,0,2,5,6,1,3,1,0,0,0,2,6.0
True,2022-11-07,2,0,PORTLAND TRAIL BLAZERS,AWAY,MIAMI HEAT,WIN,780,1,3,0,0,0,0,1,2,2,0,0,0,0,3.0
True,2022-11-09,8,16,PORTLAND TRAIL BLAZERS,AWAY,CHARLOTTE HORNETS,WIN,1542,3,4,0,1,2,2,0,2,6,2,0,4,4,7.6
True,2022-11-10,2,-2,PORTLAND TRAIL BLAZERS,AWAY,NEW ORLEANS PELICANS,WIN,1531,1,3,0,1,0,0,1,5,4,3,0,2,2,5.5
True,2022-11-12,4,-14,PORTLAND TRAIL BLAZERS,AWAY,DALLAS MAVERICKS,LOSS,743,2,3,0,0,0,0,0,1,0,1,0,1,5,1.0
True,2022-11-15,4,-11,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,WIN,640,1,1,0,0,2,2,0,2,1,0,0,1,2,3.2
True,2022-11-19,0,1,PORTLAND TRAIL BLAZERS,HOME,UTAH JAZZ,LOSS,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-21,10,12,PORTLAND TRAIL BLAZERS,AWAY,MILWAUKEE BUCKS,LOSS,774,3,4,2,2,2,2,2,2,1,1,0,1,1,10.7
True,2022-11-23,5,-10,PORTLAND TRAIL BLAZERS,AWAY,CLEVELAND CAVALIERS,LOSS,1020,2,3,0,0,1,1,1,4,0,0,0,0,1,5.2
True,2022-11-25,8,-7,PORTLAND TRAIL BLAZERS,AWAY,NEW YORK KNICKS,WIN,1264,3,5,0,1,2,2,1,1,1,0,0,1,1,6.0
True,2022-11-27,6,-13,PORTLAND TRAIL BLAZERS,AWAY,BROOKLYN NETS,LOSS,871,3,5,0,0,0,0,0,3,1,0,0,1,1,3.9
True,2022-11-29,3,0,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES CLIPPERS,LOSS,1315,1,1,1,1,0,0,0,3,2,0,0,1,2,3.2
True,2022-11-30,10,-14,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES LAKERS,LOSS,1857,4,6,0,1,2,2,3,7,1,0,0,2,4,8.7
True,2022-12-03,9,0,PORTLAND TRAIL BLAZERS,AWAY,UTAH JAZZ,WIN,2123,4,8,0,1,1,2,3,11,1,0,1,1,2,9.6
True,2022-12-04,2,-12,PORTLAND TRAIL BLAZERS,HOME,INDIANA PACERS,WIN,1047,1,2,0,0,0,0,0,2,4,0,0,1,1,3.0
True,2022-12-08,2,-4,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,LOSS,463,0,2,0,0,2,2,2,1,1,0,0,1,0,2.0
True,2022-12-10,4,11,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,WIN,738,1,1,0,0,2,2,0,3,1,1,1,1,1,5.6
True,2022-12-12,5,-3,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,WIN,796,1,2,1,1,2,4,1,3,2,0,1,1,1,5.5
True,2022-12-14,3,3,PORTLAND TRAIL BLAZERS,AWAY,SAN ANTONIO SPURS,WIN,791,1,1,0,0,1,2,0,2,2,1,0,0,1,4.9
True,2022-12-16,16,6,PORTLAND TRAIL BLAZERS,AWAY,DALLAS MAVERICKS,LOSS,1466,5,8,2,3,4,5,0,11,6,2,0,0,1,21.1
True,2022-12-17,6,-7,PORTLAND TRAIL BLAZERS,AWAY,HOUSTON ROCKETS,WIN,1579,2,5,1,3,1,3,0,2,1,0,0,0,3,2.6
True,2022-12-19,3,-6,PORTLAND TRAIL BLAZERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,850,1,3,0,1,1,2,0,2,4,0,0,4,5,-1.7
True,2022-12-21,8,-5,PORTLAND TRAIL BLAZERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1084,4,5,0,0,0,0,2,5,1,1,0,1,3,8.5
True,2022-12-23,4,-3,PORTLAND TRAIL BLAZERS,AWAY,DENVER NUGGETS,LOSS,640,2,3,0,1,0,0,1,2,0,0,0,0,0,4.0
True,2022-12-26,2,1,PORTLAND TRAIL BLAZERS,HOME,CHARLOTTE HORNETS,WIN,936,1,1,0,0,0,0,0,2,1,1,0,0,4,2.4
True,2022-12-30,8,4,PORTLAND TRAIL BLAZERS,AWAY,GOLDEN STATE WARRIORS,LOSS,941,2,4,1,2,3,4,0,4,1,0,0,0,1,7.1
True,2023-01-02,1,-3,PORTLAND TRAIL BLAZERS,HOME,DETROIT PISTONS,WIN,646,0,1,0,1,1,1,0,0,0,0,0,3,4,-4.3
True,2023-01-08,0,-1,PORTLAND TRAIL BLAZERS,AWAY,TORONTO RAPTORS,LOSS,172,0,2,0,1,0,0,0,1,0,0,0,0,1,-1.5
True,2023-01-14,4,-7,PORTLAND TRAIL BLAZERS,HOME,DALLAS MAVERICKS,WIN,325,1,2,0,0,2,2,2,0,0,0,0,1,0,3.4
True,2023-01-15,0,-6,PORTLAND TRAIL BLAZERS,HOME,DALLAS MAVERICKS,WIN,241,0,1,0,1,0,0,0,1,0,0,0,0,0,-0.4
True,2023-01-17,2,6,PORTLAND TRAIL BLAZERS,AWAY,DENVER NUGGETS,LOSS,142,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2023-01-23,6,-2,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,WIN,316,2,2,0,0,2,4,0,1,0,0,1,0,0,5.6
