active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,11,21,PORTLAND TRAIL BLAZERS,AWAY,SACRAMENTO KINGS,WIN,1579,5,9,1,2,0,0,3,5,0,1,0,0,3,10.1
True,2022-10-21,4,1,PORTLAND TRAIL BLAZERS,HOME,PHOENIX SUNS,WIN,1434,1,4,0,2,2,2,1,1,1,2,1,2,2,3.2
True,2022-10-23,7,2,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES LAKERS,WIN,1506,2,8,0,0,3,4,2,3,3,2,1,1,2,7.1
True,2022-10-26,9,-19,PORTLAND TRAIL BLAZERS,HOME,MIAMI HEAT,LOSS,1485,4,9,1,3,0,0,0,1,3,1,1,0,4,6.8
True,2022-10-28,7,13,PORTLAND TRAIL BLAZERS,HOME,HOUSTON ROCKETS,WIN,1451,2,6,1,2,2,4,2,4,7,3,1,3,0,11.0
True,2022-11-02,2,-11,PORTLAND TRAIL BLAZERS,HOME,MEMPHIS GRIZZLIES,LOSS,1402,1,6,0,0,0,0,4,4,4,1,0,1,0,5.0
True,2022-11-04,12,6,PORTLAND TRAIL BLAZERS,AWAY,PHOENIX SUNS,WIN,1897,6,12,0,1,0,0,2,7,9,2,0,3,4,13.2
True,2022-11-05,5,-15,PORTLAND TRAIL BLAZERS,AWAY,PHOENIX SUNS,LOSS,1261,2,9,1,3,0,0,1,1,2,1,1,1,4,1.0
True,2022-11-07,12,15,PORTLAND TRAIL BLAZERS,AWAY,MIAMI HEAT,WIN,1713,6,8,0,1,0,0,0,2,2,1,0,0,2,11.0
True,2022-11-09,6,-12,PORTLAND TRAIL BLAZERS,AWAY,CHARLOTTE HORNETS,WIN,1574,3,6,0,2,0,0,1,1,2,0,0,3,3,1.2
True,2022-11-10,12,2,PORTLAND TRAIL BLAZERS,AWAY,NEW ORLEANS PELICANS,WIN,2303,3,12,1,4,5,8,3,5,6,0,1,0,4,10.5
True,2022-11-17,2,10,PORTLAND TRAIL BLAZERS,HOME,BROOKLYN NETS,LOSS,1705,1,3,0,0,0,0,1,3,3,2,0,1,5,3.0
True,2022-11-19,1,4,PORTLAND TRAIL BLAZERS,HOME,UTAH JAZZ,LOSS,1577,0,2,0,1,1,2,0,5,5,0,1,4,5,-1.1
True,2022-11-21,8,-11,PORTLAND TRAIL BLAZERS,AWAY,MILWAUKEE BUCKS,LOSS,1070,4,8,0,1,0,0,0,0,1,0,0,2,3,1.5
True,2022-11-23,5,-21,PORTLAND TRAIL BLAZERS,AWAY,CLEVELAND CAVALIERS,LOSS,1682,2,10,1,3,0,0,2,2,6,2,1,0,3,6.5
True,2022-11-25,7,2,PORTLAND TRAIL BLAZERS,AWAY,NEW YORK KNICKS,WIN,2783,3,10,0,1,1,2,4,7,4,0,0,0,5,6.5
True,2022-11-27,14,-10,PORTLAND TRAIL BLAZERS,AWAY,BROOKLYN NETS,LOSS,2231,5,10,2,4,2,2,1,6,6,0,0,3,4,11.1
True,2022-11-29,10,-3,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES CLIPPERS,LOSS,2024,4,10,0,1,2,2,2,11,2,1,0,2,3,8.5
True,2022-11-30,21,-11,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES LAKERS,LOSS,2178,9,11,3,3,0,0,1,4,4,0,0,3,5,16.6
True,2022-12-03,2,0,PORTLAND TRAIL BLAZERS,AWAY,UTAH JAZZ,WIN,2361,1,3,0,0,0,0,2,5,5,3,1,2,2,7.6
True,2022-12-04,4,13,PORTLAND TRAIL BLAZERS,HOME,INDIANA PACERS,WIN,1410,2,6,0,1,0,0,3,3,3,2,0,3,2,3.9
True,2022-12-08,4,-10,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,LOSS,1345,2,6,0,0,0,0,4,1,4,0,0,0,2,5.7
True,2022-12-10,2,-7,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,WIN,821,0,0,0,0,2,2,1,1,0,0,0,1,5,0.0
True,2022-12-12,9,17,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,WIN,1814,4,8,1,3,0,0,2,4,10,1,0,2,3,12.4
True,2022-12-14,2,8,PORTLAND TRAIL BLAZERS,AWAY,SAN ANTONIO SPURS,WIN,929,1,1,0,0,0,0,0,3,0,0,0,1,4,0.0
True,2022-12-16,5,-17,PORTLAND TRAIL BLAZERS,AWAY,DALLAS MAVERICKS,LOSS,1074,2,5,1,3,0,0,1,2,0,0,1,2,3,1.1
True,2022-12-17,2,14,PORTLAND TRAIL BLAZERS,AWAY,HOUSTON ROCKETS,WIN,1657,1,4,0,0,0,0,1,2,2,4,0,1,2,4.5
True,2022-12-19,8,-13,PORTLAND TRAIL BLAZERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1336,4,7,0,1,0,0,4,2,2,1,0,2,5,6.5
True,2022-12-21,3,-6,PORTLAND TRAIL BLAZERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,945,1,5,1,3,0,0,1,1,2,0,1,0,0,3.0
