active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2023-01-09,0,-4,SACRAMENTO KINGS,HOME,ORLANDO MAGIC,WIN,286,0,1,0,1,0,0,0,1,0,0,0,0,0,-0.4
True,2023-01-11,3,3,SACRAMENTO KINGS,HOME,HOUSTON ROCKETS,WIN,107,1,1,1,1,0,0,0,0,0,1,0,0,0,3.7
True,2023-01-13,0,0,SACRAMENTO KINGS,HOME,HOUSTON ROCKETS,WIN,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-23,2,7,SACRAMENTO KINGS,HOME,MEMPHIS GRIZZLIES,WIN,202,1,1,0,0,0,0,0,1,0,2,0,0,0,4.0
True,2023-02-28,0,-2,SACRAMENTO KINGS,AWAY,OKLAHOMA CITY THUNDER,WIN,42,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2023-03-03,0,0,SACRAMENTO KINGS,HOME,LOS ANGELES CLIPPERS,WIN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-03-04,0,-1,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,LOSS,147,0,2,0,1,0,0,0,1,0,0,0,0,1,-1.5
True,2023-03-06,0,-3,SACRAMENTO KINGS,HOME,NEW ORLEANS PELICANS,WIN,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-03-18,2,-8,SACRAMENTO KINGS,AWAY,WASHINGTON WIZARDS,WIN,253,1,2,0,1,0,0,0,2,0,0,0,1,1,0.2
True,2023-03-21,0,-2,SACRAMENTO KINGS,HOME,BOSTON CELTICS,LOSS,304,0,2,0,0,0,0,0,1,0,0,1,1,0,-1.4
True,2023-03-29,2,5,SACRAMENTO KINGS,AWAY,PORTLAND TRAIL BLAZERS,WIN,359,1,4,0,2,0,0,0,1,1,0,0,0,0,0.6
True,2023-03-31,0,0,SACRAMENTO KINGS,AWAY,PORTLAND TRAIL BLAZERS,WIN,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-04-02,0,0,SACRAMENTO KINGS,HOME,SAN ANTONIO SPURS,LOSS,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-04-04,2,-3,SACRAMENTO KINGS,AWAY,NEW ORLEANS PELICANS,WIN,181,1,1,0,0,0,0,0,1,0,0,0,0,0,2.0
True,2023-04-07,7,10,SACRAMENTO KINGS,HOME,GOLDEN STATE WARRIORS,LOSS,1219,3,10,1,6,0,0,0,2,3,0,0,1,3,1.7
True,2023-04-09,4,-25,SACRAMENTO KINGS,AWAY,DENVER NUGGETS,LOSS,1461,2,8,0,3,0,0,1,3,6,3,0,2,2,5.2
