active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,3,-1,BROOKLYN NETS,HOME,NEW ORLEANS PELICANS,LOSS,232,1,3,1,2,0,0,0,2,2,1,0,0,0,4.3
True,2022-10-26,0,1,BROOKLYN NETS,AWAY,MILWAUKEE BUCKS,LOSS,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-01,0,2,BROOKLYN NETS,HOME,CHICAGO BULLS,LOSS,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-09,0,-5,BROOKLYN NETS,HOME,NEW YORK KNICKS,WIN,276,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2022-11-12,0,2,BROOKLYN NETS,AWAY,LOS ANGELES CLIPPERS,WIN,115,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2022-11-13,0,5,BROOKLYN NETS,AWAY,LOS ANGELES LAKERS,LOSS,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-15,6,1,BROOKLYN NETS,AWAY,SACRAMENTO KINGS,LOSS,720,2,4,1,3,1,2,2,1,0,1,1,0,1,6.6
True,2022-11-20,0,-7,BROOKLYN NETS,HOME,MEMPHIS GRIZZLIES,WIN,108,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2022-11-22,0,5,BROOKLYN NETS,AWAY,PHILADELPHIA 76ERS,LOSS,188,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2022-11-23,0,-5,BROOKLYN NETS,AWAY,TORONTO RAPTORS,WIN,234,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2022-11-25,0,1,BROOKLYN NETS,AWAY,INDIANA PACERS,LOSS,58,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2022-12-04,0,5,BROOKLYN NETS,HOME,BOSTON CELTICS,LOSS,103,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2022-12-10,6,4,BROOKLYN NETS,AWAY,INDIANA PACERS,WIN,2077,3,9,0,4,0,0,4,5,0,1,0,3,2,2.4
True,2023-02-06,0,-5,BROOKLYN NETS,HOME,LOS ANGELES CLIPPERS,LOSS,332,0,2,0,1,0,0,0,0,0,0,0,0,0,-1.4
True,2023-02-14,0,-2,SACRAMENTO KINGS,AWAY,PHOENIX SUNS,LOSS,611,0,1,0,1,0,0,0,1,2,0,0,0,0,1.0
True,2023-02-23,0,-3,SACRAMENTO KINGS,HOME,PORTLAND TRAIL BLAZERS,WIN,235,0,3,0,1,0,0,1,0,0,0,0,0,0,-1.4
True,2023-03-04,3,12,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,LOSS,848,1,2,1,1,0,0,0,3,1,1,0,0,1,4.2
True,2023-03-06,0,0,SACRAMENTO KINGS,HOME,NEW ORLEANS PELICANS,WIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-03-09,0,-2,SACRAMENTO KINGS,HOME,NEW YORK KNICKS,WIN,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-03-11,12,18,SACRAMENTO KINGS,AWAY,PHOENIX SUNS,WIN,1545,4,6,2,4,2,2,1,6,1,1,0,2,5,9.6
True,2023-03-13,0,1,SACRAMENTO KINGS,HOME,MILWAUKEE BUCKS,LOSS,1067,0,3,0,2,0,0,0,1,0,0,0,0,1,-2.2
True,2023-03-15,4,-22,SACRAMENTO KINGS,AWAY,CHICAGO BULLS,WIN,1075,1,5,1,4,1,2,1,2,0,0,0,0,2,1.0
True,2023-03-16,10,0,SACRAMENTO KINGS,AWAY,BROOKLYN NETS,WIN,1415,4,6,2,4,0,0,2,1,1,0,0,2,4,6.2
True,2023-03-18,9,-5,SACRAMENTO KINGS,AWAY,WASHINGTON WIZARDS,WIN,1137,3,3,2,2,1,2,1,1,1,0,0,0,3,8.2
True,2023-03-20,6,16,SACRAMENTO KINGS,AWAY,UTAH JAZZ,LOSS,1147,2,4,0,2,2,2,1,0,2,0,1,1,2,5.0
True,2023-03-21,8,-14,SACRAMENTO KINGS,HOME,BOSTON CELTICS,LOSS,1186,3,5,2,4,0,0,3,0,1,0,1,0,3,8.0
True,2023-03-24,2,2,SACRAMENTO KINGS,HOME,PHOENIX SUNS,WIN,656,1,2,0,1,0,0,0,0,1,1,1,0,3,2.2
True,2023-03-25,4,2,SACRAMENTO KINGS,HOME,UTAH JAZZ,WIN,806,1,2,0,0,2,2,0,3,3,1,0,1,1,5.6
True,2023-03-27,2,-3,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,LOSS,348,1,2,0,1,0,0,0,0,0,0,1,0,0,1.7
True,2023-03-29,3,4,SACRAMENTO KINGS,AWAY,PORTLAND TRAIL BLAZERS,WIN,680,1,2,1,2,0,0,1,2,1,0,0,1,0,3.0
True,2023-03-31,10,0,SACRAMENTO KINGS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1075,4,7,2,4,0,0,0,0,2,2,1,1,1,9.4
True,2023-04-02,6,-1,SACRAMENTO KINGS,HOME,SAN ANTONIO SPURS,LOSS,1331,2,7,1,5,1,1,2,4,1,2,0,0,5,5.2
True,2023-04-04,0,3,SACRAMENTO KINGS,AWAY,NEW ORLEANS PELICANS,WIN,667,0,2,0,2,0,0,0,5,1,0,0,1,2,-1.0
True,2023-04-05,0,-10,SACRAMENTO KINGS,AWAY,DALLAS MAVERICKS,LOSS,587,0,2,0,1,0,0,2,0,1,1,0,0,0,1.7
True,2023-04-07,6,5,SACRAMENTO KINGS,HOME,GOLDEN STATE WARRIORS,LOSS,1355,2,3,1,1,1,2,1,1,2,2,0,0,0,8.7
True,2023-04-09,0,-8,SACRAMENTO KINGS,AWAY,DENVER NUGGETS,LOSS,586,0,2,0,1,0,0,1,0,0,0,0,0,4,-2.3
