active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,2,-12,SACRAMENTO KINGS,HOME,PORTLAND TRAIL BLAZERS,LOSS,871,1,1,0,0,0,0,0,3,0,1,1,0,2,3.5
True,2022-10-22,2,-6,SACRAMENTO KINGS,HOME,LOS ANGELES CLIPPERS,LOSS,769,1,2,0,0,0,0,2,1,0,0,0,0,2,1.9
True,2022-10-23,15,8,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,LOSS,975,6,8,0,0,3,4,3,2,0,1,0,3,3,10.9
True,2022-10-27,0,-12,SACRAMENTO KINGS,HOME,MEMPHIS GRIZZLIES,LOSS,504,0,0,0,0,0,0,0,1,0,0,0,0,3,-0.9
True,2022-10-29,5,1,SACRAMENTO KINGS,HOME,MIAMI HEAT,WIN,1271,2,4,0,0,1,2,0,4,0,0,0,1,2,2.0
True,2022-10-31,2,-7,SACRAMENTO KINGS,AWAY,CHARLOTTE HORNETS,WIN,745,1,1,0,0,0,0,0,0,0,0,0,1,1,0.3
True,2022-11-02,4,2,SACRAMENTO KINGS,AWAY,MIAMI HEAT,LOSS,648,2,2,0,0,0,0,1,3,0,0,0,0,1,4.6
True,2022-11-05,2,-8,SACRAMENTO KINGS,AWAY,ORLANDO MAGIC,WIN,311,1,2,0,0,0,0,2,1,0,0,0,0,1,2.3
True,2022-11-15,5,-3,SACRAMENTO KINGS,HOME,BROOKLYN NETS,WIN,389,2,2,1,1,0,0,0,1,0,0,0,0,2,3.9
True,2022-11-25,0,7,SACRAMENTO KINGS,AWAY,BOSTON CELTICS,LOSS,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-30,0,-9,SACRAMENTO KINGS,HOME,INDIANA PACERS,WIN,448,0,2,0,1,0,0,0,1,0,0,0,0,1,-1.5
True,2022-12-03,0,-2,SACRAMENTO KINGS,AWAY,LOS ANGELES CLIPPERS,WIN,393,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2022-12-07,2,2,SACRAMENTO KINGS,AWAY,MILWAUKEE BUCKS,LOSS,78,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2022-12-13,7,6,SACRAMENTO KINGS,AWAY,PHILADELPHIA 76ERS,LOSS,371,3,4,1,1,0,0,1,2,0,0,0,0,0,6.7
True,2022-12-14,2,1,SACRAMENTO KINGS,AWAY,TORONTO RAPTORS,WIN,188,1,2,0,0,0,0,0,0,0,0,0,0,2,0.2
True,2022-12-16,2,-2,SACRAMENTO KINGS,AWAY,DETROIT PISTONS,WIN,186,1,1,0,0,0,0,0,1,1,0,0,0,0,2.7
True,2022-12-23,0,-4,SACRAMENTO KINGS,HOME,WASHINGTON WIZARDS,LOSS,387,0,0,0,0,0,0,1,0,0,0,0,0,2,-0.1
True,2022-12-27,8,3,SACRAMENTO KINGS,HOME,DENVER NUGGETS,LOSS,1383,3,6,0,0,2,2,2,5,2,0,0,0,3,8.1
True,2022-12-28,0,5,SACRAMENTO KINGS,HOME,DENVER NUGGETS,WIN,596,0,1,0,0,0,0,1,0,0,1,2,0,2,1.6
True,2022-12-30,7,-2,SACRAMENTO KINGS,HOME,UTAH JAZZ,WIN,649,3,3,0,0,1,1,2,2,0,0,1,1,3,6.6
True,2023-01-01,2,-11,SACRAMENTO KINGS,AWAY,MEMPHIS GRIZZLIES,LOSS,817,1,1,0,0,0,0,0,3,0,0,2,1,1,2.6
True,2023-01-03,0,-13,SACRAMENTO KINGS,AWAY,UTAH JAZZ,WIN,528,0,1,0,0,0,0,0,0,0,0,0,1,2,-2.5
True,2023-01-04,0,0,SACRAMENTO KINGS,HOME,ATLANTA HAWKS,LOSS,292,0,2,0,0,0,0,0,2,0,0,0,0,0,-0.8
True,2023-01-07,4,-5,SACRAMENTO KINGS,HOME,LOS ANGELES LAKERS,LOSS,673,2,3,0,0,0,0,3,2,0,0,0,1,3,3.2
True,2023-01-09,0,-1,SACRAMENTO KINGS,HOME,ORLANDO MAGIC,WIN,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-11,0,3,SACRAMENTO KINGS,HOME,HOUSTON ROCKETS,WIN,121,0,0,0,0,0,0,0,0,1,0,1,0,0,1.4
True,2023-01-13,5,2,SACRAMENTO KINGS,HOME,HOUSTON ROCKETS,WIN,229,2,2,1,1,0,0,0,1,0,0,0,0,1,4.3
True,2023-01-18,16,23,SACRAMENTO KINGS,AWAY,LOS ANGELES LAKERS,WIN,1851,7,7,0,0,2,2,3,8,1,0,0,2,1,16.7
