active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-27,0,0,SACRAMENTO KINGS,HOME,MEMPHIS GRIZZLIES,LOSS,192,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2022-10-29,1,-1,SACRAMENTO KINGS,HOME,MIAMI HEAT,WIN,189,0,0,0,0,1,2,0,1,0,0,0,0,1,0.5
True,2022-10-31,0,-4,SACRAMENTO KINGS,AWAY,CHARLOTTE HORNETS,WIN,117,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1
True,2022-11-15,4,0,SACRAMENTO KINGS,HOME,BROOKLYN NETS,WIN,304,2,2,0,0,0,0,0,1,0,0,0,0,0,3.7
True,2022-11-17,0,0,SACRAMENTO KINGS,HOME,SAN ANTONIO SPURS,WIN,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-30,4,-9,SACRAMENTO KINGS,HOME,INDIANA PACERS,WIN,295,2,3,0,0,0,0,3,2,1,0,0,0,1,5.7
True,2022-12-03,2,-1,SACRAMENTO KINGS,AWAY,LOS ANGELES CLIPPERS,WIN,211,1,2,0,0,0,0,0,0,0,0,0,0,0,1.0
True,2022-12-07,0,2,SACRAMENTO KINGS,AWAY,MILWAUKEE BUCKS,LOSS,78,0,1,0,0,0,0,0,1,1,0,0,0,0,0.3
True,2022-12-27,2,-4,SACRAMENTO KINGS,HOME,DENVER NUGGETS,LOSS,834,0,1,0,1,2,2,0,4,0,0,0,2,4,-1.1
True,2023-01-01,0,2,SACRAMENTO KINGS,AWAY,MEMPHIS GRIZZLIES,LOSS,86,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.3
True,2023-01-21,0,0,SACRAMENTO KINGS,HOME,PHILADELPHIA 76ERS,LOSS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-23,0,7,SACRAMENTO KINGS,HOME,MEMPHIS GRIZZLIES,WIN,202,0,0,0,0,0,0,1,1,1,0,0,1,1,0.3
True,2023-02-06,0,2,SACRAMENTO KINGS,AWAY,HOUSTON ROCKETS,WIN,147,0,0,0,0,0,0,0,0,1,0,0,0,1,0.3
True,2023-02-23,0,-5,SACRAMENTO KINGS,HOME,PORTLAND TRAIL BLAZERS,WIN,108,0,0,0,0,0,0,0,0,0,0,0,2,1,-2.4
True,2023-03-04,0,2,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,LOSS,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-03-06,0,-3,SACRAMENTO KINGS,HOME,NEW ORLEANS PELICANS,WIN,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-03-15,0,-5,SACRAMENTO KINGS,AWAY,CHICAGO BULLS,WIN,278,0,1,0,0,0,0,0,1,0,0,0,1,1,-1.8
True,2023-03-18,0,-8,SACRAMENTO KINGS,AWAY,WASHINGTON WIZARDS,WIN,253,0,1,0,1,0,0,0,1,1,0,0,2,1,-2.1
True,2023-03-27,4,0,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,LOSS,449,1,1,0,0,2,4,1,1,0,0,2,0,1,4.9
True,2023-03-29,5,29,SACRAMENTO KINGS,AWAY,PORTLAND TRAIL BLAZERS,WIN,931,2,4,0,0,1,2,1,7,0,2,1,0,3,6.9
True,2023-03-31,4,0,SACRAMENTO KINGS,AWAY,PORTLAND TRAIL BLAZERS,WIN,765,2,2,0,0,0,0,0,2,0,0,1,0,2,3.9
True,2023-04-02,6,12,SACRAMENTO KINGS,HOME,SAN ANTONIO SPURS,LOSS,804,3,5,0,0,0,0,4,3,2,1,2,3,2,7.4
True,2023-04-04,4,15,SACRAMENTO KINGS,AWAY,NEW ORLEANS PELICANS,WIN,774,1,1,0,0,2,2,1,3,1,0,2,1,4,4.8
True,2023-04-05,2,10,SACRAMENTO KINGS,AWAY,DALLAS MAVERICKS,LOSS,773,0,2,0,0,2,2,7,2,0,0,0,1,1,4.7
True,2023-04-07,5,-20,SACRAMENTO KINGS,HOME,GOLDEN STATE WARRIORS,LOSS,987,2,3,0,0,1,2,5,1,2,0,1,2,2,6.4
True,2023-04-09,0,-5,SACRAMENTO KINGS,AWAY,DENVER NUGGETS,LOSS,737,0,0,0,0,0,0,1,4,1,1,2,0,1,4.6
