active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,6,-4,SACRAMENTO KINGS,HOME,PORTLAND TRAIL BLAZERS,LOSS,872,2,8,2,7,0,0,0,4,0,1,0,0,0,3.4
True,2022-10-23,2,4,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,LOSS,236,1,3,0,2,0,0,0,1,1,1,0,1,2,0.5
True,2022-10-29,10,3,SACRAMENTO KINGS,HOME,MIAMI HEAT,WIN,1102,4,7,2,4,0,2,1,4,0,1,1,1,1,8.1
True,2022-10-31,6,11,SACRAMENTO KINGS,AWAY,CHARLOTTE HORNETS,WIN,1269,1,4,1,3,3,4,2,2,3,1,2,2,4,6.1
True,2022-11-02,3,-4,SACRAMENTO KINGS,AWAY,MIAMI HEAT,LOSS,771,1,3,1,3,0,0,0,4,1,0,0,1,0,2.2
True,2022-11-05,15,10,SACRAMENTO KINGS,AWAY,ORLANDO MAGIC,WIN,1774,5,10,4,7,1,1,0,3,2,0,1,2,2,10.2
True,2022-11-07,2,6,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,LOSS,240,1,1,0,0,0,0,0,1,0,0,0,0,0,2.0
True,2022-11-09,16,1,SACRAMENTO KINGS,HOME,CLEVELAND CAVALIERS,WIN,1114,5,9,4,7,2,2,0,1,1,0,1,3,2,9.6
True,2022-11-11,0,-7,SACRAMENTO KINGS,AWAY,LOS ANGELES LAKERS,WIN,870,0,4,0,4,0,0,1,1,1,0,0,0,0,-1.1
True,2022-11-13,0,-9,SACRAMENTO KINGS,HOME,GOLDEN STATE WARRIORS,WIN,326,0,2,0,2,0,0,0,0,1,0,0,0,1,-1.1
True,2022-11-15,12,-3,SACRAMENTO KINGS,HOME,BROOKLYN NETS,WIN,1075,4,13,3,8,1,2,4,1,0,0,0,2,1,4.8
True,2022-11-17,14,7,SACRAMENTO KINGS,HOME,SAN ANTONIO SPURS,WIN,1181,5,8,1,4,3,4,2,1,0,1,0,0,0,12.7
True,2022-11-20,3,-4,SACRAMENTO KINGS,HOME,DETROIT PISTONS,WIN,611,1,4,1,4,0,0,0,0,0,0,0,0,0,0.6
True,2022-11-22,0,8,SACRAMENTO KINGS,AWAY,MEMPHIS GRIZZLIES,WIN,901,0,1,0,1,0,0,1,2,0,0,1,1,1,-0.1
True,2022-11-23,12,-6,SACRAMENTO KINGS,AWAY,ATLANTA HAWKS,LOSS,1227,4,7,1,3,3,3,5,2,2,1,1,2,4,12.3
