active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-22,0,-1,SACRAMENTO KINGS,HOME,LOS ANGELES CLIPPERS,LOSS,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-10-23,4,15,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,LOSS,633,1,3,0,1,2,2,0,4,1,1,1,0,2,5.1
True,2022-10-27,2,-6,SACRAMENTO KINGS,HOME,MEMPHIS GRIZZLIES,LOSS,837,1,4,0,2,0,0,0,3,2,0,0,0,1,1.5
True,2022-11-05,6,7,SACRAMENTO KINGS,AWAY,ORLANDO MAGIC,WIN,654,2,3,0,0,2,2,0,3,1,0,0,0,0,6.3
True,2022-11-07,2,13,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,LOSS,886,1,3,0,0,0,0,0,2,3,0,0,0,2,2.2
True,2022-11-09,6,-8,SACRAMENTO KINGS,HOME,CLEVELAND CAVALIERS,WIN,758,3,5,0,2,0,0,0,1,1,0,0,1,0,3.7
True,2022-11-11,10,-4,SACRAMENTO KINGS,AWAY,LOS ANGELES LAKERS,WIN,986,4,8,1,3,1,2,2,3,0,1,0,1,1,7.5
True,2022-11-13,8,-1,SACRAMENTO KINGS,HOME,GOLDEN STATE WARRIORS,WIN,805,4,6,0,2,0,0,0,2,0,1,0,0,2,6.2
True,2022-11-15,2,-13,SACRAMENTO KINGS,HOME,BROOKLYN NETS,WIN,913,1,3,0,1,0,0,1,3,0,1,0,4,1,-1.5
True,2022-11-17,10,19,SACRAMENTO KINGS,HOME,SAN ANTONIO SPURS,WIN,839,4,4,1,1,1,1,1,2,1,1,0,1,1,10.4
