active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,2,-7,SACRAMENTO KINGS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1550,1,8,0,5,0,0,0,3,4,0,0,0,1,0.1
True,2022-10-22,4,-10,SACRAMENTO KINGS,HOME,LOS ANGELES CLIPPERS,LOSS,966,2,7,0,2,0,0,0,0,2,0,0,1,2,-0.5
True,2022-10-23,7,2,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,LOSS,706,3,5,1,2,0,0,0,1,3,0,0,1,4,4.5
True,2022-10-27,7,-13,SACRAMENTO KINGS,HOME,MEMPHIS GRIZZLIES,LOSS,721,2,4,1,2,2,2,0,1,1,1,0,0,0,7.0
True,2022-10-29,2,2,SACRAMENTO KINGS,HOME,MIAMI HEAT,WIN,707,1,2,0,1,0,1,0,3,1,0,0,4,2,-2.6
True,2022-10-31,23,5,SACRAMENTO KINGS,AWAY,CHARLOTTE HORNETS,WIN,1877,9,11,5,6,0,0,0,4,0,3,0,5,2,17.3
True,2022-11-02,9,-11,SACRAMENTO KINGS,AWAY,MIAMI HEAT,LOSS,1754,4,9,1,4,0,0,0,1,4,0,0,1,2,5.6
True,2022-11-05,0,15,SACRAMENTO KINGS,AWAY,ORLANDO MAGIC,WIN,763,0,2,0,1,0,0,0,1,1,0,0,2,2,-3.2
True,2022-11-07,12,-2,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,LOSS,1284,5,11,2,5,0,0,0,0,1,2,0,1,2,7.2
True,2022-11-09,7,-2,SACRAMENTO KINGS,HOME,CLEVELAND CAVALIERS,WIN,1182,3,6,1,4,0,0,0,1,3,0,0,1,1,5.0
True,2022-11-11,6,-14,SACRAMENTO KINGS,AWAY,LOS ANGELES LAKERS,WIN,1174,2,4,2,3,0,0,0,0,0,0,0,0,1,3.6
True,2022-11-13,2,-8,SACRAMENTO KINGS,HOME,GOLDEN STATE WARRIORS,WIN,849,1,3,0,2,0,0,1,0,1,0,0,0,1,1.3
True,2022-11-15,8,26,SACRAMENTO KINGS,HOME,BROOKLYN NETS,WIN,1006,3,4,0,1,2,3,0,0,3,0,1,1,2,7.0
True,2022-11-17,6,9,SACRAMENTO KINGS,HOME,SAN ANTONIO SPURS,WIN,1659,3,6,0,1,0,0,0,2,4,0,0,0,0,6.4
True,2022-11-20,5,-4,SACRAMENTO KINGS,HOME,DETROIT PISTONS,WIN,851,2,5,1,3,0,0,0,1,3,0,0,0,1,4.3
True,2022-11-22,2,4,SACRAMENTO KINGS,AWAY,MEMPHIS GRIZZLIES,WIN,1137,1,5,0,3,0,0,1,1,4,1,0,2,2,0.9
True,2022-11-23,4,0,SACRAMENTO KINGS,AWAY,ATLANTA HAWKS,LOSS,1158,2,6,0,1,0,1,0,0,2,0,0,0,1,1.2
True,2022-11-25,13,-3,SACRAMENTO KINGS,AWAY,BOSTON CELTICS,LOSS,848,5,6,1,1,2,2,0,0,1,0,1,1,1,10.8
True,2022-11-28,7,6,SACRAMENTO KINGS,HOME,PHOENIX SUNS,LOSS,1520,2,7,1,3,2,2,0,3,2,1,0,0,2,5.4
True,2022-11-30,8,11,SACRAMENTO KINGS,HOME,INDIANA PACERS,WIN,1204,3,6,2,3,0,0,0,1,2,1,2,1,0,8.1
True,2022-12-03,4,8,SACRAMENTO KINGS,AWAY,LOS ANGELES CLIPPERS,WIN,992,2,6,0,3,0,0,0,3,4,0,0,0,3,3.1
True,2022-12-04,9,8,SACRAMENTO KINGS,HOME,CHICAGO BULLS,WIN,1456,3,9,0,3,3,4,0,3,5,3,1,2,4,8.0
True,2022-12-07,4,-10,SACRAMENTO KINGS,AWAY,MILWAUKEE BUCKS,LOSS,1215,2,5,0,2,0,0,0,2,1,0,1,1,1,1.9
True,2022-12-09,8,15,SACRAMENTO KINGS,AWAY,CLEVELAND CAVALIERS,WIN,1957,3,5,1,2,1,2,0,4,6,0,0,2,2,7.9
True,2022-12-11,7,1,SACRAMENTO KINGS,AWAY,NEW YORK KNICKS,LOSS,1473,3,5,1,2,0,0,0,3,2,1,0,2,3,4.8
True,2022-12-13,2,-6,SACRAMENTO KINGS,AWAY,PHILADELPHIA 76ERS,LOSS,1117,1,8,0,2,0,0,1,2,4,0,2,2,1,-0.1
True,2022-12-14,2,-13,SACRAMENTO KINGS,AWAY,TORONTO RAPTORS,WIN,736,1,3,0,2,0,0,2,1,2,0,0,1,0,2.4
True,2022-12-19,7,1,SACRAMENTO KINGS,HOME,CHARLOTTE HORNETS,LOSS,1264,3,4,1,2,0,0,1,0,5,1,0,0,0,10.6
True,2022-12-21,8,22,SACRAMENTO KINGS,HOME,LOS ANGELES LAKERS,WIN,962,3,6,2,5,0,0,0,0,1,1,0,0,2,5.9
True,2022-12-23,5,-8,SACRAMENTO KINGS,HOME,WASHINGTON WIZARDS,LOSS,994,2,2,1,1,0,0,0,1,0,0,0,0,2,3.9
True,2022-12-27,6,-1,SACRAMENTO KINGS,HOME,DENVER NUGGETS,LOSS,1061,3,8,0,3,0,0,0,0,9,2,0,1,1,8.5
True,2022-12-28,5,0,SACRAMENTO KINGS,HOME,DENVER NUGGETS,WIN,1264,2,4,1,2,0,0,1,1,2,1,0,1,0,5.4
True,2022-12-30,6,-2,SACRAMENTO KINGS,HOME,UTAH JAZZ,WIN,1373,3,5,0,0,0,0,0,1,3,0,0,2,1,3.7
True,2023-01-01,2,-13,SACRAMENTO KINGS,AWAY,MEMPHIS GRIZZLIES,LOSS,914,1,4,0,2,0,0,0,0,1,0,0,0,3,-0.9
True,2023-01-03,4,-14,SACRAMENTO KINGS,AWAY,UTAH JAZZ,WIN,1052,2,3,0,1,0,0,0,3,1,2,0,0,2,5.5
True,2023-01-04,5,-4,SACRAMENTO KINGS,HOME,ATLANTA HAWKS,LOSS,1444,2,4,1,1,0,0,0,0,0,0,0,1,1,1.6
True,2023-01-07,9,-4,SACRAMENTO KINGS,HOME,LOS ANGELES LAKERS,LOSS,1097,3,5,3,4,0,0,0,1,0,0,0,2,3,3.8
True,2023-01-09,5,8,SACRAMENTO KINGS,HOME,ORLANDO MAGIC,WIN,949,2,3,1,2,0,0,1,3,1,1,0,0,1,6.6
True,2023-01-11,0,6,SACRAMENTO KINGS,HOME,HOUSTON ROCKETS,WIN,837,0,4,0,3,0,0,1,0,2,1,0,0,1,-0.1
True,2023-01-13,3,4,SACRAMENTO KINGS,HOME,HOUSTON ROCKETS,WIN,652,1,3,1,2,0,0,0,0,0,0,2,0,0,2.7
