active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,6,-18,SACRAMENTO KINGS,HOME,PORTLAND TRAIL BLAZERS,LOSS,942,2,7,2,5,0,0,1,1,3,0,1,2,1,3.3
True,2022-10-22,0,-13,SACRAMENTO KINGS,HOME,LOS ANGELES CLIPPERS,LOSS,783,0,4,0,2,0,1,0,2,1,1,0,2,1,-3.3
True,2022-10-23,16,2,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,LOSS,1713,6,15,4,10,0,0,3,4,8,3,0,1,0,18.8
True,2022-10-27,15,-11,SACRAMENTO KINGS,HOME,MEMPHIS GRIZZLIES,LOSS,1321,5,9,3,7,2,2,0,2,7,0,1,1,2,15.1
True,2022-10-29,6,0,SACRAMENTO KINGS,HOME,MIAMI HEAT,WIN,811,2,5,1,4,1,1,0,2,2,0,0,2,2,2.5
True,2022-10-31,7,-7,SACRAMENTO KINGS,AWAY,CHARLOTTE HORNETS,WIN,908,2,9,2,7,1,1,0,1,2,0,0,1,0,2.2
True,2022-11-02,19,1,SACRAMENTO KINGS,AWAY,MIAMI HEAT,LOSS,1320,8,13,2,5,1,1,0,0,7,0,1,3,3,14.5
True,2022-11-05,15,16,SACRAMENTO KINGS,AWAY,ORLANDO MAGIC,WIN,1711,5,10,3,7,2,2,0,1,5,0,0,1,3,11.6
True,2022-11-07,24,12,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,LOSS,1835,7,16,3,8,7,7,0,6,4,1,0,0,1,20.8
True,2022-11-09,14,5,SACRAMENTO KINGS,HOME,CLEVELAND CAVALIERS,WIN,1642,4,9,3,5,3,4,0,2,5,0,1,1,3,11.5
True,2022-11-11,8,4,SACRAMENTO KINGS,AWAY,LOS ANGELES LAKERS,WIN,1258,3,7,0,2,2,2,1,0,3,0,0,3,2,3.3
True,2022-11-13,12,-2,SACRAMENTO KINGS,HOME,GOLDEN STATE WARRIORS,WIN,1462,2,8,1,4,7,7,0,1,4,0,0,3,2,6.5
True,2022-11-15,15,-5,SACRAMENTO KINGS,HOME,BROOKLYN NETS,WIN,1041,6,9,1,2,2,2,1,2,6,0,0,2,2,13.8
True,2022-11-17,26,10,SACRAMENTO KINGS,HOME,SAN ANTONIO SPURS,WIN,1681,11,19,4,9,0,0,1,3,2,0,0,1,1,18.7
True,2022-11-20,8,-16,SACRAMENTO KINGS,HOME,DETROIT PISTONS,WIN,1145,3,6,0,2,2,2,0,1,3,2,0,2,2,6.6
