active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-11-02,9,-9,SAN ANTONIO SPURS,HOME,TORONTO RAPTORS,LOSS,720,3,5,1,2,2,2,1,3,0,0,2,0,1,9.3
True,2022-11-07,3,6,SAN ANTONIO SPURS,HOME,DENVER NUGGETS,LOSS,942,1,3,0,0,1,2,3,5,1,1,1,1,3,4.7
True,2022-11-09,10,8,SAN ANTONIO SPURS,HOME,MEMPHIS GRIZZLIES,LOSS,960,4,5,0,1,2,2,1,5,2,2,1,0,4,12.8
True,2022-11-11,5,9,SAN ANTONIO SPURS,HOME,MILWAUKEE BUCKS,WIN,1093,2,3,1,2,0,0,3,11,4,0,4,3,4,10.1
True,2022-11-14,6,-27,SAN ANTONIO SPURS,AWAY,GOLDEN STATE WARRIORS,LOSS,1429,3,5,0,0,0,0,6,1,3,0,2,3,2,7.9
True,2022-11-15,6,-14,SAN ANTONIO SPURS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,980,3,4,0,0,0,0,2,3,1,0,1,3,5,3.1
True,2022-11-17,4,1,SAN ANTONIO SPURS,AWAY,SACRAMENTO KINGS,LOSS,683,2,2,0,0,0,0,1,1,2,1,0,4,2,2.0
True,2022-11-19,6,-6,SAN ANTONIO SPURS,AWAY,LOS ANGELES CLIPPERS,LOSS,1376,2,6,0,1,2,4,2,7,0,0,0,3,1,1.9
True,2022-11-20,8,-15,SAN ANTONIO SPURS,AWAY,LOS ANGELES LAKERS,LOSS,1256,4,5,0,0,0,2,2,6,5,1,0,1,2,11.2
True,2022-11-23,3,3,SAN ANTONIO SPURS,HOME,NEW ORLEANS PELICANS,LOSS,718,1,1,0,0,1,2,0,3,1,0,1,0,2,3.8
True,2022-11-25,2,2,SAN ANTONIO SPURS,HOME,LOS ANGELES LAKERS,LOSS,97,1,1,0,0,0,0,0,1,0,0,0,0,1,1.6
True,2022-11-26,0,-2,SAN ANTONIO SPURS,HOME,LOS ANGELES LAKERS,LOSS,133,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0
True,2022-12-02,11,12,SAN ANTONIO SPURS,HOME,NEW ORLEANS PELICANS,LOSS,1232,5,5,0,0,1,2,3,6,0,1,2,0,4,13.8
True,2022-12-04,5,-11,SAN ANTONIO SPURS,HOME,PHOENIX SUNS,LOSS,1195,2,2,0,0,1,2,4,3,1,0,1,1,3,6.9
True,2022-12-08,10,10,SAN ANTONIO SPURS,HOME,HOUSTON ROCKETS,WIN,1239,3,3,0,0,4,4,1,4,3,1,4,0,4,15.3
True,2022-12-10,8,2,SAN ANTONIO SPURS,AWAY,MIAMI HEAT,WIN,1058,4,5,0,0,0,0,2,2,2,0,1,1,3,8.0
True,2022-12-12,6,10,SAN ANTONIO SPURS,HOME,CLEVELAND CAVALIERS,WIN,1211,3,5,0,0,0,0,6,5,1,0,0,1,1,8.7
True,2022-12-14,6,-9,SAN ANTONIO SPURS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1191,3,6,0,0,0,0,3,2,2,0,2,2,4,4.9
True,2022-12-17,0,1,SAN ANTONIO SPURS,HOME,MIAMI HEAT,LOSS,168,0,0,0,0,0,0,0,3,0,0,0,0,0,0.9
True,2022-12-19,0,-5,SAN ANTONIO SPURS,AWAY,HOUSTON ROCKETS,WIN,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-22,0,8,SAN ANTONIO SPURS,AWAY,NEW ORLEANS PELICANS,LOSS,494,0,2,0,0,0,0,2,2,0,1,0,3,1,-1.8
True,2022-12-23,2,3,SAN ANTONIO SPURS,AWAY,ORLANDO MAGIC,LOSS,289,0,0,0,0,2,2,0,2,0,0,0,0,0,2.6
