active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,5,3,SAN ANTONIO SPURS,HOME,CHARLOTTE HORNETS,LOSS,528,2,3,1,2,0,0,1,2,1,0,0,0,1,5.3
True,2022-10-22,2,15,SAN ANTONIO SPURS,AWAY,PHILADELPHIA 76ERS,WIN,761,1,4,0,3,0,0,0,1,5,0,2,0,3,3.6
True,2022-10-26,0,2,SAN ANTONIO SPURS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,115,0,0,0,0,0,0,1,0,2,0,0,0,1,1.7
True,2022-10-30,0,-1,SAN ANTONIO SPURS,HOME,MINNESOTA TIMBERWOLVES,WIN,259,0,1,0,1,0,0,2,2,0,0,0,0,0,1.3
True,2022-11-02,9,-16,SAN ANTONIO SPURS,HOME,TORONTO RAPTORS,LOSS,996,3,6,3,6,0,0,0,2,2,0,2,4,3,4.2
True,2022-11-05,5,-4,SAN ANTONIO SPURS,AWAY,DENVER NUGGETS,LOSS,620,2,3,1,2,0,0,0,1,1,1,0,3,1,2.3
True,2022-11-14,6,1,SAN ANTONIO SPURS,AWAY,GOLDEN STATE WARRIORS,LOSS,538,1,4,1,3,3,4,2,1,1,0,0,0,0,5.6
True,2022-11-17,2,-11,SAN ANTONIO SPURS,AWAY,SACRAMENTO KINGS,LOSS,698,1,3,0,2,0,0,0,3,1,0,1,0,2,1.8
True,2022-11-20,7,-10,SAN ANTONIO SPURS,AWAY,LOS ANGELES LAKERS,LOSS,1285,3,6,1,3,0,0,3,4,3,0,0,0,5,7.4
True,2022-11-23,2,5,SAN ANTONIO SPURS,HOME,NEW ORLEANS PELICANS,LOSS,405,1,2,0,1,0,0,0,2,2,0,0,1,1,1.6
True,2022-12-04,5,-25,SAN ANTONIO SPURS,HOME,PHOENIX SUNS,LOSS,806,2,5,1,4,0,0,0,4,1,0,0,3,2,0.4
True,2022-12-14,5,4,SAN ANTONIO SPURS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1454,2,7,1,4,0,0,3,5,3,0,0,1,3,4.4
True,2023-01-02,5,-7,SAN ANTONIO SPURS,AWAY,BROOKLYN NETS,LOSS,581,2,4,1,2,0,0,2,1,4,0,1,0,1,7.8
True,2023-01-15,0,2,SAN ANTONIO SPURS,HOME,SACRAMENTO KINGS,LOSS,74,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7
True,2023-01-23,2,2,SAN ANTONIO SPURS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,368,1,2,0,1,0,0,2,2,0,0,0,2,0,1.0
True,2023-01-25,0,0,SAN ANTONIO SPURS,AWAY,LOS ANGELES LAKERS,LOSS,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-26,2,-6,SAN ANTONIO SPURS,AWAY,LOS ANGELES CLIPPERS,LOSS,427,1,4,0,2,0,0,0,2,1,0,0,0,1,0.5
True,2023-02-10,5,-8,SAN ANTONIO SPURS,AWAY,DETROIT PISTONS,LOSS,1055,1,3,1,2,2,2,1,2,1,0,0,2,4,1.7
True,2023-02-11,3,5,SAN ANTONIO SPURS,AWAY,ATLANTA HAWKS,LOSS,565,1,3,1,3,0,0,1,1,0,1,0,0,0,3.3
True,2023-02-23,0,-1,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,LOSS,433,0,2,0,2,0,0,0,1,1,0,0,0,1,-0.8
True,2023-02-25,0,0,SAN ANTONIO SPURS,AWAY,UTAH JAZZ,LOSS,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2023-03-05,4,-11,SAN ANTONIO SPURS,AWAY,HOUSTON ROCKETS,LOSS,720,2,5,0,3,0,0,1,1,1,1,1,2,2,1.9
True,2023-03-15,2,-2,SAN ANTONIO SPURS,HOME,DALLAS MAVERICKS,LOSS,939,1,5,0,2,0,0,3,2,3,0,2,0,4,3.5
True,2023-03-17,0,-16,SAN ANTONIO SPURS,HOME,MEMPHIS GRIZZLIES,LOSS,407,0,3,0,2,0,0,0,2,1,1,0,2,1,-2.2
True,2023-03-21,4,-12,SAN ANTONIO SPURS,AWAY,NEW ORLEANS PELICANS,LOSS,943,2,6,0,2,0,0,1,3,1,0,0,0,4,1.3
True,2023-03-22,7,-18,SAN ANTONIO SPURS,AWAY,MILWAUKEE BUCKS,LOSS,1111,2,3,2,3,1,2,1,5,4,0,1,4,3,5.8
True,2023-03-26,0,-13,SAN ANTONIO SPURS,AWAY,BOSTON CELTICS,LOSS,421,0,4,0,3,0,0,0,1,2,0,0,0,0,-1.1
True,2023-03-31,14,-1,SAN ANTONIO SPURS,AWAY,GOLDEN STATE WARRIORS,LOSS,1043,5,7,4,5,0,0,0,10,2,0,0,3,3,11.3
True,2023-04-04,4,-30,SAN ANTONIO SPURS,AWAY,PHOENIX SUNS,LOSS,1268,2,6,0,3,0,0,0,4,2,0,1,0,4,2.3
True,2023-04-08,8,-10,SAN ANTONIO SPURS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1183,3,8,1,3,1,1,2,6,4,0,1,2,5,6.3
True,2023-04-09,13,11,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,WIN,1394,4,8,2,6,3,4,1,9,4,0,1,3,2,11.7
