active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,20,-11,SAN ANTONIO SPURS,HOME,CHARLOTTE HORNETS,LOSS,1779,8,17,3,7,1,2,2,9,4,2,0,2,2,17.0
True,2022-10-21,23,16,SAN ANTONIO SPURS,AWAY,INDIANA PACERS,WIN,2004,8,15,4,9,3,4,0,3,6,1,0,2,4,17.8
True,2022-10-22,21,13,SAN ANTONIO SPURS,AWAY,PHILADELPHIA 76ERS,WIN,1905,7,17,3,8,4,5,2,6,0,1,0,3,1,12.3
True,2022-10-24,18,5,SAN ANTONIO SPURS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2028,8,20,1,6,1,4,0,3,4,2,0,1,0,10.7
True,2022-10-26,27,-2,SAN ANTONIO SPURS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1997,9,20,5,10,4,4,0,4,3,0,0,3,2,16.1
True,2022-10-28,33,10,SAN ANTONIO SPURS,HOME,CHICAGO BULLS,WIN,2080,8,19,6,12,11,12,0,3,4,2,0,4,2,23.4
True,2022-10-30,25,20,SAN ANTONIO SPURS,HOME,MINNESOTA TIMBERWOLVES,WIN,2283,8,15,5,10,4,4,0,6,8,1,1,5,1,21.4
True,2022-11-04,16,-12,SAN ANTONIO SPURS,HOME,LOS ANGELES CLIPPERS,LOSS,2065,7,19,2,9,0,1,1,6,3,0,0,0,3,8.5
True,2022-11-05,25,-16,SAN ANTONIO SPURS,AWAY,DENVER NUGGETS,LOSS,1868,8,14,4,7,5,6,0,3,4,0,0,3,0,18.7
True,2022-11-07,30,-17,SAN ANTONIO SPURS,HOME,DENVER NUGGETS,LOSS,2140,12,20,5,11,1,2,1,4,2,2,0,6,2,18.9
True,2022-11-09,16,-13,SAN ANTONIO SPURS,HOME,MEMPHIS GRIZZLIES,LOSS,2384,4,15,2,8,6,10,2,6,4,0,0,3,1,8.1
True,2022-11-11,29,7,SAN ANTONIO SPURS,HOME,MILWAUKEE BUCKS,WIN,1917,9,17,5,8,6,6,0,2,2,1,0,4,2,18.9
True,2022-11-14,15,-18,SAN ANTONIO SPURS,AWAY,GOLDEN STATE WARRIORS,LOSS,1115,5,15,3,9,2,2,0,1,1,0,0,1,0,6.5
True,2022-11-15,20,-7,SAN ANTONIO SPURS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2043,6,14,4,9,4,5,0,5,5,2,0,4,1,14.8
True,2022-11-19,11,-18,SAN ANTONIO SPURS,AWAY,LOS ANGELES CLIPPERS,LOSS,1657,5,15,1,5,0,0,1,1,1,1,0,0,1,4.8
True,2022-11-20,12,-28,SAN ANTONIO SPURS,AWAY,LOS ANGELES LAKERS,LOSS,1860,4,20,1,10,3,5,2,1,1,1,0,2,2,-0.6
True,2022-11-23,5,-20,SAN ANTONIO SPURS,HOME,NEW ORLEANS PELICANS,LOSS,966,2,9,0,4,1,1,0,1,0,0,0,1,1,-1.6
True,2022-11-25,15,-11,SAN ANTONIO SPURS,HOME,LOS ANGELES LAKERS,LOSS,2108,6,23,1,8,2,3,3,6,2,1,0,2,2,4.4
True,2022-11-26,26,-13,SAN ANTONIO SPURS,HOME,LOS ANGELES LAKERS,LOSS,2191,10,28,3,9,3,5,3,7,3,2,1,0,6,16.2
True,2022-11-30,19,-8,SAN ANTONIO SPURS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2147,5,22,4,13,5,8,2,5,6,0,0,1,2,9.7
True,2022-12-02,15,-19,SAN ANTONIO SPURS,HOME,NEW ORLEANS PELICANS,LOSS,2136,7,23,1,8,0,1,1,5,3,0,0,2,3,2.4
True,2022-12-04,27,-24,SAN ANTONIO SPURS,HOME,PHOENIX SUNS,LOSS,1973,11,23,1,5,4,6,1,4,2,1,0,1,5,15.8
True,2022-12-08,32,5,SAN ANTONIO SPURS,HOME,HOUSTON ROCKETS,WIN,2089,14,21,3,6,1,3,1,6,1,0,0,3,1,21.9
True,2022-12-10,21,-7,SAN ANTONIO SPURS,AWAY,MIAMI HEAT,WIN,2137,7,15,0,2,7,7,1,5,2,0,0,5,1,11.5
True,2022-12-12,21,3,SAN ANTONIO SPURS,HOME,CLEVELAND CAVALIERS,WIN,2015,8,25,1,6,4,5,2,4,2,0,1,2,1,8.6
True,2022-12-14,25,-5,SAN ANTONIO SPURS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1963,10,16,1,3,4,8,1,6,2,0,0,1,1,18.7
True,2022-12-17,22,1,SAN ANTONIO SPURS,HOME,MIAMI HEAT,LOSS,2005,6,14,3,5,7,7,0,2,3,1,0,2,3,15.1
True,2022-12-23,17,-14,SAN ANTONIO SPURS,AWAY,ORLANDO MAGIC,LOSS,1843,5,14,2,7,5,9,0,4,4,1,0,2,2,9.8
True,2022-12-26,21,0,SAN ANTONIO SPURS,HOME,UTAH JAZZ,WIN,2175,9,14,0,2,3,4,0,3,5,2,0,2,3,17.6
True,2022-12-27,19,-4,SAN ANTONIO SPURS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1844,7,18,2,6,3,4,0,3,2,0,0,2,1,8.7
True,2022-12-29,30,-5,SAN ANTONIO SPURS,HOME,NEW YORK KNICKS,WIN,1906,11,21,3,8,5,5,1,2,1,0,2,2,3,19.9
True,2022-12-31,30,-2,SAN ANTONIO SPURS,HOME,DALLAS MAVERICKS,LOSS,2132,10,19,4,5,6,7,2,2,0,0,0,0,4,20.7
True,2023-01-02,22,-21,SAN ANTONIO SPURS,AWAY,BROOKLYN NETS,LOSS,1494,7,13,2,6,6,7,0,4,1,0,1,3,2,14.1
True,2023-01-04,26,-3,SAN ANTONIO SPURS,AWAY,NEW YORK KNICKS,LOSS,2100,7,16,2,6,10,12,0,7,2,0,0,3,3,16.1
True,2023-01-06,8,2,SAN ANTONIO SPURS,HOME,DETROIT PISTONS,WIN,765,3,6,0,3,2,2,0,0,1,0,0,0,1,5.3
True,2023-01-11,24,-3,SAN ANTONIO SPURS,AWAY,MEMPHIS GRIZZLIES,LOSS,2123,6,17,1,7,11,12,1,3,3,0,1,2,2,15.7
True,2023-01-13,17,-40,SAN ANTONIO SPURS,HOME,GOLDEN STATE WARRIORS,LOSS,1857,5,11,1,2,6,6,0,2,1,1,1,2,1,11.9
