active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-12-14,2,1,SAN ANTONIO SPURS,HOME,PORTLAND TRAIL BLAZERS,LOSS,242,1,2,0,1,0,0,0,1,2,0,0,0,0,2.7
True,2022-12-17,0,1,SAN ANTONIO SPURS,HOME,MIAMI HEAT,LOSS,168,0,1,0,0,0,0,0,0,0,0,0,1,0,-1.7
True,2022-12-19,10,5,SAN ANTONIO SPURS,AWAY,HOUSTON ROCKETS,WIN,1164,4,6,2,3,0,0,0,3,3,0,1,1,1,9.7
True,2022-12-22,12,13,SAN ANTONIO SPURS,AWAY,NEW ORLEANS PELICANS,LOSS,757,4,5,1,2,3,4,0,4,2,1,2,1,1,13.3
True,2022-12-23,7,-18,SAN ANTONIO SPURS,AWAY,ORLANDO MAGIC,LOSS,1357,3,5,1,3,0,0,2,2,3,1,0,0,1,9.4
True,2022-12-26,3,3,SAN ANTONIO SPURS,HOME,UTAH JAZZ,WIN,850,1,2,0,0,1,1,0,2,1,2,1,3,2,2.2
True,2022-12-27,6,-12,SAN ANTONIO SPURS,AWAY,OKLAHOMA CITY THUNDER,LOSS,827,3,6,0,0,0,0,0,1,2,1,0,0,3,4.5
True,2022-12-29,9,10,SAN ANTONIO SPURS,HOME,NEW YORK KNICKS,WIN,996,3,5,2,3,1,2,1,5,2,0,0,0,5,7.9
True,2022-12-31,6,-5,SAN ANTONIO SPURS,HOME,DALLAS MAVERICKS,LOSS,1027,2,4,0,2,2,4,0,3,2,0,0,2,1,3.1
True,2023-01-02,2,-7,SAN ANTONIO SPURS,AWAY,BROOKLYN NETS,LOSS,516,1,1,0,0,0,0,0,0,1,0,0,1,0,1.4
True,2023-01-04,8,-3,SAN ANTONIO SPURS,AWAY,NEW YORK KNICKS,LOSS,827,3,5,2,3,0,0,0,2,3,0,0,1,3,6.2
True,2023-01-06,9,14,SAN ANTONIO SPURS,HOME,DETROIT PISTONS,WIN,1017,3,3,3,3,0,0,0,4,2,0,0,1,2,8.9
True,2023-01-07,10,-5,SAN ANTONIO SPURS,HOME,BOSTON CELTICS,LOSS,738,3,7,0,2,4,5,2,2,2,0,0,1,3,7.1
True,2023-01-09,6,4,SAN ANTONIO SPURS,AWAY,MEMPHIS GRIZZLIES,LOSS,1164,2,4,1,2,1,2,0,3,4,0,0,0,4,5.7
True,2023-01-11,7,-9,SAN ANTONIO SPURS,AWAY,MEMPHIS GRIZZLIES,LOSS,865,3,6,1,3,0,2,1,1,3,0,0,1,1,4.9
True,2023-01-13,3,4,SAN ANTONIO SPURS,HOME,GOLDEN STATE WARRIORS,LOSS,612,1,1,0,0,1,2,0,1,3,2,0,0,0,6.7
True,2023-01-15,4,-4,SAN ANTONIO SPURS,HOME,SACRAMENTO KINGS,LOSS,720,2,5,0,0,0,0,2,3,6,0,0,1,2,6.0
True,2023-01-17,2,-4,SAN ANTONIO SPURS,HOME,BROOKLYN NETS,WIN,342,0,1,0,0,2,2,1,1,2,1,0,1,1,3.3
True,2023-01-20,10,4,SAN ANTONIO SPURS,HOME,LOS ANGELES CLIPPERS,LOSS,891,4,7,2,3,0,0,0,3,3,0,0,0,1,9.3
True,2023-01-23,0,-11,SAN ANTONIO SPURS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1017,0,2,0,1,0,0,1,2,4,0,1,3,1,0.0
True,2023-01-25,0,-12,SAN ANTONIO SPURS,AWAY,LOS ANGELES LAKERS,LOSS,832,0,2,0,1,0,0,1,2,2,0,1,3,1,-1.4
True,2023-01-26,5,-18,SAN ANTONIO SPURS,AWAY,LOS ANGELES CLIPPERS,LOSS,992,1,2,0,0,3,4,1,2,1,0,0,5,1,0.2
True,2023-01-28,7,-6,SAN ANTONIO SPURS,HOME,PHOENIX SUNS,LOSS,1557,3,8,1,3,0,2,4,8,2,0,0,0,1,8.0
True,2023-01-30,10,-21,SAN ANTONIO SPURS,HOME,WASHINGTON WIZARDS,LOSS,1348,4,6,0,1,2,2,1,1,2,1,0,1,4,8.2
True,2023-02-01,4,-4,SAN ANTONIO SPURS,HOME,SACRAMENTO KINGS,LOSS,942,1,2,0,0,2,2,0,1,1,0,0,2,1,1.6
True,2023-02-03,13,-12,SAN ANTONIO SPURS,HOME,PHILADELPHIA 76ERS,LOSS,1718,5,7,1,1,2,2,1,1,4,1,0,0,2,14.1
True,2023-02-06,3,-13,SAN ANTONIO SPURS,AWAY,CHICAGO BULLS,LOSS,1077,1,1,0,0,1,1,0,3,3,1,0,0,2,5.9
True,2023-02-08,1,9,SAN ANTONIO SPURS,AWAY,TORONTO RAPTORS,LOSS,749,0,1,0,0,1,2,0,2,1,2,0,1,1,1.8
True,2023-02-10,8,3,SAN ANTONIO SPURS,AWAY,DETROIT PISTONS,LOSS,1930,4,12,0,2,0,0,3,7,1,3,0,2,3,5.9
True,2023-02-11,7,1,SAN ANTONIO SPURS,AWAY,ATLANTA HAWKS,LOSS,927,3,3,1,1,0,0,1,3,0,0,0,1,0,6.7
