active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-22,0,-2,MILWAUKEE BUCKS,HOME,HOUSTON ROCKETS,WIN,134,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2022-11-07,2,3,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,LOSS,369,1,3,0,2,0,0,0,0,0,0,0,0,0,0.3
True,2022-11-09,0,2,MILWAUKEE BUCKS,AWAY,OKLAHOMA CITY THUNDER,WIN,375,0,2,0,1,0,0,0,3,0,0,0,0,1,-0.9
True,2022-11-11,3,-2,MILWAUKEE BUCKS,AWAY,SAN ANTONIO SPURS,LOSS,508,1,4,1,2,0,0,2,2,0,0,0,0,0,2.6
True,2022-11-14,2,0,MILWAUKEE BUCKS,HOME,ATLANTA HAWKS,LOSS,95,1,1,0,0,0,0,0,0,1,0,0,0,0,2.4
True,2022-11-16,5,3,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,454,1,3,0,2,3,6,0,0,0,0,0,0,1,1.7
True,2022-11-21,2,-6,MILWAUKEE BUCKS,HOME,PORTLAND TRAIL BLAZERS,WIN,83,1,1,0,0,0,0,1,0,0,0,0,0,0,2.4
True,2022-11-25,3,-4,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,566,1,2,0,1,1,2,0,1,0,0,0,0,1,1.5
True,2022-11-27,0,-9,MILWAUKEE BUCKS,HOME,DALLAS MAVERICKS,WIN,432,0,1,0,0,0,0,0,2,0,0,0,1,1,-1.5
True,2022-12-03,6,-1,MILWAUKEE BUCKS,AWAY,CHARLOTTE HORNETS,WIN,898,2,6,1,4,1,2,0,6,0,0,1,0,1,4.3
True,2022-12-05,8,17,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,WIN,1382,3,5,2,3,0,0,2,4,2,1,1,2,3,8.2
True,2022-12-07,0,-2,MILWAUKEE BUCKS,HOME,SACRAMENTO KINGS,WIN,78,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2022-12-17,3,26,MILWAUKEE BUCKS,HOME,UTAH JAZZ,WIN,1408,1,2,1,1,0,0,4,4,6,0,0,0,2,9.4
True,2022-12-25,0,-2,MILWAUKEE BUCKS,AWAY,BOSTON CELTICS,LOSS,221,0,2,0,1,0,0,0,0,0,0,0,0,0,-1.4
True,2022-12-30,0,-3,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,WIN,259,0,2,0,1,0,0,1,1,0,0,1,1,0,-0.7
True,2023-01-01,2,-10,MILWAUKEE BUCKS,HOME,WASHINGTON WIZARDS,LOSS,784,0,3,0,2,2,2,0,4,3,0,0,0,1,2.8
True,2023-01-04,0,-4,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,WIN,597,0,1,0,1,0,0,1,1,1,0,0,0,1,0.6
True,2023-01-12,2,8,MILWAUKEE BUCKS,AWAY,MIAMI HEAT,LOSS,996,1,2,0,1,0,0,1,4,1,1,0,1,0,3.6
True,2023-01-14,5,-1,MILWAUKEE BUCKS,AWAY,MIAMI HEAT,LOSS,431,2,4,1,3,0,0,0,0,0,0,0,0,2,2.2
True,2023-01-29,2,4,MILWAUKEE BUCKS,HOME,NEW ORLEANS PELICANS,WIN,160,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2023-02-06,2,-3,MILWAUKEE BUCKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,221,0,0,0,0,2,2,0,1,0,0,0,2,0,0.3
True,2023-02-09,6,4,MILWAUKEE BUCKS,AWAY,LOS ANGELES LAKERS,WIN,768,2,4,1,2,1,2,2,1,0,1,0,1,2,4.5
True,2023-02-10,2,-3,MILWAUKEE BUCKS,AWAY,LOS ANGELES CLIPPERS,WIN,626,1,4,0,1,0,0,2,1,2,0,0,0,1,2.3
True,2023-02-16,2,-12,MILWAUKEE BUCKS,AWAY,CHICAGO BULLS,WIN,1167,0,4,0,4,2,2,2,3,0,1,2,0,2,3.1
True,2023-03-04,6,-2,SAN ANTONIO SPURS,HOME,HOUSTON ROCKETS,LOSS,971,2,2,2,2,0,0,1,1,0,0,0,1,3,4.2
True,2023-03-05,6,-27,SAN ANTONIO SPURS,AWAY,HOUSTON ROCKETS,LOSS,1037,2,8,1,3,1,1,2,2,0,1,0,1,5,1.2
True,2023-03-10,11,3,SAN ANTONIO SPURS,HOME,DENVER NUGGETS,WIN,720,4,5,2,3,1,2,1,3,2,0,0,0,3,10.5
True,2023-03-12,6,-13,SAN ANTONIO SPURS,HOME,OKLAHOMA CITY THUNDER,LOSS,998,1,6,0,3,4,6,1,6,0,0,1,2,1,2.2
True,2023-03-14,7,-3,SAN ANTONIO SPURS,HOME,ORLANDO MAGIC,WIN,1289,2,5,2,4,1,2,2,5,3,0,0,2,3,5.7
True,2023-03-15,10,-15,SAN ANTONIO SPURS,HOME,DALLAS MAVERICKS,LOSS,1995,4,13,2,7,0,0,3,4,2,0,0,0,3,6.0
True,2023-03-17,6,-5,SAN ANTONIO SPURS,HOME,MEMPHIS GRIZZLIES,LOSS,1365,2,6,0,1,2,4,8,6,2,1,0,1,0,10.6
True,2023-03-19,7,-7,SAN ANTONIO SPURS,HOME,ATLANTA HAWKS,WIN,1125,2,7,1,3,2,2,4,2,5,0,1,0,1,10.1
True,2023-03-21,20,-11,SAN ANTONIO SPURS,AWAY,NEW ORLEANS PELICANS,LOSS,1520,7,14,3,6,3,3,1,4,3,3,0,2,1,17.6
True,2023-03-22,12,-25,SAN ANTONIO SPURS,AWAY,MILWAUKEE BUCKS,LOSS,1663,6,13,0,4,0,0,1,6,2,0,2,1,3,8.4
True,2023-03-24,10,-5,SAN ANTONIO SPURS,AWAY,WASHINGTON WIZARDS,LOSS,1683,5,8,0,2,0,0,3,2,3,0,0,1,2,9.4
True,2023-03-26,13,-13,SAN ANTONIO SPURS,AWAY,BOSTON CELTICS,LOSS,1330,5,10,1,4,2,3,0,5,3,0,0,1,2,9.4
True,2023-03-29,17,7,SAN ANTONIO SPURS,HOME,UTAH JAZZ,LOSS,1722,7,14,2,6,1,1,3,5,5,0,0,3,1,13.7
True,2023-03-31,13,-5,SAN ANTONIO SPURS,AWAY,GOLDEN STATE WARRIORS,LOSS,1753,6,12,0,2,1,1,7,4,4,1,1,1,2,15.8
