active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,0,-18,SAN ANTONIO SPURS,HOME,CHARLOTTE HORNETS,LOSS,1030,0,3,0,3,0,0,0,2,1,0,0,2,1,-3.2
True,2022-10-21,27,3,SAN ANTONIO SPURS,AWAY,INDIANA PACERS,WIN,1692,8,13,6,8,5,5,0,2,1,1,0,3,3,19.2
True,2022-10-22,11,1,SAN ANTONIO SPURS,AWAY,PHILADELPHIA 76ERS,WIN,1259,4,9,2,6,1,1,0,1,3,1,0,1,2,7.9
True,2022-10-24,9,3,SAN ANTONIO SPURS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1014,4,7,1,2,0,0,0,3,1,1,0,0,1,7.9
True,2022-10-26,11,-2,SAN ANTONIO SPURS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1953,4,8,3,6,0,0,0,3,10,2,1,0,2,16.8
True,2022-10-28,12,-1,SAN ANTONIO SPURS,HOME,CHICAGO BULLS,WIN,1831,4,10,2,6,2,2,1,4,6,1,0,2,2,10.9
True,2022-11-02,10,-15,SAN ANTONIO SPURS,HOME,TORONTO RAPTORS,LOSS,1110,3,9,2,6,2,2,0,1,3,0,0,2,2,4.5
True,2022-11-04,5,-13,SAN ANTONIO SPURS,HOME,LOS ANGELES CLIPPERS,LOSS,1336,0,4,0,2,5,8,0,1,3,0,0,3,3,-0.8
True,2022-11-05,8,-8,SAN ANTONIO SPURS,AWAY,DENVER NUGGETS,LOSS,1141,3,7,2,4,0,0,0,1,3,0,0,2,4,3.1
True,2022-11-07,22,10,SAN ANTONIO SPURS,HOME,DENVER NUGGETS,LOSS,1660,8,11,2,5,4,5,1,2,3,1,0,6,3,14.3
True,2022-11-09,13,-2,SAN ANTONIO SPURS,HOME,MEMPHIS GRIZZLIES,LOSS,1293,4,12,3,6,2,2,1,1,1,1,0,3,0,5.9
True,2022-11-11,7,14,SAN ANTONIO SPURS,HOME,MILWAUKEE BUCKS,WIN,1390,2,10,1,6,2,2,0,2,0,0,1,1,1,0.7
True,2022-11-14,10,-3,SAN ANTONIO SPURS,AWAY,GOLDEN STATE WARRIORS,LOSS,1510,3,12,1,6,3,4,1,4,3,1,0,1,2,5.6
True,2022-11-15,4,-17,SAN ANTONIO SPURS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1453,2,7,0,4,0,0,0,1,5,0,0,0,2,2.9
True,2022-11-17,9,-6,SAN ANTONIO SPURS,AWAY,SACRAMENTO KINGS,LOSS,1396,3,7,2,4,1,1,0,1,3,2,0,2,2,6.9
True,2022-11-19,6,-13,SAN ANTONIO SPURS,AWAY,LOS ANGELES CLIPPERS,LOSS,1102,3,7,0,3,0,0,2,2,3,0,0,1,1,5.0
True,2022-11-20,10,-10,SAN ANTONIO SPURS,AWAY,LOS ANGELES LAKERS,LOSS,1110,4,10,2,3,0,0,1,0,2,1,0,0,0,7.7
True,2022-12-08,12,-2,SAN ANTONIO SPURS,HOME,HOUSTON ROCKETS,WIN,1623,4,12,3,9,1,1,0,2,2,0,0,2,0,5.2
True,2022-12-10,3,4,SAN ANTONIO SPURS,AWAY,MIAMI HEAT,WIN,1377,1,7,1,5,0,0,2,5,6,0,0,2,1,3.2
True,2022-12-12,24,6,SAN ANTONIO SPURS,HOME,CLEVELAND CAVALIERS,WIN,1620,9,13,5,7,1,1,0,1,2,0,0,2,3,17.0
True,2022-12-14,11,4,SAN ANTONIO SPURS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1409,5,11,1,5,0,0,1,1,0,4,0,2,1,7.9
True,2022-12-22,14,-2,SAN ANTONIO SPURS,AWAY,NEW ORLEANS PELICANS,LOSS,1280,5,11,2,5,2,3,1,2,3,0,0,1,2,9.5
True,2022-12-23,7,-15,SAN ANTONIO SPURS,AWAY,ORLANDO MAGIC,LOSS,1084,2,10,0,4,3,3,1,0,3,2,0,1,1,4.2
True,2022-12-27,9,-18,SAN ANTONIO SPURS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1551,3,10,1,4,2,2,1,1,1,1,0,1,1,4.5
True,2022-12-29,9,8,SAN ANTONIO SPURS,HOME,NEW YORK KNICKS,WIN,1152,3,6,1,3,2,2,1,2,4,2,0,0,1,11.7
True,2022-12-31,4,5,SAN ANTONIO SPURS,HOME,DALLAS MAVERICKS,LOSS,1007,2,4,0,1,0,0,1,3,5,0,0,2,0,5.1
True,2023-01-02,11,-10,SAN ANTONIO SPURS,AWAY,BROOKLYN NETS,LOSS,1297,5,9,1,2,0,0,2,2,3,0,0,0,2,10.0
True,2023-01-04,20,-5,SAN ANTONIO SPURS,AWAY,NEW YORK KNICKS,LOSS,1742,9,14,2,5,0,0,1,2,4,1,0,2,3,15.7
True,2023-01-06,9,2,SAN ANTONIO SPURS,HOME,DETROIT PISTONS,WIN,1180,3,6,1,4,2,2,0,2,5,1,0,1,2,9.3
True,2023-01-07,18,6,SAN ANTONIO SPURS,HOME,BOSTON CELTICS,LOSS,1732,7,14,4,9,0,0,0,3,4,1,2,3,0,14.1
True,2023-01-09,16,-5,SAN ANTONIO SPURS,AWAY,MEMPHIS GRIZZLIES,LOSS,1486,6,12,2,6,2,2,1,4,5,2,0,2,3,14.2
True,2023-01-11,12,6,SAN ANTONIO SPURS,AWAY,MEMPHIS GRIZZLIES,LOSS,1352,5,10,2,6,0,0,0,1,5,1,1,1,3,10.3
True,2023-01-13,9,-13,SAN ANTONIO SPURS,HOME,GOLDEN STATE WARRIORS,LOSS,1261,4,9,1,5,0,0,1,2,5,1,1,0,3,9.6
True,2023-01-15,21,1,SAN ANTONIO SPURS,HOME,SACRAMENTO KINGS,LOSS,1802,8,13,4,6,1,1,0,1,4,1,0,0,1,18.8
True,2023-01-17,9,4,SAN ANTONIO SPURS,HOME,BROOKLYN NETS,WIN,1595,4,9,1,4,0,0,2,2,1,1,2,1,1,8.0
True,2023-01-20,17,1,SAN ANTONIO SPURS,HOME,LOS ANGELES CLIPPERS,LOSS,1334,6,10,3,5,2,3,2,2,3,1,0,1,0,16.1
True,2023-01-23,11,-22,SAN ANTONIO SPURS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1141,3,7,2,4,3,3,1,2,2,0,0,0,1,9.6
True,2023-01-25,7,8,SAN ANTONIO SPURS,AWAY,LOS ANGELES LAKERS,LOSS,1481,3,12,1,6,0,0,1,6,3,0,0,2,1,2.0
True,2023-02-01,19,-4,SAN ANTONIO SPURS,HOME,SACRAMENTO KINGS,LOSS,1732,8,13,2,6,1,1,2,6,3,2,0,4,4,14.8
True,2023-02-03,10,2,SAN ANTONIO SPURS,HOME,PHILADELPHIA 76ERS,LOSS,1548,4,9,2,4,0,0,0,1,7,2,0,1,2,10.7
True,2023-02-06,11,-8,SAN ANTONIO SPURS,AWAY,CHICAGO BULLS,LOSS,1873,5,14,1,4,0,0,0,0,3,4,0,2,3,6.1
True,2023-02-08,14,-12,SAN ANTONIO SPURS,AWAY,TORONTO RAPTORS,LOSS,1862,4,15,2,8,4,4,2,5,3,1,3,1,0,12.2
True,2023-02-13,10,4,NEW ORLEANS PELICANS,AWAY,OKLAHOMA CITY THUNDER,WIN,2047,4,8,0,4,2,2,0,2,3,5,2,0,3,13.9
True,2023-02-15,8,-3,NEW ORLEANS PELICANS,AWAY,LOS ANGELES LAKERS,LOSS,1124,2,7,1,3,3,6,0,3,2,2,1,2,4,4.1
True,2023-02-23,11,-4,NEW ORLEANS PELICANS,AWAY,TORONTO RAPTORS,LOSS,1735,4,8,2,6,1,1,0,3,3,3,0,2,4,9.4
True,2023-02-25,16,-27,NEW ORLEANS PELICANS,AWAY,NEW YORK KNICKS,LOSS,2023,6,13,3,8,1,1,1,1,4,4,0,1,3,14.9
True,2023-02-27,8,-7,NEW ORLEANS PELICANS,HOME,ORLANDO MAGIC,LOSS,1616,3,4,0,1,2,2,0,2,2,2,0,1,5,7.4
True,2023-03-01,5,-16,NEW ORLEANS PELICANS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1200,2,2,1,1,0,0,0,2,0,0,0,2,2,2.2
True,2023-03-08,6,10,NEW ORLEANS PELICANS,HOME,DALLAS MAVERICKS,WIN,1353,2,9,2,4,0,0,2,1,2,1,1,0,1,4.9
True,2023-03-11,6,-11,NEW ORLEANS PELICANS,HOME,OKLAHOMA CITY THUNDER,LOSS,1596,2,10,1,6,1,1,1,3,1,2,1,0,2,4.0
True,2023-03-12,19,-5,NEW ORLEANS PELICANS,HOME,PORTLAND TRAIL BLAZERS,WIN,1690,5,11,4,8,5,6,0,2,1,4,2,0,2,18.8
True,2023-03-14,5,8,NEW ORLEANS PELICANS,HOME,LOS ANGELES LAKERS,LOSS,1027,2,7,1,4,0,1,0,1,0,0,0,1,0,-0.2
True,2023-03-17,8,-23,NEW ORLEANS PELICANS,AWAY,HOUSTON ROCKETS,LOSS,1555,3,9,2,4,0,0,1,1,4,0,0,1,3,4.5
True,2023-03-19,6,5,NEW ORLEANS PELICANS,AWAY,HOUSTON ROCKETS,WIN,1015,2,4,1,3,1,1,1,1,2,0,0,0,4,4.8
True,2023-03-21,10,33,NEW ORLEANS PELICANS,HOME,SAN ANTONIO SPURS,WIN,1495,4,7,2,3,0,0,1,2,2,1,0,0,0,10.4
True,2023-03-23,3,17,NEW ORLEANS PELICANS,HOME,CHARLOTTE HORNETS,WIN,1223,1,3,1,2,0,0,1,4,2,0,0,1,2,2.8
True,2023-03-25,13,7,NEW ORLEANS PELICANS,AWAY,LOS ANGELES CLIPPERS,WIN,1493,5,10,3,6,0,0,1,0,2,1,0,5,1,5.7
True,2023-03-27,10,18,NEW ORLEANS PELICANS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1344,4,5,2,3,0,0,0,3,1,0,1,1,0,9.4
True,2023-03-28,7,7,NEW ORLEANS PELICANS,AWAY,GOLDEN STATE WARRIORS,LOSS,1237,3,6,1,3,0,0,0,2,2,0,1,0,1,6.3
True,2023-03-30,3,-4,NEW ORLEANS PELICANS,AWAY,DENVER NUGGETS,WIN,1159,1,4,1,3,0,0,0,3,0,0,0,1,1,0.1
True,2023-04-01,3,8,NEW ORLEANS PELICANS,HOME,LOS ANGELES CLIPPERS,WIN,1144,1,4,1,3,0,0,0,4,1,0,0,1,2,0.7
True,2023-04-04,3,-20,NEW ORLEANS PELICANS,HOME,SACRAMENTO KINGS,LOSS,1181,1,4,1,2,0,0,0,0,0,1,0,1,1,0.2
True,2023-04-05,8,-11,NEW ORLEANS PELICANS,HOME,MEMPHIS GRIZZLIES,WIN,918,3,4,2,3,0,0,0,0,1,0,0,1,3,4.9
True,2023-04-07,3,-6,NEW ORLEANS PELICANS,HOME,NEW YORK KNICKS,WIN,1053,1,4,1,4,0,0,0,2,1,2,0,0,0,3.9
True,2023-04-09,2,-5,NEW ORLEANS PELICANS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1745,1,5,0,2,0,0,2,3,1,1,0,2,3,-0.3
