active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,4,-2,SAN ANTONIO SPURS,HOME,CHARLOTTE HORNETS,LOSS,1646,2,8,0,2,0,1,2,5,2,2,0,0,2,4.3
True,2022-10-21,4,2,SAN ANTONIO SPURS,AWAY,INDIANA PACERS,WIN,1264,2,4,0,1,0,0,1,4,1,0,0,1,3,2.4
True,2022-10-22,1,-9,SAN ANTONIO SPURS,AWAY,PHILADELPHIA 76ERS,WIN,617,0,3,0,2,1,2,0,3,1,0,1,1,1,-0.6
True,2022-10-24,14,13,SAN ANTONIO SPURS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1403,7,9,0,2,0,0,2,2,1,1,0,1,5,11.2
True,2022-10-26,12,2,SAN ANTONIO SPURS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1658,5,13,2,6,0,0,1,0,2,1,1,1,3,6.5
True,2022-10-28,13,4,SAN ANTONIO SPURS,HOME,CHICAGO BULLS,WIN,1876,5,8,2,4,1,2,0,6,5,1,1,3,3,11.8
True,2022-11-02,2,-13,SAN ANTONIO SPURS,HOME,TORONTO RAPTORS,LOSS,589,1,4,0,2,0,0,1,1,0,1,0,0,0,1.6
True,2022-11-04,6,-5,SAN ANTONIO SPURS,HOME,LOS ANGELES CLIPPERS,LOSS,1326,3,8,0,4,0,0,1,1,2,0,0,1,0,3.0
True,2022-11-05,5,6,SAN ANTONIO SPURS,AWAY,DENVER NUGGETS,LOSS,1451,2,2,1,1,0,0,1,1,1,1,1,0,2,7.0
True,2022-11-07,2,-3,SAN ANTONIO SPURS,HOME,DENVER NUGGETS,LOSS,1701,1,4,0,2,0,0,2,2,2,2,1,0,2,4.9
True,2022-11-09,13,-6,SAN ANTONIO SPURS,HOME,MEMPHIS GRIZZLIES,LOSS,1823,6,7,1,2,0,0,1,1,0,2,0,2,3,10.3
True,2022-11-11,10,22,SAN ANTONIO SPURS,HOME,MILWAUKEE BUCKS,WIN,1790,4,7,0,2,2,2,1,6,2,0,1,2,4,7.7
