active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,11,-22,SAN ANTONIO SPURS,HOME,CHARLOTTE HORNETS,LOSS,1715,3,15,0,8,5,8,1,1,4,1,0,2,1,2.9
True,2022-10-21,23,-9,SAN ANTONIO SPURS,AWAY,INDIANA PACERS,WIN,2025,7,15,4,7,5,6,0,5,4,2,0,0,1,20.8
True,2022-10-22,22,0,SAN ANTONIO SPURS,AWAY,PHILADELPHIA 76ERS,WIN,2053,9,14,4,8,0,0,0,4,3,1,0,1,1,18.7
True,2022-10-24,23,16,SAN ANTONIO SPURS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1995,8,22,5,10,2,2,0,9,7,1,0,1,2,17.6
True,2022-11-04,29,2,SAN ANTONIO SPURS,HOME,LOS ANGELES CLIPPERS,LOSS,1513,12,16,4,5,1,1,0,2,2,0,0,2,2,21.8
True,2022-11-05,20,-21,SAN ANTONIO SPURS,AWAY,DENVER NUGGETS,LOSS,1481,7,12,4,6,2,3,0,4,4,1,1,1,1,18.3
True,2022-11-07,17,-4,SAN ANTONIO SPURS,HOME,DENVER NUGGETS,LOSS,2047,6,17,3,8,2,3,0,3,4,2,0,3,0,9.8
True,2022-11-09,22,0,SAN ANTONIO SPURS,HOME,MEMPHIS GRIZZLIES,LOSS,2346,9,21,4,10,0,0,0,3,6,0,1,1,1,15.3
True,2022-11-11,22,22,SAN ANTONIO SPURS,HOME,MILWAUKEE BUCKS,WIN,1878,9,17,2,7,2,2,0,5,0,0,1,1,1,14.5
True,2022-11-14,6,-32,SAN ANTONIO SPURS,AWAY,GOLDEN STATE WARRIORS,LOSS,1505,3,11,0,4,0,0,0,4,1,0,1,1,1,0.7
True,2022-11-15,21,-5,SAN ANTONIO SPURS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2112,7,15,4,8,3,3,0,2,2,1,1,4,3,11.8
True,2022-11-17,29,-14,SAN ANTONIO SPURS,AWAY,SACRAMENTO KINGS,LOSS,2174,11,19,4,9,3,5,0,3,3,1,1,2,1,21.6
True,2022-11-20,17,-14,SAN ANTONIO SPURS,AWAY,LOS ANGELES LAKERS,LOSS,1754,7,14,3,4,0,1,0,4,4,0,1,0,1,13.9
True,2022-11-23,26,-18,SAN ANTONIO SPURS,HOME,NEW ORLEANS PELICANS,LOSS,1899,10,17,4,8,2,3,0,4,8,1,0,2,3,22.3
True,2022-11-25,18,-8,SAN ANTONIO SPURS,HOME,LOS ANGELES LAKERS,LOSS,2158,7,22,0,6,4,4,1,5,3,1,0,1,2,8.9
True,2022-11-26,20,13,SAN ANTONIO SPURS,HOME,LOS ANGELES LAKERS,LOSS,2272,6,16,4,9,4,4,0,4,3,1,0,3,4,10.9
True,2022-11-30,25,-3,SAN ANTONIO SPURS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2207,7,13,3,6,8,9,1,6,3,1,0,1,2,22.1
True,2022-12-02,25,-20,SAN ANTONIO SPURS,HOME,NEW ORLEANS PELICANS,LOSS,2118,9,23,5,12,2,2,1,3,3,0,1,1,1,15.5
True,2022-12-04,14,-33,SAN ANTONIO SPURS,HOME,PHOENIX SUNS,LOSS,1853,5,12,2,6,2,2,0,5,4,0,0,3,1,8.5
True,2022-12-10,18,5,SAN ANTONIO SPURS,AWAY,MIAMI HEAT,WIN,1587,7,13,1,4,3,4,0,4,2,3,0,1,1,15.5
True,2022-12-12,16,0,SAN ANTONIO SPURS,HOME,CLEVELAND CAVALIERS,WIN,1654,7,14,2,6,0,0,0,2,3,3,0,0,2,13.9
True,2022-12-14,13,-10,SAN ANTONIO SPURS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1534,4,16,2,4,3,3,1,1,4,3,1,1,0,9.9
