active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-28,10,-18,SAN ANTONIO SPURS,HOME,CHICAGO BULLS,WIN,915,4,6,2,3,0,0,0,0,4,0,0,1,3,8.0
True,2022-10-30,6,8,SAN ANTONIO SPURS,HOME,MINNESOTA TIMBERWOLVES,WIN,494,2,3,0,0,2,4,1,1,0,0,0,1,0,3.9
True,2023-01-13,2,3,SAN ANTONIO SPURS,HOME,GOLDEN STATE WARRIORS,LOSS,407,1,2,0,0,0,0,0,1,0,0,0,2,1,-1.1
True,2023-01-15,5,-1,SAN ANTONIO SPURS,HOME,SACRAMENTO KINGS,LOSS,539,2,3,1,1,0,0,0,1,1,0,0,0,3,3.5
True,2023-01-26,6,-20,SAN ANTONIO SPURS,AWAY,LOS ANGELES CLIPPERS,LOSS,1274,2,5,0,2,2,4,0,2,2,1,0,1,3,3.3
True,2023-01-28,0,-5,SAN ANTONIO SPURS,HOME,PHOENIX SUNS,LOSS,245,0,2,0,0,0,0,1,1,0,0,0,1,1,-1.8
True,2023-01-30,0,-9,SAN ANTONIO SPURS,HOME,WASHINGTON WIZARDS,LOSS,428,0,2,0,1,0,0,0,0,0,0,1,1,1,-2.1
True,2023-02-01,0,-11,SAN ANTONIO SPURS,HOME,SACRAMENTO KINGS,LOSS,251,0,2,0,1,0,0,0,0,0,0,0,1,0,-2.4
True,2023-02-03,9,-3,SAN ANTONIO SPURS,HOME,PHILADELPHIA 76ERS,LOSS,1066,4,7,1,1,0,0,0,0,2,0,0,2,4,3.5
True,2023-02-06,5,-20,SAN ANTONIO SPURS,AWAY,CHICAGO BULLS,LOSS,1336,2,6,1,1,0,0,0,5,1,1,0,2,1,2.4
True,2023-02-08,7,0,SAN ANTONIO SPURS,AWAY,TORONTO RAPTORS,LOSS,848,3,7,1,2,0,0,0,0,4,1,0,2,0,5.1
True,2023-02-10,3,4,SAN ANTONIO SPURS,AWAY,DETROIT PISTONS,LOSS,1450,1,5,1,2,0,0,0,3,2,0,0,4,3,-3.0
True,2023-02-11,0,1,SAN ANTONIO SPURS,AWAY,ATLANTA HAWKS,LOSS,372,0,2,0,1,0,0,0,1,1,0,0,0,1,-0.8
True,2023-02-13,9,0,SAN ANTONIO SPURS,AWAY,CLEVELAND CAVALIERS,LOSS,1176,4,10,0,2,1,1,0,3,2,1,0,2,3,3.7
True,2023-02-15,1,3,SAN ANTONIO SPURS,AWAY,CHARLOTTE HORNETS,LOSS,951,0,4,0,2,1,2,0,0,1,1,0,0,4,-2.1
True,2023-02-23,9,1,SAN ANTONIO SPURS,AWAY,DALLAS MAVERICKS,LOSS,1257,3,8,2,2,1,2,1,2,2,1,0,3,5,2.9
True,2023-02-25,4,-3,SAN ANTONIO SPURS,AWAY,UTAH JAZZ,LOSS,1185,1,4,0,0,2,2,0,3,4,1,0,1,0,5.3
True,2023-02-28,9,5,SAN ANTONIO SPURS,AWAY,UTAH JAZZ,WIN,1289,3,5,2,2,1,2,1,5,2,3,0,2,2,10.1
True,2023-03-02,8,0,SAN ANTONIO SPURS,HOME,INDIANA PACERS,WIN,1043,3,6,1,1,1,2,0,3,1,0,0,2,2,3.4
True,2023-03-04,2,-2,SAN ANTONIO SPURS,HOME,HOUSTON ROCKETS,LOSS,1377,0,6,0,2,2,2,0,2,2,0,0,2,1,-2.6
True,2023-03-05,7,-15,SAN ANTONIO SPURS,AWAY,HOUSTON ROCKETS,LOSS,1141,3,6,1,1,0,0,0,2,2,0,0,3,2,2.2
True,2023-03-12,2,-12,SAN ANTONIO SPURS,HOME,OKLAHOMA CITY THUNDER,LOSS,1820,1,12,0,4,0,0,0,3,6,0,1,2,3,-3.4
True,2023-03-14,8,1,SAN ANTONIO SPURS,HOME,ORLANDO MAGIC,WIN,1385,3,8,2,5,0,0,0,2,7,0,0,2,2,6.3
True,2023-03-15,11,9,SAN ANTONIO SPURS,HOME,DALLAS MAVERICKS,LOSS,1388,4,10,0,0,3,5,4,2,4,3,0,2,1,11.6
True,2023-03-17,4,1,SAN ANTONIO SPURS,HOME,MEMPHIS GRIZZLIES,LOSS,1246,1,4,0,1,2,4,0,2,5,1,2,1,2,5.5
True,2023-03-19,6,12,SAN ANTONIO SPURS,HOME,ATLANTA HAWKS,WIN,1088,2,5,1,1,1,2,0,0,1,0,0,1,3,1.4
