active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,10,-4,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,WIN,1076,4,11,1,4,1,2,1,4,0,0,0,0,1,5.0
True,2022-10-21,4,-8,TORONTO RAPTORS,AWAY,BROOKLYN NETS,LOSS,1049,1,6,0,1,2,3,0,6,0,0,0,3,2,-2.2
True,2022-10-22,18,16,TORONTO RAPTORS,AWAY,MIAMI HEAT,LOSS,2012,5,9,2,5,6,7,3,8,1,0,0,1,1,17.1
True,2022-10-24,10,10,TORONTO RAPTORS,AWAY,MIAMI HEAT,WIN,2023,5,12,0,1,0,1,4,18,2,0,1,0,2,12.7
True,2022-10-26,7,14,TORONTO RAPTORS,HOME,PHILADELPHIA 76ERS,WIN,1278,3,7,1,3,0,0,3,3,4,0,0,2,3,5.9
True,2022-10-28,0,-10,TORONTO RAPTORS,HOME,PHILADELPHIA 76ERS,LOSS,897,0,6,0,3,0,0,2,1,1,0,1,2,1,-3.5
True,2022-10-31,10,11,TORONTO RAPTORS,HOME,ATLANTA HAWKS,WIN,1065,2,3,0,1,6,6,0,3,1,0,0,1,1,8.9
True,2022-11-02,12,6,TORONTO RAPTORS,AWAY,SAN ANTONIO SPURS,WIN,1260,4,9,0,3,4,4,0,6,1,1,1,1,1,10.1
True,2022-11-04,15,2,TORONTO RAPTORS,AWAY,DALLAS MAVERICKS,LOSS,1596,4,9,1,3,6,6,3,5,2,0,1,2,1,13.6
True,2022-11-06,5,-20,TORONTO RAPTORS,HOME,CHICAGO BULLS,WIN,851,2,6,0,2,1,2,3,1,2,1,1,1,3,4.5
True,2022-11-07,10,-16,TORONTO RAPTORS,AWAY,CHICAGO BULLS,LOSS,832,4,6,0,0,2,2,1,3,1,0,1,0,1,10.0
True,2022-11-09,4,-11,TORONTO RAPTORS,HOME,HOUSTON ROCKETS,WIN,749,2,8,0,2,0,0,4,2,1,0,1,2,2,1.2
True,2023-01-02,3,-11,TORONTO RAPTORS,AWAY,INDIANA PACERS,LOSS,746,1,3,0,1,1,2,0,0,2,1,3,0,2,4.6
True,2023-01-04,2,-5,TORONTO RAPTORS,HOME,MILWAUKEE BUCKS,LOSS,713,1,5,0,2,0,0,1,1,0,0,0,1,0,-1.1
True,2023-01-06,2,-7,TORONTO RAPTORS,HOME,NEW YORK KNICKS,LOSS,274,1,3,0,1,0,0,0,1,1,0,0,0,0,1.3
