active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,15,20,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,WIN,1940,7,14,1,1,0,0,1,2,7,2,1,3,4,12.3
True,2022-10-21,17,2,TORONTO RAPTORS,AWAY,BROOKLYN NETS,LOSS,2153,7,14,1,2,2,2,2,5,3,2,1,3,2,13.9
True,2022-10-22,11,-8,TORONTO RAPTORS,AWAY,MIAMI HEAT,LOSS,794,5,9,0,1,1,3,1,1,2,0,1,1,1,7.6
True,2022-10-26,16,3,TORONTO RAPTORS,HOME,PHILADELPHIA 76ERS,WIN,1960,6,11,1,4,3,3,1,9,5,1,0,0,0,18.6
True,2022-10-28,13,-21,TORONTO RAPTORS,HOME,PHILADELPHIA 76ERS,LOSS,1734,4,7,3,4,2,2,2,4,1,1,0,2,1,11.6
True,2022-10-31,21,31,TORONTO RAPTORS,HOME,ATLANTA HAWKS,WIN,2003,7,14,5,9,2,3,0,7,8,1,0,2,3,19.1
True,2022-11-02,15,30,TORONTO RAPTORS,AWAY,SAN ANTONIO SPURS,WIN,1680,7,13,1,4,0,0,1,3,5,0,1,2,0,12.5
True,2022-11-04,11,1,TORONTO RAPTORS,AWAY,DALLAS MAVERICKS,LOSS,2285,4,12,1,6,2,2,3,8,10,1,0,5,0,11.7
True,2022-11-06,19,5,TORONTO RAPTORS,HOME,CHICAGO BULLS,WIN,2405,8,19,2,7,1,2,2,8,4,1,0,2,1,13.7
True,2022-11-07,5,6,TORONTO RAPTORS,AWAY,CHICAGO BULLS,LOSS,1825,2,9,0,2,1,2,1,5,5,0,0,1,3,2.6
True,2022-11-09,13,6,TORONTO RAPTORS,HOME,HOUSTON ROCKETS,WIN,2046,6,16,1,4,0,0,7,1,5,0,2,1,1,12.9
True,2022-11-11,15,-4,TORONTO RAPTORS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1718,5,13,1,3,4,6,0,3,4,1,2,2,1,10.8
True,2022-11-12,8,-18,TORONTO RAPTORS,AWAY,INDIANA PACERS,LOSS,2341,4,16,0,4,0,0,4,5,5,2,1,2,2,6.1
True,2022-11-14,8,1,TORONTO RAPTORS,AWAY,DETROIT PISTONS,WIN,2051,4,9,0,1,0,0,0,5,4,1,1,3,3,5.1
True,2022-11-16,19,4,TORONTO RAPTORS,HOME,MIAMI HEAT,WIN,2492,9,14,1,2,0,0,3,3,6,1,1,4,0,17.7
True,2022-11-19,28,-1,TORONTO RAPTORS,AWAY,ATLANTA HAWKS,LOSS,2734,11,29,4,8,2,2,3,8,9,1,2,3,3,21.1
True,2022-11-28,11,12,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,WIN,1591,5,12,1,4,0,0,1,3,5,1,3,2,0,10.8
