active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-24,2,4,TORONTO RAPTORS,AWAY,MIAMI HEAT,WIN,394,1,2,0,0,0,0,1,1,0,0,0,0,1,1.6
True,2022-10-26,0,-1,TORONTO RAPTORS,HOME,PHILADELPHIA 76ERS,WIN,380,0,0,0,0,0,0,0,1,0,0,1,0,4,-0.6
True,2022-10-31,5,7,TORONTO RAPTORS,HOME,ATLANTA HAWKS,WIN,547,1,1,1,1,2,2,2,0,0,2,0,0,1,7.7
True,2022-11-02,2,7,TORONTO RAPTORS,AWAY,SAN ANTONIO SPURS,WIN,702,1,2,0,0,0,0,0,0,1,1,0,1,2,0.9
True,2022-11-14,2,-3,TORONTO RAPTORS,AWAY,DETROIT PISTONS,WIN,235,1,1,0,0,0,0,0,0,1,0,0,1,2,0.6
True,2022-11-16,2,2,TORONTO RAPTORS,HOME,MIAMI HEAT,WIN,429,1,2,0,0,0,0,1,0,1,1,0,0,2,2.6
True,2022-11-19,0,1,TORONTO RAPTORS,AWAY,ATLANTA HAWKS,LOSS,216,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2022-11-23,2,2,TORONTO RAPTORS,HOME,BROOKLYN NETS,LOSS,640,1,1,0,0,0,0,0,3,0,0,0,0,1,2.2
True,2022-11-26,6,-3,TORONTO RAPTORS,HOME,DALLAS MAVERICKS,WIN,761,3,5,0,0,0,0,0,0,0,0,0,0,2,2.9
True,2022-11-28,0,-2,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,WIN,269,0,2,0,0,0,0,1,1,1,0,0,0,0,0.3
True,2022-11-30,2,-4,TORONTO RAPTORS,AWAY,NEW ORLEANS PELICANS,LOSS,302,1,1,0,0,0,0,0,0,0,0,0,1,1,0.3
True,2022-12-02,2,-1,TORONTO RAPTORS,AWAY,BROOKLYN NETS,LOSS,242,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2022-12-03,2,2,TORONTO RAPTORS,HOME,ORLANDO MAGIC,WIN,337,1,2,0,0,0,0,1,1,0,0,1,1,1,1.3
True,2022-12-09,1,4,TORONTO RAPTORS,AWAY,ORLANDO MAGIC,LOSS,391,0,0,0,0,1,2,1,0,1,0,0,0,1,1.6
True,2022-12-11,9,-6,TORONTO RAPTORS,AWAY,ORLANDO MAGIC,LOSS,1094,4,5,0,1,1,1,0,1,0,0,1,1,2,6.3
True,2022-12-14,2,-8,TORONTO RAPTORS,HOME,SACRAMENTO KINGS,LOSS,442,1,3,0,0,0,0,1,1,0,1,1,0,0,3.0
True,2022-12-18,0,-1,TORONTO RAPTORS,HOME,GOLDEN STATE WARRIORS,LOSS,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-19,2,6,TORONTO RAPTORS,AWAY,PHILADELPHIA 76ERS,LOSS,1382,1,3,0,0,0,0,0,5,2,0,1,1,1,2.5
True,2022-12-27,0,2,TORONTO RAPTORS,HOME,LOS ANGELES CLIPPERS,LOSS,171,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2022-12-29,2,-2,TORONTO RAPTORS,HOME,MEMPHIS GRIZZLIES,LOSS,688,1,1,0,0,0,0,0,1,0,0,0,2,3,-1.2
