active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-24,10,1,TORONTO RAPTORS,AWAY,MIAMI HEAT,WIN,702,4,5,2,2,0,0,1,1,0,0,1,1,5,6.8
True,2022-10-26,13,11,TORONTO RAPTORS,HOME,PHILADELPHIA 76ERS,WIN,1035,5,9,2,4,1,2,1,3,0,0,0,1,3,7.7
True,2022-10-28,8,-8,TORONTO RAPTORS,HOME,PHILADELPHIA 76ERS,LOSS,1326,3,6,1,2,1,3,0,3,1,1,3,1,3,6.7
True,2022-10-31,11,9,TORONTO RAPTORS,HOME,ATLANTA HAWKS,WIN,1254,4,6,1,3,2,2,2,1,1,2,1,0,1,13.1
True,2022-11-02,17,22,TORONTO RAPTORS,AWAY,SAN ANTONIO SPURS,WIN,1522,7,10,3,5,0,0,2,6,2,2,1,1,4,17.5
True,2022-11-04,17,20,TORONTO RAPTORS,AWAY,DALLAS MAVERICKS,LOSS,1777,6,13,2,6,3,4,4,5,1,0,1,0,4,14.0
True,2022-11-06,8,-6,TORONTO RAPTORS,HOME,CHICAGO BULLS,WIN,1331,4,10,0,2,0,0,6,0,1,1,2,3,3,5.7
True,2022-11-07,0,-10,TORONTO RAPTORS,AWAY,CHICAGO BULLS,LOSS,868,0,3,0,2,0,2,0,3,0,0,0,1,3,-4.2
True,2022-11-09,2,-10,TORONTO RAPTORS,HOME,HOUSTON ROCKETS,WIN,803,0,2,0,1,2,2,1,3,0,1,1,0,3,2.7
True,2022-11-11,20,-7,TORONTO RAPTORS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1869,6,9,0,2,8,10,4,8,1,2,1,3,1,20.5
