active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-31,4,1,TORONTO RAPTORS,HOME,ATLANTA HAWKS,WIN,322,2,2,0,0,0,0,0,1,1,0,0,0,0,4.4
True,2022-11-02,0,-2,TORONTO RAPTORS,AWAY,SAN ANTONIO SPURS,WIN,180,0,2,0,0,0,0,0,0,1,0,0,0,0,-0.7
True,2022-11-14,4,-5,TORONTO RAPTORS,AWAY,DETROIT PISTONS,WIN,901,2,3,0,1,0,0,2,2,2,0,1,1,2,5.0
True,2022-11-19,0,9,TORONTO RAPTORS,AWAY,ATLANTA HAWKS,LOSS,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-23,10,8,TORONTO RAPTORS,HOME,BROOKLYN NETS,LOSS,1272,4,9,1,3,1,1,0,2,1,0,0,0,1,6.2
True,2022-11-26,2,-5,TORONTO RAPTORS,HOME,DALLAS MAVERICKS,WIN,704,1,1,0,0,0,0,2,1,3,0,0,0,1,5.1
True,2022-11-28,0,-4,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,WIN,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-30,0,0,TORONTO RAPTORS,AWAY,NEW ORLEANS PELICANS,LOSS,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-07,0,-2,TORONTO RAPTORS,HOME,LOS ANGELES LAKERS,WIN,139,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2022-12-29,6,8,TORONTO RAPTORS,HOME,MEMPHIS GRIZZLIES,LOSS,789,2,4,0,0,2,2,0,2,2,1,0,1,0,6.0
True,2022-12-30,2,-3,TORONTO RAPTORS,HOME,PHOENIX SUNS,WIN,260,1,1,0,0,0,0,0,0,1,1,0,0,0,3.4
True,2023-01-06,0,2,TORONTO RAPTORS,HOME,NEW YORK KNICKS,LOSS,91,0,0,0,0,0,0,1,0,0,0,0,0,1,0.3
True,2023-01-22,0,-7,TORONTO RAPTORS,HOME,NEW YORK KNICKS,WIN,330,0,2,0,0,0,0,0,0,0,0,0,0,0,-1.4
True,2023-01-28,0,1,TORONTO RAPTORS,AWAY,PORTLAND TRAIL BLAZERS,WIN,92,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2023-02-14,0,0,TORONTO RAPTORS,HOME,ORLANDO MAGIC,WIN,579,0,2,0,2,0,0,0,1,0,1,0,1,0,-1.1
True,2023-02-23,5,-1,TORONTO RAPTORS,HOME,NEW ORLEANS PELICANS,WIN,1152,2,4,1,2,0,0,1,0,3,0,0,0,3,4.6
True,2023-02-25,4,0,TORONTO RAPTORS,AWAY,DETROIT PISTONS,WIN,1195,2,5,0,2,0,1,0,1,0,1,0,0,1,1.8
True,2023-02-26,7,-10,TORONTO RAPTORS,AWAY,CLEVELAND CAVALIERS,LOSS,1065,3,7,1,1,0,0,0,1,2,0,0,2,1,2.6
True,2023-03-22,2,-5,TORONTO RAPTORS,HOME,INDIANA PACERS,LOSS,382,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2023-03-24,9,10,TORONTO RAPTORS,HOME,DETROIT PISTONS,WIN,1734,3,7,1,2,2,3,0,3,4,3,0,0,2,10.8
True,2023-03-26,3,14,TORONTO RAPTORS,HOME,WASHINGTON WIZARDS,WIN,1152,1,2,1,1,0,0,0,2,4,0,0,0,0,5.4
True,2023-03-28,2,0,TORONTO RAPTORS,HOME,MIAMI HEAT,WIN,790,1,3,0,2,0,0,0,1,1,1,1,0,0,3.0
True,2023-03-31,0,0,TORONTO RAPTORS,AWAY,PHILADELPHIA 76ERS,LOSS,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-04-02,0,-3,TORONTO RAPTORS,AWAY,CHARLOTTE HORNETS,WIN,625,0,0,0,0,0,0,0,0,4,0,0,0,1,2.4
True,2023-04-04,1,-2,TORONTO RAPTORS,AWAY,CHARLOTTE HORNETS,WIN,744,0,1,0,0,1,2,0,0,1,1,1,0,0,2.3
