active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-22,6,1,TORONTO RAPTORS,AWAY,MIAMI HEAT,LOSS,512,2,4,2,4,0,0,0,0,0,0,0,0,3,2.8
True,2022-10-24,3,-4,TORONTO RAPTORS,AWAY,MIAMI HEAT,WIN,359,1,2,1,1,0,0,0,0,0,0,0,0,0,2.0
True,2022-10-28,0,-5,TORONTO RAPTORS,HOME,PHILADELPHIA 76ERS,LOSS,307,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2022-10-31,4,-6,TORONTO RAPTORS,HOME,ATLANTA HAWKS,WIN,563,2,6,0,2,0,0,1,0,1,1,0,0,2,2.2
True,2022-11-02,8,6,TORONTO RAPTORS,AWAY,SAN ANTONIO SPURS,WIN,592,3,5,2,2,0,0,0,2,2,0,0,0,1,7.3
True,2022-11-07,4,-1,TORONTO RAPTORS,AWAY,CHICAGO BULLS,LOSS,362,1,2,0,1,2,2,0,1,1,1,0,1,0,4.0
True,2022-11-11,12,-3,TORONTO RAPTORS,AWAY,OKLAHOMA CITY THUNDER,LOSS,717,3,7,3,4,3,4,0,2,0,0,0,2,2,5.7
True,2022-11-12,8,10,TORONTO RAPTORS,AWAY,INDIANA PACERS,LOSS,1368,3,9,1,5,1,1,0,2,1,1,1,0,2,5.1
True,2022-11-14,12,8,TORONTO RAPTORS,AWAY,DETROIT PISTONS,WIN,916,3,6,2,4,4,4,0,3,4,0,0,2,2,9.9
True,2022-11-19,17,9,TORONTO RAPTORS,AWAY,ATLANTA HAWKS,LOSS,1693,7,12,3,6,0,0,1,4,3,2,0,1,6,14.0
True,2022-11-23,8,-19,TORONTO RAPTORS,HOME,BROOKLYN NETS,LOSS,1804,3,12,2,3,0,0,0,1,3,1,0,1,2,2.4
True,2022-11-26,0,6,TORONTO RAPTORS,HOME,DALLAS MAVERICKS,WIN,364,0,1,0,1,0,0,0,1,1,0,0,1,0,-0.7
True,2022-11-28,0,-4,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,WIN,112,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2022-11-30,0,0,TORONTO RAPTORS,AWAY,NEW ORLEANS PELICANS,LOSS,157,0,1,0,1,0,0,0,0,2,0,0,0,1,0.3
True,2022-12-03,5,-13,TORONTO RAPTORS,HOME,ORLANDO MAGIC,WIN,375,2,2,1,1,0,0,0,0,0,0,0,1,2,2.6
True,2022-12-07,5,-7,TORONTO RAPTORS,HOME,LOS ANGELES LAKERS,WIN,291,2,4,1,1,0,0,1,0,0,0,0,0,1,3.3
True,2022-12-16,13,3,TORONTO RAPTORS,HOME,BROOKLYN NETS,LOSS,1697,5,11,2,5,1,2,0,1,1,1,0,2,1,6.5
True,2022-12-18,16,-9,TORONTO RAPTORS,HOME,GOLDEN STATE WARRIORS,LOSS,2230,6,16,4,8,0,0,4,2,2,1,0,0,1,12.6
True,2022-12-19,5,-6,TORONTO RAPTORS,AWAY,PHILADELPHIA 76ERS,LOSS,1135,2,7,1,4,0,0,1,0,3,0,0,0,3,2.5
True,2022-12-21,8,16,TORONTO RAPTORS,AWAY,NEW YORK KNICKS,WIN,1551,3,8,2,5,0,0,0,0,2,0,1,0,0,5.7
True,2022-12-23,9,1,TORONTO RAPTORS,AWAY,CLEVELAND CAVALIERS,WIN,1368,3,7,3,6,0,0,0,3,3,1,0,0,1,8.9
True,2022-12-27,10,5,TORONTO RAPTORS,HOME,LOS ANGELES CLIPPERS,LOSS,1553,4,6,2,3,0,0,0,1,0,1,0,1,2,6.9
