active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,0,-8,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,WIN,425,0,0,0,0,0,0,0,1,0,1,0,0,1,0.9
True,2022-10-28,0,-1,TORONTO RAPTORS,HOME,PHILADELPHIA 76ERS,LOSS,194,0,2,0,2,0,0,0,0,0,0,0,1,0,-2.4
True,2022-10-31,0,3,TORONTO RAPTORS,HOME,ATLANTA HAWKS,WIN,312,0,0,0,0,0,0,0,0,1,0,1,0,1,1.0
True,2022-11-02,0,5,TORONTO RAPTORS,AWAY,SAN ANTONIO SPURS,WIN,488,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0
True,2022-11-07,5,-9,TORONTO RAPTORS,AWAY,CHICAGO BULLS,LOSS,634,2,3,1,2,0,0,1,1,1,0,1,0,1,5.7
True,2022-11-11,9,-4,TORONTO RAPTORS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1023,3,4,2,3,1,2,0,4,2,2,0,1,1,10.2
True,2022-11-12,0,-4,TORONTO RAPTORS,AWAY,INDIANA PACERS,LOSS,917,0,1,0,0,0,0,2,6,1,1,0,0,1,3.8
True,2022-11-14,9,11,TORONTO RAPTORS,AWAY,DETROIT PISTONS,WIN,1420,4,8,1,3,0,0,1,5,3,0,0,2,2,6.5
True,2022-11-16,0,17,TORONTO RAPTORS,HOME,MIAMI HEAT,WIN,1355,0,3,0,2,0,0,0,4,1,1,0,1,1,-0.6
True,2022-11-19,10,0,TORONTO RAPTORS,AWAY,ATLANTA HAWKS,LOSS,1918,5,9,0,3,0,1,2,7,0,2,0,1,1,9.4
True,2022-11-23,10,4,TORONTO RAPTORS,HOME,BROOKLYN NETS,LOSS,1969,4,9,1,5,1,2,6,4,0,3,0,2,4,9.7
True,2022-11-26,10,3,TORONTO RAPTORS,HOME,DALLAS MAVERICKS,WIN,1779,4,6,2,4,0,0,0,5,0,0,0,0,3,7.7
True,2022-11-28,5,-1,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,WIN,1225,2,3,1,1,0,0,0,6,0,0,1,0,1,5.8
True,2022-11-30,9,2,TORONTO RAPTORS,AWAY,NEW ORLEANS PELICANS,LOSS,1379,4,6,1,3,0,0,1,2,3,0,0,0,2,9.0
