active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,3,3,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,WIN,922,1,4,0,0,1,2,2,4,0,0,1,1,2,1.7
True,2022-10-21,1,-3,TORONTO RAPTORS,AWAY,BROOKLYN NETS,LOSS,1185,0,2,0,0,1,2,2,0,0,0,1,0,5,-0.7
True,2022-10-22,1,-5,TORONTO RAPTORS,AWAY,MIAMI HEAT,LOSS,738,0,0,0,0,1,2,0,2,0,0,0,0,0,1.2
True,2022-10-24,2,-10,TORONTO RAPTORS,AWAY,MIAMI HEAT,WIN,1057,1,2,0,0,0,0,0,2,2,0,1,0,5,1.7
True,2022-10-26,4,4,TORONTO RAPTORS,HOME,PHILADELPHIA 76ERS,WIN,677,2,2,0,0,0,0,1,3,0,1,1,0,4,5.1
True,2022-10-28,3,3,TORONTO RAPTORS,HOME,PHILADELPHIA 76ERS,LOSS,602,1,1,0,0,1,2,2,0,1,2,0,0,1,6.0
True,2022-10-31,9,23,TORONTO RAPTORS,HOME,ATLANTA HAWKS,WIN,1287,4,7,0,0,1,3,2,3,0,0,3,2,4,5.7
True,2022-11-02,2,30,TORONTO RAPTORS,AWAY,SAN ANTONIO SPURS,WIN,1391,1,4,0,0,0,0,1,5,0,0,1,1,2,0.7
True,2022-11-04,2,-12,TORONTO RAPTORS,AWAY,DALLAS MAVERICKS,LOSS,709,1,2,0,1,0,0,2,0,0,0,1,2,4,-0.5
True,2022-11-06,11,19,TORONTO RAPTORS,HOME,CHICAGO BULLS,WIN,1861,4,8,0,1,3,4,2,5,2,0,6,1,3,12.9
True,2022-11-07,5,4,TORONTO RAPTORS,AWAY,CHICAGO BULLS,LOSS,1263,2,8,0,1,1,2,1,2,1,0,1,2,4,-1.1
True,2022-11-09,5,2,TORONTO RAPTORS,HOME,HOUSTON ROCKETS,WIN,864,1,4,0,0,3,3,1,0,0,0,1,0,5,2.0
True,2022-11-11,2,0,TORONTO RAPTORS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1438,1,4,0,0,0,0,3,1,1,1,0,1,3,1.5
True,2022-11-12,2,1,TORONTO RAPTORS,AWAY,INDIANA PACERS,LOSS,333,1,1,0,0,0,0,1,1,0,0,0,0,0,2.7
True,2022-11-14,8,2,TORONTO RAPTORS,AWAY,DETROIT PISTONS,WIN,1018,2,2,0,0,4,4,2,0,1,0,1,1,2,8.4
True,2022-11-16,4,4,TORONTO RAPTORS,HOME,MIAMI HEAT,WIN,780,2,2,0,0,0,0,1,0,0,0,1,0,3,3.6
True,2022-11-19,7,5,TORONTO RAPTORS,AWAY,ATLANTA HAWKS,LOSS,1818,2,4,0,1,3,6,7,4,1,0,4,0,5,11.4
True,2022-11-23,4,-17,TORONTO RAPTORS,HOME,BROOKLYN NETS,LOSS,1068,1,3,0,0,2,4,4,1,0,0,1,1,2,3.5
True,2022-11-26,0,2,TORONTO RAPTORS,HOME,DALLAS MAVERICKS,WIN,298,0,1,0,0,0,0,1,0,0,0,0,0,3,-1.2
True,2022-11-28,2,1,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,WIN,429,0,0,0,0,2,2,0,1,0,0,0,0,2,1.5
True,2022-11-30,6,-8,TORONTO RAPTORS,AWAY,NEW ORLEANS PELICANS,LOSS,1053,3,3,0,0,0,0,0,2,0,0,2,0,1,6.7
True,2022-12-02,5,-8,TORONTO RAPTORS,AWAY,BROOKLYN NETS,LOSS,1345,2,8,0,2,1,1,4,5,0,1,1,1,0,5.2
True,2022-12-03,6,28,TORONTO RAPTORS,HOME,ORLANDO MAGIC,WIN,1083,3,5,0,0,0,0,2,3,0,0,1,0,3,5.5
True,2022-12-05,5,-7,TORONTO RAPTORS,HOME,BOSTON CELTICS,LOSS,1326,1,1,0,0,3,4,1,2,2,0,1,1,3,5.5
True,2022-12-07,1,9,TORONTO RAPTORS,HOME,LOS ANGELES LAKERS,WIN,1298,0,3,0,1,1,2,2,2,0,1,4,0,6,1.9
True,2022-12-09,0,-13,TORONTO RAPTORS,AWAY,ORLANDO MAGIC,LOSS,754,0,1,0,0,0,0,0,0,1,0,1,0,1,0.3
True,2022-12-11,2,-3,TORONTO RAPTORS,AWAY,ORLANDO MAGIC,LOSS,395,1,1,0,0,0,0,0,1,0,1,2,0,3,3.2
True,2022-12-14,4,9,TORONTO RAPTORS,HOME,SACRAMENTO KINGS,LOSS,781,2,4,0,0,0,0,3,1,1,1,1,0,0,6.8
True,2022-12-16,4,6,TORONTO RAPTORS,HOME,BROOKLYN NETS,LOSS,1242,1,4,0,0,2,2,2,1,2,0,0,0,2,3.9
True,2022-12-18,3,-2,TORONTO RAPTORS,HOME,GOLDEN STATE WARRIORS,LOSS,1205,1,1,0,0,1,2,1,2,0,0,1,2,4,0.7
True,2022-12-21,0,7,TORONTO RAPTORS,AWAY,NEW YORK KNICKS,WIN,330,0,1,0,0,0,0,0,1,0,0,1,0,0,0.3
True,2022-12-27,4,1,TORONTO RAPTORS,HOME,LOS ANGELES CLIPPERS,LOSS,559,1,1,0,0,2,2,3,0,0,1,0,0,1,6.4
True,2022-12-29,4,-7,TORONTO RAPTORS,HOME,MEMPHIS GRIZZLIES,LOSS,757,2,3,0,0,0,0,1,1,1,0,2,1,1,4.4
True,2022-12-30,8,22,TORONTO RAPTORS,HOME,PHOENIX SUNS,WIN,1277,3,3,1,1,1,2,1,3,0,1,0,0,5,7.3
True,2023-01-02,2,-4,TORONTO RAPTORS,AWAY,INDIANA PACERS,LOSS,655,1,1,0,0,0,0,2,2,0,0,2,0,3,3.9
True,2023-01-06,4,-8,TORONTO RAPTORS,HOME,NEW YORK KNICKS,LOSS,767,2,2,0,0,0,0,1,2,0,0,1,0,3,4.2
True,2023-01-08,8,20,TORONTO RAPTORS,HOME,PORTLAND TRAIL BLAZERS,WIN,798,4,5,0,0,0,0,2,2,2,0,0,0,5,7.5
