active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,23,-1,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,WIN,2043,9,20,1,3,4,8,3,8,1,3,0,4,6,12.8
True,2022-10-21,37,2,TORONTO RAPTORS,AWAY,BROOKLYN NETS,LOSS,2208,15,21,2,6,5,9,2,10,11,0,0,3,4,34.2
True,2022-10-22,23,-5,TORONTO RAPTORS,AWAY,MIAMI HEAT,LOSS,2411,8,19,0,2,7,8,1,7,9,1,1,1,4,20.7
True,2022-10-24,23,10,TORONTO RAPTORS,AWAY,MIAMI HEAT,WIN,2507,7,22,2,6,7,8,0,9,6,2,2,5,1,14.9
True,2022-10-26,20,7,TORONTO RAPTORS,HOME,PHILADELPHIA 76ERS,WIN,2280,7,16,4,8,2,4,0,5,13,0,0,1,1,20.0
True,2022-10-28,26,-7,TORONTO RAPTORS,HOME,PHILADELPHIA 76ERS,LOSS,2147,9,15,1,3,7,9,2,8,6,0,0,5,3,20.1
True,2022-10-31,31,30,TORONTO RAPTORS,HOME,ATLANTA HAWKS,WIN,2109,8,21,2,3,13,16,3,9,6,0,2,0,3,27.5
True,2022-11-02,22,26,TORONTO RAPTORS,AWAY,SAN ANTONIO SPURS,WIN,1654,10,19,1,5,1,1,1,9,11,1,0,3,3,20.6
True,2022-11-04,18,-7,TORONTO RAPTORS,AWAY,DALLAS MAVERICKS,LOSS,1875,7,14,0,2,4,6,4,3,6,1,0,2,3,15.9
True,2022-11-28,18,5,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,WIN,1811,7,14,1,3,3,4,1,10,5,0,0,2,4,14.2
True,2022-11-30,23,-12,TORONTO RAPTORS,AWAY,NEW ORLEANS PELICANS,LOSS,2019,9,16,1,2,4,5,2,4,4,2,2,5,3,17.6
True,2022-12-02,24,-5,TORONTO RAPTORS,AWAY,BROOKLYN NETS,LOSS,1931,7,15,1,2,9,11,1,6,4,1,0,0,5,19.8
True,2022-12-03,26,25,TORONTO RAPTORS,HOME,ORLANDO MAGIC,WIN,1837,9,15,1,4,7,7,2,6,10,3,0,1,1,30.9
True,2022-12-05,29,-9,TORONTO RAPTORS,HOME,BOSTON CELTICS,LOSS,2321,9,20,2,4,9,13,2,6,7,0,0,2,4,21.5
True,2022-12-07,25,22,TORONTO RAPTORS,HOME,LOS ANGELES LAKERS,WIN,1946,10,20,1,4,4,5,2,8,7,2,0,2,4,21.7
True,2022-12-09,36,12,TORONTO RAPTORS,AWAY,ORLANDO MAGIC,LOSS,2305,13,27,2,9,8,9,3,6,7,1,1,1,2,30.6
True,2022-12-11,19,-4,TORONTO RAPTORS,AWAY,ORLANDO MAGIC,LOSS,2260,6,16,0,4,7,9,1,5,7,1,1,4,4,12.6
True,2022-12-14,19,-5,TORONTO RAPTORS,HOME,SACRAMENTO KINGS,LOSS,2551,7,19,1,1,4,6,1,3,6,0,0,1,4,10.9
