active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,15,7,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,WIN,2321,4,9,3,6,4,4,1,1,5,4,0,1,3,16.6
True,2022-10-21,18,3,TORONTO RAPTORS,AWAY,BROOKLYN NETS,LOSS,2275,7,11,4,6,0,0,1,6,9,4,1,0,3,25.4
True,2022-10-22,7,6,TORONTO RAPTORS,AWAY,MIAMI HEAT,LOSS,2329,2,9,1,6,2,2,1,1,10,3,0,1,5,9.5
True,2022-10-24,24,13,TORONTO RAPTORS,AWAY,MIAMI HEAT,WIN,2353,6,16,4,6,8,9,2,2,9,1,0,2,1,21.7
True,2022-10-26,15,8,TORONTO RAPTORS,HOME,PHILADELPHIA 76ERS,WIN,2330,5,12,2,5,3,3,0,6,8,2,3,2,1,17.7
True,2022-10-28,1,-19,TORONTO RAPTORS,HOME,PHILADELPHIA 76ERS,LOSS,2053,0,11,0,8,1,3,1,2,5,1,0,1,3,-3.9
True,2022-11-06,30,27,TORONTO RAPTORS,HOME,CHICAGO BULLS,WIN,2360,9,22,5,13,7,7,0,5,11,0,0,1,1,26.0
True,2022-11-07,27,-8,TORONTO RAPTORS,AWAY,CHICAGO BULLS,LOSS,2062,10,19,6,10,1,1,0,3,4,2,2,2,1,22.4
True,2022-11-09,32,-1,TORONTO RAPTORS,HOME,HOUSTON ROCKETS,WIN,2107,12,26,7,16,1,1,0,3,4,4,1,1,3,24.8
True,2022-11-11,15,-22,TORONTO RAPTORS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1715,5,12,3,7,2,5,0,2,3,2,0,3,3,7.9
True,2022-11-16,23,10,TORONTO RAPTORS,HOME,MIAMI HEAT,WIN,2356,7,21,3,10,6,7,0,1,8,0,0,3,5,11.6
True,2022-11-19,15,-16,TORONTO RAPTORS,AWAY,ATLANTA HAWKS,LOSS,2667,4,18,1,11,6,6,1,1,5,0,0,2,3,5.3
True,2022-11-26,26,12,TORONTO RAPTORS,HOME,DALLAS MAVERICKS,WIN,2458,7,18,3,9,9,10,1,5,7,1,0,3,2,20.1
True,2022-11-28,13,24,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,WIN,1949,5,15,3,6,0,0,0,2,5,1,0,2,2,6.8
True,2022-11-30,2,-23,TORONTO RAPTORS,AWAY,NEW ORLEANS PELICANS,LOSS,1210,1,8,0,7,0,0,0,6,6,1,0,2,2,1.0
True,2022-12-02,10,-6,TORONTO RAPTORS,AWAY,BROOKLYN NETS,LOSS,2474,4,14,1,7,1,2,0,1,6,1,0,2,5,2.9
True,2022-12-03,13,20,TORONTO RAPTORS,HOME,ORLANDO MAGIC,WIN,2226,4,11,3,8,2,3,0,2,7,3,0,4,4,9.4
True,2022-12-05,8,-12,TORONTO RAPTORS,HOME,BOSTON CELTICS,LOSS,2289,3,14,1,6,1,1,1,6,3,0,2,1,3,3.2
True,2022-12-07,25,19,TORONTO RAPTORS,HOME,LOS ANGELES LAKERS,WIN,1793,8,20,3,12,6,6,1,3,7,0,0,3,1,17.3
True,2022-12-09,19,-15,TORONTO RAPTORS,AWAY,ORLANDO MAGIC,LOSS,2236,5,14,2,9,7,9,0,2,6,1,1,2,0,14.9
True,2022-12-11,20,-5,TORONTO RAPTORS,AWAY,ORLANDO MAGIC,LOSS,2538,4,11,2,7,10,12,1,3,7,4,0,1,4,21.0
True,2022-12-14,39,8,TORONTO RAPTORS,HOME,SACRAMENTO KINGS,LOSS,2290,13,25,2,8,11,11,0,8,5,4,1,2,4,33.7
True,2022-12-16,39,-1,TORONTO RAPTORS,HOME,BROOKLYN NETS,LOSS,2589,14,24,4,9,7,8,0,5,4,1,1,2,4,29.8
True,2022-12-18,22,-27,TORONTO RAPTORS,HOME,GOLDEN STATE WARRIORS,LOSS,2080,7,18,4,10,4,4,0,4,8,1,0,2,4,16.4
True,2022-12-19,9,6,TORONTO RAPTORS,AWAY,PHILADELPHIA 76ERS,LOSS,2463,3,15,2,11,1,1,1,5,3,0,1,2,2,1.9
True,2022-12-21,28,-5,TORONTO RAPTORS,AWAY,NEW YORK KNICKS,WIN,2414,10,24,4,10,4,4,0,1,4,3,1,2,3,18.8
True,2022-12-23,18,15,TORONTO RAPTORS,AWAY,CLEVELAND CAVALIERS,WIN,2321,5,12,5,10,3,3,1,7,4,1,1,2,2,16.1
True,2022-12-27,4,-11,TORONTO RAPTORS,HOME,LOS ANGELES CLIPPERS,LOSS,1364,2,6,0,3,0,0,0,2,7,1,0,1,1,5.7
True,2023-01-02,9,1,TORONTO RAPTORS,AWAY,INDIANA PACERS,LOSS,2187,3,15,3,12,0,0,0,2,3,0,2,1,4,1.2
True,2023-01-04,28,6,TORONTO RAPTORS,HOME,MILWAUKEE BUCKS,LOSS,2810,8,23,4,14,8,8,2,6,12,3,0,1,4,27.1
True,2023-01-06,28,10,TORONTO RAPTORS,HOME,NEW YORK KNICKS,LOSS,2445,9,21,3,9,7,9,0,8,7,2,1,1,3,23.9
