active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,3,-14,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,WIN,647,1,3,1,2,0,0,0,0,0,1,0,0,0,2.3
True,2022-10-21,0,4,TORONTO RAPTORS,AWAY,BROOKLYN NETS,LOSS,359,0,1,0,1,0,0,0,1,1,0,0,0,0,0.3
True,2022-10-22,4,-15,TORONTO RAPTORS,AWAY,MIAMI HEAT,LOSS,635,2,3,0,1,0,0,1,1,0,2,0,1,4,3.1
True,2022-10-28,0,-3,TORONTO RAPTORS,HOME,PHILADELPHIA 76ERS,LOSS,295,0,1,0,1,0,0,0,2,0,0,0,0,0,-0.1
True,2022-11-02,5,5,TORONTO RAPTORS,AWAY,SAN ANTONIO SPURS,WIN,488,2,4,0,0,1,2,1,1,2,2,0,0,0,7.0
True,2022-11-04,2,0,TORONTO RAPTORS,AWAY,DALLAS MAVERICKS,LOSS,230,1,1,0,0,0,0,0,0,0,0,0,1,2,-0.1
True,2022-11-06,4,25,TORONTO RAPTORS,HOME,CHICAGO BULLS,WIN,933,2,5,0,1,0,0,4,4,2,1,0,0,0,7.7
True,2022-11-07,0,-5,TORONTO RAPTORS,AWAY,CHICAGO BULLS,LOSS,624,0,0,0,0,0,0,0,0,3,0,0,1,1,0.7
True,2022-11-09,0,21,TORONTO RAPTORS,HOME,HOUSTON ROCKETS,WIN,1604,0,3,0,0,0,0,3,5,2,1,1,1,0,3.6
True,2022-11-11,4,-10,TORONTO RAPTORS,AWAY,OKLAHOMA CITY THUNDER,LOSS,555,1,1,0,0,2,2,2,0,2,0,0,0,1,6.1
True,2022-11-12,15,-13,TORONTO RAPTORS,AWAY,INDIANA PACERS,LOSS,2041,6,10,0,2,3,4,2,3,1,3,0,2,4,12.4
True,2022-11-14,6,5,TORONTO RAPTORS,AWAY,DETROIT PISTONS,WIN,1560,2,4,0,1,2,2,4,2,4,2,1,0,4,11.3
True,2022-11-16,12,2,TORONTO RAPTORS,HOME,MIAMI HEAT,WIN,1671,6,9,0,0,0,0,5,3,2,0,0,2,4,10.3
True,2022-11-19,18,-6,TORONTO RAPTORS,AWAY,ATLANTA HAWKS,LOSS,2102,9,12,0,2,0,0,3,6,4,4,0,1,3,21.7
True,2022-11-23,12,-13,TORONTO RAPTORS,HOME,BROOKLYN NETS,LOSS,1660,6,10,0,2,0,0,3,5,5,2,0,1,1,15.1
True,2022-11-26,4,4,TORONTO RAPTORS,HOME,DALLAS MAVERICKS,WIN,1637,1,6,0,0,2,2,4,2,4,2,0,3,5,3.4
True,2022-11-28,10,13,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,WIN,1573,4,7,0,0,2,2,1,6,3,0,0,1,0,10.3
True,2022-11-30,2,-8,TORONTO RAPTORS,AWAY,NEW ORLEANS PELICANS,LOSS,889,1,2,0,0,0,0,0,1,1,1,0,0,1,2.6
True,2022-12-02,2,-4,TORONTO RAPTORS,AWAY,BROOKLYN NETS,LOSS,243,1,1,0,0,0,0,0,1,0,0,0,1,1,0.6
True,2022-12-03,6,-16,TORONTO RAPTORS,HOME,ORLANDO MAGIC,WIN,865,3,5,0,0,0,0,1,1,1,0,0,2,3,2.2
True,2022-12-05,6,0,TORONTO RAPTORS,HOME,BOSTON CELTICS,LOSS,941,2,6,2,2,0,0,4,2,2,0,0,1,1,6.0
True,2022-12-07,0,8,TORONTO RAPTORS,HOME,LOS ANGELES LAKERS,WIN,1135,0,1,0,1,0,0,2,0,4,3,0,0,4,4.9
True,2022-12-09,5,-7,TORONTO RAPTORS,AWAY,ORLANDO MAGIC,LOSS,703,2,3,1,1,0,0,0,2,2,1,0,0,1,6.3
True,2022-12-11,2,-8,TORONTO RAPTORS,AWAY,ORLANDO MAGIC,LOSS,972,1,2,0,1,0,0,1,2,2,0,1,0,3,3.2
True,2022-12-14,6,-2,TORONTO RAPTORS,HOME,SACRAMENTO KINGS,LOSS,1657,3,5,0,0,0,0,2,1,1,1,0,1,2,5.3
True,2022-12-16,4,-1,TORONTO RAPTORS,HOME,BROOKLYN NETS,LOSS,817,2,4,0,0,0,0,2,2,1,0,0,0,0,4.7
True,2022-12-18,7,5,TORONTO RAPTORS,HOME,GOLDEN STATE WARRIORS,LOSS,1040,3,4,0,1,1,2,0,2,0,3,0,2,2,5.8
True,2022-12-19,8,3,TORONTO RAPTORS,AWAY,PHILADELPHIA 76ERS,LOSS,1164,4,7,0,2,0,0,3,2,2,0,0,1,4,6.2
True,2022-12-21,2,11,TORONTO RAPTORS,AWAY,NEW YORK KNICKS,WIN,1434,1,3,0,1,0,0,3,4,0,3,0,0,3,5.4
True,2022-12-23,3,2,TORONTO RAPTORS,AWAY,CLEVELAND CAVALIERS,WIN,946,1,2,0,0,1,2,1,1,1,0,0,2,4,-0.3
True,2022-12-27,4,-5,TORONTO RAPTORS,HOME,LOS ANGELES CLIPPERS,LOSS,611,2,2,0,0,0,0,1,0,1,0,0,0,2,4.0
True,2022-12-30,8,-15,TORONTO RAPTORS,HOME,PHOENIX SUNS,WIN,1409,4,7,0,0,0,1,1,3,2,4,0,2,1,8.9
True,2023-01-02,2,-14,TORONTO RAPTORS,AWAY,INDIANA PACERS,LOSS,490,1,1,0,0,0,0,1,0,1,1,0,0,1,3.7
True,2023-01-06,0,4,TORONTO RAPTORS,HOME,NEW YORK KNICKS,LOSS,255,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2023-01-08,4,-4,TORONTO RAPTORS,HOME,PORTLAND TRAIL BLAZERS,WIN,566,2,5,0,1,0,0,2,4,1,0,1,0,1,4.9
True,2023-01-19,4,4,TORONTO RAPTORS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,428,2,2,0,0,0,0,1,3,0,0,0,1,2,3.2
True,2023-01-21,8,-12,TORONTO RAPTORS,HOME,BOSTON CELTICS,LOSS,1433,4,6,0,1,0,0,1,2,1,2,0,1,2,7.6
True,2023-01-22,4,7,TORONTO RAPTORS,HOME,NEW YORK KNICKS,WIN,875,2,3,0,1,0,0,0,3,1,1,0,2,1,2.9
True,2023-01-27,2,-12,TORONTO RAPTORS,AWAY,GOLDEN STATE WARRIORS,LOSS,571,1,2,0,1,0,0,1,1,1,1,0,0,1,3.3
