active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,0,4,UTAH JAZZ,HOME,DENVER NUGGETS,WIN,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-10-28,9,-6,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,1140,4,7,0,3,1,2,0,1,0,0,0,0,2,4.8
True,2022-10-29,7,-12,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,WIN,1065,2,6,0,2,3,5,3,1,1,0,0,0,0,5.9
True,2022-10-31,4,6,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,WIN,1269,2,6,0,1,0,0,1,2,0,0,0,0,3,0.7
True,2022-11-04,0,2,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,WIN,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-07,0,0,UTAH JAZZ,HOME,LOS ANGELES LAKERS,WIN,389,0,0,0,0,0,0,0,2,0,0,0,0,1,0.2
True,2022-11-30,0,-2,UTAH JAZZ,HOME,LOS ANGELES CLIPPERS,WIN,111,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2022-12-02,5,0,UTAH JAZZ,HOME,INDIANA PACERS,WIN,209,2,2,1,1,0,0,0,0,0,1,0,0,1,5.0
True,2022-12-07,0,4,UTAH JAZZ,HOME,GOLDEN STATE WARRIORS,WIN,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-09,5,-4,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,LOSS,720,2,2,1,1,0,0,1,2,0,0,0,0,1,5.3
True,2022-12-10,6,2,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,1176,2,8,2,5,0,0,1,1,0,0,0,0,2,1.4
True,2022-12-13,0,-4,UTAH JAZZ,HOME,NEW ORLEANS PELICANS,WIN,230,0,1,0,1,0,0,0,0,0,0,0,0,1,-1.1
True,2022-12-17,4,-4,UTAH JAZZ,AWAY,MILWAUKEE BUCKS,LOSS,441,2,5,0,3,0,2,0,1,1,0,0,0,0,1.5
True,2022-12-19,0,-2,UTAH JAZZ,AWAY,CLEVELAND CAVALIERS,LOSS,375,0,2,0,1,0,0,0,0,1,0,0,0,1,-1.1
True,2022-12-20,3,-6,UTAH JAZZ,AWAY,DETROIT PISTONS,WIN,159,1,2,1,2,0,0,0,0,0,0,0,0,0,2.0
