active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,2,4,UTAH JAZZ,HOME,DENVER NUGGETS,WIN,55,1,1,0,0,0,0,0,0,1,0,0,0,0,2.4
True,2022-10-24,0,-2,UTAH JAZZ,AWAY,HOUSTON ROCKETS,LOSS,313,0,1,0,0,0,0,0,0,1,0,0,0,1,-0.4
True,2022-10-28,7,9,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,509,2,5,1,3,2,2,0,0,4,1,1,0,0,8.8
True,2022-10-29,11,3,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,WIN,1250,4,8,2,5,1,2,0,2,3,2,1,1,4,9.4
True,2022-10-31,0,-1,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,WIN,197,0,1,0,1,0,0,0,1,0,1,0,1,1,-0.8
True,2022-11-04,6,10,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,WIN,467,2,4,1,2,1,1,0,1,0,0,0,1,1,2.9
True,2022-11-06,0,2,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,WIN,524,0,2,0,1,0,0,0,2,0,0,0,1,2,-2.6
True,2022-11-07,0,-6,UTAH JAZZ,HOME,LOS ANGELES LAKERS,WIN,720,0,5,0,1,0,0,0,0,1,1,1,1,2,-2.9
True,2022-11-12,0,3,UTAH JAZZ,AWAY,WASHINGTON WIZARDS,LOSS,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-21,2,-14,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,562,0,0,0,0,2,2,0,1,1,0,0,3,1,-0.4
True,2022-11-25,8,2,UTAH JAZZ,AWAY,GOLDEN STATE WARRIORS,LOSS,1811,3,11,0,6,2,2,3,2,6,3,1,1,3,9.9
True,2022-11-26,12,-12,UTAH JAZZ,AWAY,PHOENIX SUNS,LOSS,962,4,5,4,4,0,0,0,0,0,0,0,1,2,8.3
