active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-28,4,9,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,509,2,3,0,0,0,0,0,2,0,2,1,1,0,5.0
True,2022-10-31,0,-1,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,WIN,197,0,0,0,0,0,0,0,3,0,0,0,0,1,0.5
True,2022-11-04,0,2,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,WIN,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-07,4,2,UTAH JAZZ,HOME,LOS ANGELES LAKERS,WIN,257,2,2,0,0,0,0,2,1,1,0,1,0,0,6.5
True,2022-11-12,2,3,UTAH JAZZ,AWAY,WASHINGTON WIZARDS,LOSS,148,1,1,0,0,0,0,0,1,0,0,0,1,0,1.0
True,2022-11-23,0,-4,UTAH JAZZ,HOME,DETROIT PISTONS,LOSS,77,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7
True,2022-11-28,2,5,UTAH JAZZ,HOME,CHICAGO BULLS,LOSS,565,1,1,0,0,0,4,1,4,0,0,0,0,1,1.6
True,2022-11-30,0,-2,UTAH JAZZ,HOME,LOS ANGELES CLIPPERS,WIN,111,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2022-12-02,4,5,UTAH JAZZ,HOME,INDIANA PACERS,WIN,164,1,1,0,0,2,2,0,1,1,0,0,0,0,4.7
True,2022-12-13,0,-4,UTAH JAZZ,HOME,NEW ORLEANS PELICANS,WIN,230,0,0,0,0,0,0,1,0,0,0,1,0,1,1.0
True,2022-12-15,4,-2,UTAH JAZZ,HOME,NEW ORLEANS PELICANS,WIN,183,2,2,0,0,0,0,1,0,0,0,0,1,0,3.1
True,2022-12-17,0,-6,UTAH JAZZ,AWAY,MILWAUKEE BUCKS,LOSS,323,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2022-12-19,4,-2,UTAH JAZZ,AWAY,CLEVELAND CAVALIERS,LOSS,375,2,3,0,0,0,0,2,2,1,0,0,0,1,5.0
True,2022-12-20,2,-2,UTAH JAZZ,AWAY,DETROIT PISTONS,WIN,393,1,1,0,0,0,0,1,2,1,0,0,0,0,3.7
True,2022-12-22,0,-8,UTAH JAZZ,HOME,WASHINGTON WIZARDS,WIN,166,0,0,0,0,0,0,1,0,0,0,0,0,1,0.3
True,2023-01-18,0,4,UTAH JAZZ,HOME,LOS ANGELES CLIPPERS,WIN,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-01-23,0,-7,UTAH JAZZ,HOME,CHARLOTTE HORNETS,WIN,257,0,1,0,0,0,0,0,0,0,0,1,1,2,-1.8
True,2023-01-25,4,2,UTAH JAZZ,AWAY,PORTLAND TRAIL BLAZERS,LOSS,53,2,2,0,0,0,0,0,0,0,0,0,0,0,3.4
True,2023-02-06,0,6,UTAH JAZZ,HOME,DALLAS MAVERICKS,LOSS,527,0,0,0,0,0,0,0,2,0,0,0,0,1,0.2
True,2023-02-08,4,-4,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,LOSS,907,2,2,0,0,0,0,0,5,0,0,0,1,1,3.5
True,2023-02-10,6,2,UTAH JAZZ,AWAY,TORONTO RAPTORS,WIN,932,3,3,0,0,0,0,0,4,0,1,1,2,2,5.2
True,2023-02-11,0,-4,UTAH JAZZ,AWAY,NEW YORK KNICKS,LOSS,579,0,0,0,0,0,0,0,2,1,0,1,0,0,2.0
True,2023-02-13,4,2,UTAH JAZZ,AWAY,INDIANA PACERS,WIN,769,2,2,0,0,0,0,2,7,0,0,0,2,0,4.9
True,2023-02-15,0,-15,UTAH JAZZ,AWAY,MEMPHIS GRIZZLIES,LOSS,222,0,0,0,0,0,0,1,0,0,0,0,1,1,-0.7
True,2023-02-25,4,2,UTAH JAZZ,HOME,SAN ANTONIO SPURS,WIN,503,2,3,0,0,0,0,2,2,0,1,0,0,1,5.3
True,2023-02-28,2,-6,UTAH JAZZ,HOME,SAN ANTONIO SPURS,LOSS,511,1,2,0,0,0,2,1,1,0,0,1,0,1,1.5
True,2023-03-20,13,1,UTAH JAZZ,HOME,SACRAMENTO KINGS,WIN,1078,6,6,0,0,1,2,2,6,1,1,1,1,2,14.6
True,2023-03-22,5,7,UTAH JAZZ,HOME,PORTLAND TRAIL BLAZERS,LOSS,865,2,3,0,0,1,2,1,1,0,0,2,2,4,2.1
True,2023-03-24,9,-15,UTAH JAZZ,HOME,MILWAUKEE BUCKS,LOSS,1282,4,7,0,0,1,4,2,7,0,1,2,0,0,10.4
True,2023-03-25,2,-4,UTAH JAZZ,AWAY,SACRAMENTO KINGS,LOSS,622,1,2,0,0,0,0,3,3,1,0,0,1,0,3.7
True,2023-03-29,12,-8,UTAH JAZZ,AWAY,SAN ANTONIO SPURS,WIN,1435,6,6,0,0,0,0,1,4,1,0,0,2,3,9.6
True,2023-04-02,0,-13,UTAH JAZZ,AWAY,BROOKLYN NETS,LOSS,843,0,0,0,0,0,0,0,4,0,0,0,0,2,0.4
True,2023-04-04,2,-6,UTAH JAZZ,HOME,LOS ANGELES LAKERS,LOSS,1254,1,1,0,0,0,0,0,5,0,0,0,0,4,1.6
True,2023-04-06,12,-14,UTAH JAZZ,HOME,OKLAHOMA CITY THUNDER,LOSS,1507,6,8,0,0,0,0,2,5,0,0,1,1,1,11.0
True,2023-04-08,8,12,UTAH JAZZ,HOME,DENVER NUGGETS,WIN,1825,3,4,0,0,2,3,2,9,1,0,1,1,2,9.7
True,2023-04-09,12,-20,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,LOSS,1592,6,6,0,0,0,1,2,4,1,0,1,0,2,13.0
