active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2023-02-23,11,-11,UTAH JAZZ,HOME,OKLAHOMA CITY THUNDER,WIN,1003,5,10,1,4,0,0,0,1,1,2,0,1,3,6.8
True,2023-02-25,15,2,UTAH JAZZ,HOME,SAN ANTONIO SPURS,WIN,1401,7,13,1,3,0,2,3,4,8,1,1,0,3,17.3
True,2023-02-28,11,-24,UTAH JAZZ,HOME,SAN ANTONIO SPURS,LOSS,1557,4,7,0,0,3,3,1,0,3,2,0,1,2,10.7
True,2023-03-03,11,-24,UTAH JAZZ,AWAY,OKLAHOMA CITY THUNDER,LOSS,1396,5,10,1,3,0,0,0,6,6,3,1,2,1,13.3
True,2023-03-05,17,6,UTAH JAZZ,AWAY,OKLAHOMA CITY THUNDER,LOSS,1627,7,11,3,4,0,0,0,2,3,1,1,2,5,12.5
True,2023-03-07,11,6,UTAH JAZZ,AWAY,DALLAS MAVERICKS,LOSS,1438,4,8,1,2,2,2,0,8,5,1,0,2,4,10.3
True,2023-03-09,12,3,UTAH JAZZ,AWAY,ORLANDO MAGIC,WIN,1382,5,9,0,1,2,2,1,8,4,3,1,2,4,13.7
True,2023-03-11,7,-9,UTAH JAZZ,AWAY,CHARLOTTE HORNETS,WIN,931,3,8,0,2,1,1,1,2,5,1,1,2,1,6.7
True,2023-03-13,9,7,UTAH JAZZ,AWAY,MIAMI HEAT,LOSS,1245,3,5,0,0,3,4,0,6,8,0,0,2,4,10.1
True,2023-03-18,7,-10,UTAH JAZZ,HOME,BOSTON CELTICS,WIN,1219,2,7,1,1,2,2,0,2,6,0,0,1,1,6.3
True,2023-03-20,18,11,UTAH JAZZ,HOME,SACRAMENTO KINGS,WIN,1873,7,12,2,2,2,2,0,2,10,1,1,0,5,19.7
True,2023-03-22,15,-9,UTAH JAZZ,HOME,PORTLAND TRAIL BLAZERS,LOSS,1385,5,11,0,1,5,7,0,6,3,1,0,1,1,12.0
True,2023-03-24,2,-2,UTAH JAZZ,HOME,MILWAUKEE BUCKS,LOSS,1634,1,8,0,3,0,0,0,2,6,0,0,1,3,-0.6
True,2023-03-25,12,2,UTAH JAZZ,AWAY,SACRAMENTO KINGS,LOSS,1546,5,11,1,2,1,3,0,4,5,0,0,3,1,6.8
True,2023-03-27,9,-14,UTAH JAZZ,HOME,PHOENIX SUNS,LOSS,1348,4,6,0,0,1,2,1,2,5,0,0,0,1,10.4
True,2023-03-29,17,-2,UTAH JAZZ,AWAY,SAN ANTONIO SPURS,WIN,1708,6,11,1,1,4,5,1,3,5,2,0,2,2,15.6
True,2023-03-31,16,-7,UTAH JAZZ,AWAY,BOSTON CELTICS,LOSS,1384,8,13,0,0,0,1,0,4,4,0,2,2,2,12.3
True,2023-04-02,13,2,UTAH JAZZ,AWAY,BROOKLYN NETS,LOSS,1668,5,7,1,1,2,3,0,1,3,1,1,1,2,12.0
True,2023-04-04,10,2,UTAH JAZZ,HOME,LOS ANGELES LAKERS,LOSS,1595,4,8,0,1,2,2,0,4,4,1,0,1,5,8.0
True,2023-04-06,22,1,UTAH JAZZ,HOME,OKLAHOMA CITY THUNDER,LOSS,2080,9,10,2,2,2,2,0,7,8,1,0,3,4,22.7
True,2023-04-08,19,20,UTAH JAZZ,HOME,DENVER NUGGETS,WIN,2216,6,13,0,0,7,8,1,7,14,3,1,3,2,24.4
True,2023-04-09,26,-12,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,LOSS,2416,11,18,2,3,2,2,0,10,8,1,0,3,2,23.6
