active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,0,4,UTAH JAZZ,HOME,DENVER NUGGETS,WIN,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-10-23,0,0,UTAH JAZZ,AWAY,NEW ORLEANS PELICANS,WIN,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-10-24,13,-4,UTAH JAZZ,AWAY,HOUSTON ROCKETS,LOSS,944,5,9,3,5,0,0,2,1,0,0,0,2,4,6.8
True,2022-10-26,0,-6,UTAH JAZZ,HOME,HOUSTON ROCKETS,WIN,361,0,2,0,2,0,0,0,1,0,0,0,0,0,-1.1
True,2022-11-04,0,2,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,WIN,77,0,1,0,1,0,0,0,1,0,0,0,0,0,-0.4
True,2022-11-07,2,-2,UTAH JAZZ,HOME,LOS ANGELES LAKERS,WIN,302,1,4,0,3,0,0,0,1,0,1,0,1,1,-0.5
True,2022-11-12,0,3,UTAH JAZZ,AWAY,WASHINGTON WIZARDS,LOSS,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-15,9,-19,UTAH JAZZ,HOME,NEW YORK KNICKS,LOSS,1007,3,6,3,5,0,0,2,2,2,0,1,1,0,9.1
True,2022-11-18,4,-7,UTAH JAZZ,HOME,PHOENIX SUNS,WIN,572,1,1,1,1,1,2,0,1,0,0,1,0,1,3.9
True,2022-11-19,3,5,UTAH JAZZ,AWAY,PORTLAND TRAIL BLAZERS,WIN,728,1,5,1,4,0,0,0,0,1,1,0,0,1,1.2
True,2022-11-21,2,-6,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,413,1,4,0,3,0,0,0,1,0,0,1,0,0,0.6
True,2022-11-23,10,-6,UTAH JAZZ,HOME,DETROIT PISTONS,LOSS,695,2,5,2,3,4,5,0,2,0,0,0,1,1,6.1
True,2022-11-30,3,-10,UTAH JAZZ,HOME,LOS ANGELES CLIPPERS,WIN,662,1,3,1,2,0,0,1,0,1,0,0,0,0,2.7
True,2022-12-02,9,-2,UTAH JAZZ,HOME,INDIANA PACERS,WIN,1279,3,5,3,4,0,0,0,1,1,0,0,2,3,4.5
True,2022-12-03,3,0,UTAH JAZZ,HOME,PORTLAND TRAIL BLAZERS,LOSS,725,1,4,0,2,1,2,2,0,1,0,0,1,2,0.5
True,2022-12-07,18,4,UTAH JAZZ,HOME,GOLDEN STATE WARRIORS,WIN,1173,6,10,3,6,3,5,2,1,1,0,1,1,1,14.3
True,2022-12-17,2,-16,UTAH JAZZ,AWAY,MILWAUKEE BUCKS,LOSS,892,1,4,0,3,0,0,1,2,1,0,0,1,0,0.6
True,2022-12-19,3,-6,UTAH JAZZ,AWAY,CLEVELAND CAVALIERS,LOSS,619,1,4,1,3,0,0,0,0,0,1,0,0,0,1.6
True,2022-12-20,0,-16,UTAH JAZZ,AWAY,DETROIT PISTONS,WIN,304,0,1,0,1,0,0,0,0,0,0,0,0,1,-1.1
True,2022-12-22,0,-8,UTAH JAZZ,HOME,WASHINGTON WIZARDS,WIN,166,0,2,0,2,0,0,0,0,0,0,1,0,1,-1.1
True,2022-12-26,0,-5,UTAH JAZZ,AWAY,SAN ANTONIO SPURS,LOSS,294,0,2,0,1,0,0,0,0,0,0,0,0,2,-2.2
True,2023-01-10,0,-5,UTAH JAZZ,HOME,CLEVELAND CAVALIERS,WIN,308,0,0,0,0,0,0,0,1,0,0,0,1,1,-1.1
True,2023-01-14,3,-6,UTAH JAZZ,HOME,PHILADELPHIA 76ERS,LOSS,466,1,3,1,3,0,0,0,0,0,0,0,1,2,-0.5
True,2023-01-18,3,4,UTAH JAZZ,HOME,LOS ANGELES CLIPPERS,WIN,174,1,3,1,2,0,0,0,1,0,0,0,0,0,1.6
True,2023-01-23,3,-7,UTAH JAZZ,HOME,CHARLOTTE HORNETS,WIN,257,1,1,1,1,0,0,1,1,0,0,0,2,1,1.3
True,2023-01-25,0,2,UTAH JAZZ,AWAY,PORTLAND TRAIL BLAZERS,LOSS,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2023-02-08,9,-4,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,LOSS,1417,4,11,1,7,0,0,1,0,2,0,0,1,0,4.0
True,2023-02-10,7,10,UTAH JAZZ,AWAY,TORONTO RAPTORS,WIN,1333,2,6,1,3,2,2,0,2,2,1,0,2,2,3.8
True,2023-02-11,0,-6,UTAH JAZZ,AWAY,NEW YORK KNICKS,LOSS,267,0,1,0,1,0,0,0,0,0,0,0,0,1,-1.1
True,2023-02-13,0,15,UTAH JAZZ,AWAY,INDIANA PACERS,WIN,767,0,3,0,3,0,0,1,0,2,0,1,0,1,0.3
True,2023-02-15,7,-11,UTAH JAZZ,AWAY,MEMPHIS GRIZZLIES,LOSS,1458,3,8,1,4,0,0,2,1,2,0,0,1,3,3.5
True,2023-02-23,2,1,UTAH JAZZ,HOME,OKLAHOMA CITY THUNDER,WIN,852,1,8,0,5,0,0,0,1,1,0,0,0,2,-3.0
True,2023-02-25,11,7,UTAH JAZZ,HOME,SAN ANTONIO SPURS,WIN,777,2,4,1,2,6,6,1,0,1,1,0,0,1,11.0
True,2023-02-28,0,-7,UTAH JAZZ,HOME,SAN ANTONIO SPURS,LOSS,1187,0,7,0,5,0,0,0,0,2,1,0,3,0,-5.5
True,2023-03-03,16,-13,UTAH JAZZ,AWAY,OKLAHOMA CITY THUNDER,LOSS,1585,5,12,4,6,2,4,1,2,1,0,1,1,1,10.1
