active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2023-02-28,3,-21,UTAH JAZZ,HOME,SAN ANTONIO SPURS,LOSS,885,1,5,1,4,0,2,0,1,0,1,1,0,1,0.7
True,2023-03-03,2,-2,UTAH JAZZ,AWAY,OKLAHOMA CITY THUNDER,LOSS,303,1,2,0,1,0,0,0,0,1,0,0,0,0,1.7
True,2023-03-05,11,-11,UTAH JAZZ,AWAY,OKLAHOMA CITY THUNDER,LOSS,725,4,7,3,6,0,0,2,0,0,0,0,1,2,7.3
True,2023-03-07,5,-6,UTAH JAZZ,AWAY,DALLAS MAVERICKS,LOSS,848,2,9,1,6,0,0,0,0,0,1,1,0,0,1.2
True,2023-03-09,3,7,UTAH JAZZ,AWAY,ORLANDO MAGIC,WIN,697,1,3,1,2,0,0,0,2,0,0,1,0,2,1.8
True,2023-03-11,3,-10,UTAH JAZZ,AWAY,CHARLOTTE HORNETS,WIN,658,1,3,1,2,0,0,0,1,0,0,0,1,3,-0.6
True,2023-03-13,0,-2,UTAH JAZZ,AWAY,MIAMI HEAT,LOSS,161,0,3,0,2,0,0,0,1,0,0,0,0,0,-1.8
True,2023-03-18,3,-13,UTAH JAZZ,HOME,BOSTON CELTICS,WIN,568,1,4,1,3,0,0,0,4,1,0,0,0,1,2.1
True,2023-03-20,4,8,UTAH JAZZ,HOME,SACRAMENTO KINGS,WIN,702,2,2,0,0,0,0,0,3,0,0,0,0,0,4.3
True,2023-03-22,3,1,UTAH JAZZ,HOME,PORTLAND TRAIL BLAZERS,LOSS,793,1,2,1,2,0,0,0,0,0,0,0,0,1,1.6
True,2023-03-24,10,1,UTAH JAZZ,HOME,MILWAUKEE BUCKS,LOSS,1177,3,12,2,10,2,2,0,5,2,0,0,0,0,5.7
True,2023-03-25,2,-4,UTAH JAZZ,AWAY,SACRAMENTO KINGS,LOSS,573,1,5,0,3,0,0,1,1,0,0,0,0,0,-0.1
True,2023-03-27,5,-16,UTAH JAZZ,HOME,PHOENIX SUNS,LOSS,760,2,7,1,5,0,0,0,1,1,0,0,0,1,1.5
True,2023-03-29,10,14,UTAH JAZZ,AWAY,SAN ANTONIO SPURS,WIN,1250,5,9,0,3,0,0,0,4,2,1,0,0,0,9.3
True,2023-03-31,6,-3,UTAH JAZZ,AWAY,BOSTON CELTICS,LOSS,1016,2,7,2,5,0,0,1,3,0,0,0,0,1,3.1
True,2023-04-06,7,-21,UTAH JAZZ,HOME,OKLAHOMA CITY THUNDER,LOSS,931,3,6,1,3,0,0,1,2,1,1,0,1,1,5.6
True,2023-04-08,2,-18,UTAH JAZZ,HOME,DENVER NUGGETS,WIN,924,1,9,0,4,0,0,1,1,0,0,0,0,0,-2.9
True,2023-04-09,8,9,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,LOSS,964,4,9,0,2,0,0,2,2,0,0,0,0,0,5.3
