active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,12,12,UTAH JAZZ,HOME,DENVER NUGGETS,WIN,1420,5,5,0,0,2,6,2,8,1,1,0,1,2,12.6
True,2022-10-21,6,-3,UTAH JAZZ,AWAY,MINNESOTA TIMBERWOLVES,WIN,1062,2,3,0,0,2,3,3,2,2,0,4,1,1,9.8
True,2022-10-23,7,9,UTAH JAZZ,AWAY,NEW ORLEANS PELICANS,WIN,1336,3,6,0,0,1,2,6,3,2,0,2,0,2,10.7
True,2022-10-24,0,0,UTAH JAZZ,AWAY,HOUSTON ROCKETS,LOSS,508,0,1,0,0,0,0,0,1,0,1,1,2,4,-2.3
True,2022-10-26,4,-4,UTAH JAZZ,HOME,HOUSTON ROCKETS,WIN,663,0,1,0,0,4,4,0,1,1,0,1,1,2,3.2
True,2022-11-02,0,-2,UTAH JAZZ,AWAY,DALLAS MAVERICKS,LOSS,242,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2022-11-04,8,0,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,WIN,636,4,5,0,0,0,0,3,1,0,0,2,0,0,9.9
True,2022-11-06,4,0,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,WIN,971,2,2,0,0,0,0,1,4,0,0,2,0,1,6.3
True,2022-11-07,8,8,UTAH JAZZ,HOME,LOS ANGELES LAKERS,WIN,1092,4,6,0,0,0,0,3,6,1,0,2,0,4,9.8
True,2022-11-09,12,14,UTAH JAZZ,AWAY,ATLANTA HAWKS,WIN,980,6,6,0,0,0,1,3,3,1,0,3,0,2,14.8
True,2022-11-12,2,15,UTAH JAZZ,AWAY,WASHINGTON WIZARDS,LOSS,918,1,2,0,0,0,0,1,3,0,0,0,0,1,2.2
True,2022-11-13,2,13,UTAH JAZZ,AWAY,PHILADELPHIA 76ERS,LOSS,718,1,5,0,0,0,2,5,4,0,0,3,2,1,2.5
True,2022-11-15,8,-8,UTAH JAZZ,HOME,NEW YORK KNICKS,LOSS,1076,4,4,0,0,0,0,3,4,1,1,1,2,2,9.7
True,2022-11-18,1,-18,UTAH JAZZ,HOME,PHOENIX SUNS,WIN,1222,0,3,0,0,1,2,2,1,2,1,0,0,3,1.4
True,2022-11-19,6,-6,UTAH JAZZ,AWAY,PORTLAND TRAIL BLAZERS,WIN,640,3,3,0,0,0,0,2,3,1,0,0,0,1,7.7
True,2022-11-21,4,-4,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,713,2,2,0,0,0,0,1,1,1,0,0,1,2,3.3
True,2022-11-23,5,-4,UTAH JAZZ,HOME,DETROIT PISTONS,LOSS,1263,2,2,0,0,1,2,2,5,0,0,5,2,5,6.4
True,2022-11-25,8,2,UTAH JAZZ,AWAY,GOLDEN STATE WARRIORS,LOSS,1244,3,3,0,0,2,2,2,2,0,0,3,0,0,11.2
True,2022-11-26,3,0,UTAH JAZZ,AWAY,PHOENIX SUNS,LOSS,1008,1,1,0,0,1,2,1,3,0,0,0,0,2,3.1
True,2022-11-28,0,-3,UTAH JAZZ,HOME,CHICAGO BULLS,LOSS,321,0,0,0,0,0,0,1,2,0,0,1,1,0,1.0
True,2022-11-30,5,8,UTAH JAZZ,HOME,LOS ANGELES CLIPPERS,WIN,1312,2,3,0,0,1,3,0,4,0,0,4,1,3,4.7
True,2022-12-02,20,4,UTAH JAZZ,HOME,INDIANA PACERS,WIN,1496,7,7,0,0,6,8,4,7,1,0,2,1,4,21.5
True,2022-12-03,8,-10,UTAH JAZZ,HOME,PORTLAND TRAIL BLAZERS,LOSS,991,4,4,0,0,0,0,2,6,0,0,3,0,3,10.9
True,2022-12-07,10,0,UTAH JAZZ,HOME,GOLDEN STATE WARRIORS,WIN,1439,5,6,0,0,0,0,4,8,1,0,5,1,4,14.6
True,2022-12-09,6,0,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,LOSS,1284,3,4,0,0,0,0,3,4,0,1,0,1,3,6.5
True,2022-12-10,10,4,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,1324,4,6,0,0,2,3,2,6,0,0,3,0,2,11.5
True,2022-12-13,11,9,UTAH JAZZ,HOME,NEW ORLEANS PELICANS,WIN,1398,5,10,0,0,1,2,6,10,0,0,3,0,2,14.1
True,2022-12-15,11,12,UTAH JAZZ,HOME,NEW ORLEANS PELICANS,WIN,1699,4,4,0,0,3,4,2,6,1,1,3,2,5,12.4
True,2022-12-17,4,-9,UTAH JAZZ,AWAY,MILWAUKEE BUCKS,LOSS,864,2,2,0,0,0,0,1,2,1,0,1,0,0,6.1
True,2022-12-19,11,-9,UTAH JAZZ,AWAY,CLEVELAND CAVALIERS,LOSS,1529,5,5,0,0,1,4,2,4,1,1,2,1,5,11.0
True,2022-12-20,10,7,UTAH JAZZ,AWAY,DETROIT PISTONS,WIN,1631,5,7,0,0,0,2,4,4,1,0,2,1,3,10.2
True,2022-12-22,12,16,UTAH JAZZ,HOME,WASHINGTON WIZARDS,WIN,1943,5,7,0,0,2,2,5,9,1,0,2,1,2,15.6
True,2022-12-26,7,-2,UTAH JAZZ,AWAY,SAN ANTONIO SPURS,LOSS,1265,2,4,0,0,3,6,2,2,0,0,0,0,4,4.2
True,2022-12-28,6,-4,UTAH JAZZ,AWAY,GOLDEN STATE WARRIORS,LOSS,1209,2,4,0,0,2,4,3,3,1,0,3,0,1,8.6
True,2022-12-30,11,17,UTAH JAZZ,AWAY,SACRAMENTO KINGS,LOSS,1411,5,5,0,0,1,2,1,7,1,0,0,1,2,10.8
True,2022-12-31,5,8,UTAH JAZZ,HOME,MIAMI HEAT,LOSS,1821,2,6,0,0,1,2,6,6,0,1,3,1,2,8.5
True,2023-01-03,6,-5,UTAH JAZZ,HOME,SACRAMENTO KINGS,LOSS,1042,2,3,0,0,2,2,1,6,0,2,1,1,3,7.7
True,2023-01-05,8,6,UTAH JAZZ,AWAY,HOUSTON ROCKETS,WIN,1036,4,6,0,0,0,0,2,2,1,1,2,0,1,10.1
True,2023-01-07,4,-1,UTAH JAZZ,AWAY,CHICAGO BULLS,LOSS,796,2,3,0,0,0,0,2,5,1,0,0,1,5,3.3
True,2023-01-08,10,-6,UTAH JAZZ,AWAY,MEMPHIS GRIZZLIES,LOSS,1408,5,7,0,0,0,0,3,8,1,0,6,1,1,15.1
True,2023-01-10,6,6,UTAH JAZZ,HOME,CLEVELAND CAVALIERS,WIN,1823,3,9,0,0,0,0,6,5,2,0,1,1,4,6.1
