active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,17,4,UTAH JAZZ,HOME,DENVER NUGGETS,WIN,1983,6,12,3,7,2,2,0,4,4,2,0,1,3,14.8
True,2022-10-21,24,7,UTAH JAZZ,AWAY,MINNESOTA TIMBERWOLVES,WIN,2348,10,23,2,10,2,2,5,8,5,0,1,1,1,20.6
True,2022-10-23,31,6,UTAH JAZZ,AWAY,NEW ORLEANS PELICANS,WIN,2356,9,17,2,6,11,11,3,9,2,2,1,2,3,28.4
True,2022-10-24,14,1,UTAH JAZZ,AWAY,HOUSTON ROCKETS,LOSS,1854,7,19,0,6,0,3,3,3,1,0,0,1,0,5.0
True,2022-10-26,24,10,UTAH JAZZ,HOME,HOUSTON ROCKETS,WIN,2040,10,15,1,4,3,4,1,8,3,0,1,4,1,18.6
True,2022-10-28,17,-10,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,1556,7,14,3,6,0,0,2,8,1,0,0,3,3,10.3
True,2022-10-29,23,9,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,WIN,2276,9,21,2,9,3,3,2,7,5,1,1,2,1,18.2
True,2022-10-31,31,15,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,WIN,1894,11,15,4,6,5,6,4,7,2,1,4,2,2,31.8
True,2022-11-02,14,3,UTAH JAZZ,AWAY,DALLAS MAVERICKS,LOSS,2012,6,10,0,4,2,3,0,7,0,0,0,2,3,7.9
True,2022-11-04,27,4,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,WIN,1962,9,17,3,9,6,6,3,10,4,1,1,1,1,26.9
True,2022-11-06,18,8,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,WIN,2001,5,9,1,3,7,7,2,7,3,1,1,2,3,17.8
True,2022-11-07,23,14,UTAH JAZZ,HOME,LOS ANGELES LAKERS,WIN,1664,10,15,1,4,2,3,1,2,2,0,1,1,2,17.7
True,2022-11-09,32,-12,UTAH JAZZ,AWAY,ATLANTA HAWKS,WIN,1881,9,18,6,8,8,8,2,6,0,0,1,3,2,23.1
True,2022-11-12,17,-23,UTAH JAZZ,AWAY,WASHINGTON WIZARDS,LOSS,1873,8,14,1,3,0,0,1,4,1,0,2,1,0,13.4
True,2022-11-13,15,-15,UTAH JAZZ,AWAY,PHILADELPHIA 76ERS,LOSS,2048,6,13,2,5,1,4,3,7,0,0,0,4,1,6.9
True,2022-11-15,13,16,UTAH JAZZ,HOME,NEW YORK KNICKS,LOSS,1772,5,11,2,5,1,2,4,2,4,0,2,2,4,10.9
True,2022-11-18,38,5,UTAH JAZZ,HOME,PHOENIX SUNS,WIN,2076,15,18,2,3,6,8,1,5,3,1,0,1,2,34.1
True,2022-11-19,23,-2,UTAH JAZZ,AWAY,PORTLAND TRAIL BLAZERS,WIN,1948,7,13,3,5,6,8,3,7,2,1,0,3,4,17.9
True,2022-11-21,25,14,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,2329,10,21,1,5,4,4,7,3,3,1,1,2,1,21.5
True,2022-11-23,13,-3,UTAH JAZZ,HOME,DETROIT PISTONS,LOSS,2062,4,13,3,7,2,2,0,8,2,0,0,3,3,5.1
True,2022-11-25,24,12,UTAH JAZZ,AWAY,GOLDEN STATE WARRIORS,LOSS,2232,9,17,5,11,1,1,3,3,1,0,0,4,3,14.2
True,2022-11-26,15,2,UTAH JAZZ,AWAY,PHOENIX SUNS,LOSS,2137,4,13,2,8,5,7,1,9,2,0,0,2,3,8.3
True,2022-11-28,32,-3,UTAH JAZZ,HOME,CHICAGO BULLS,LOSS,2274,12,18,7,11,1,2,2,7,1,0,0,2,1,25.6
True,2022-11-30,23,6,UTAH JAZZ,HOME,LOS ANGELES CLIPPERS,WIN,2181,7,11,4,7,5,5,1,8,2,0,0,1,3,20.4
True,2022-12-02,24,19,UTAH JAZZ,HOME,INDIANA PACERS,WIN,1993,8,15,5,9,3,4,2,11,3,1,0,1,1,22.7
True,2022-12-03,21,6,UTAH JAZZ,HOME,PORTLAND TRAIL BLAZERS,LOSS,2129,4,10,4,6,9,9,1,5,2,3,1,5,2,17.1
True,2022-12-13,19,23,UTAH JAZZ,HOME,NEW ORLEANS PELICANS,WIN,1852,8,16,2,7,1,2,2,9,1,1,1,2,3,13.9
True,2022-12-15,31,-3,UTAH JAZZ,HOME,NEW ORLEANS PELICANS,WIN,2529,8,15,5,9,10,10,0,5,3,0,0,2,5,23.3
True,2022-12-17,18,-14,UTAH JAZZ,AWAY,MILWAUKEE BUCKS,LOSS,1694,7,13,3,6,1,1,1,3,2,0,0,0,2,13.9
True,2022-12-19,24,-21,UTAH JAZZ,AWAY,CLEVELAND CAVALIERS,LOSS,1914,7,12,3,6,7,10,1,5,1,2,0,2,2,19.3
True,2022-12-20,38,20,UTAH JAZZ,AWAY,DETROIT PISTONS,WIN,2147,13,20,9,13,3,4,0,5,1,1,0,1,3,29.8
True,2022-12-22,21,22,UTAH JAZZ,HOME,WASHINGTON WIZARDS,WIN,1755,7,14,4,9,3,3,0,5,1,0,0,1,4,13.6
True,2022-12-26,32,-2,UTAH JAZZ,AWAY,SAN ANTONIO SPURS,LOSS,2265,8,18,3,10,13,13,1,11,1,0,2,0,2,27.9
True,2022-12-28,29,2,UTAH JAZZ,AWAY,GOLDEN STATE WARRIORS,LOSS,2148,10,22,7,13,2,3,2,14,1,1,0,2,1,22.1
True,2022-12-30,36,-1,UTAH JAZZ,AWAY,SACRAMENTO KINGS,LOSS,2065,16,24,1,7,3,3,1,4,0,0,0,1,0,26.5
True,2022-12-31,29,-1,UTAH JAZZ,HOME,MIAMI HEAT,LOSS,2162,7,15,3,7,12,12,5,9,0,1,0,1,2,26.7
True,2023-01-03,28,-6,UTAH JAZZ,HOME,SACRAMENTO KINGS,LOSS,2162,6,15,1,7,15,15,0,8,1,0,0,2,2,20.2
True,2023-01-05,49,16,UTAH JAZZ,AWAY,HOUSTON ROCKETS,WIN,2169,15,27,6,15,13,13,1,7,1,0,1,0,0,40.3
True,2023-01-07,28,0,UTAH JAZZ,AWAY,CHICAGO BULLS,LOSS,2186,12,20,2,7,2,3,1,3,3,3,0,2,3,21.9
True,2023-01-08,21,0,UTAH JAZZ,AWAY,MEMPHIS GRIZZLIES,LOSS,1758,8,18,1,4,4,4,1,7,1,0,2,1,1,15.1
True,2023-01-10,25,7,UTAH JAZZ,HOME,CLEVELAND CAVALIERS,WIN,2359,6,18,1,5,12,14,3,13,1,1,0,1,2,19.9
True,2023-01-13,28,8,UTAH JAZZ,HOME,ORLANDO MAGIC,WIN,2170,4,13,3,6,17,21,1,11,2,1,1,5,2,20.2
True,2023-01-18,34,26,UTAH JAZZ,HOME,LOS ANGELES CLIPPERS,WIN,1998,11,20,6,8,6,6,2,10,1,1,2,0,3,30.7
True,2023-01-20,22,-21,UTAH JAZZ,HOME,BROOKLYN NETS,LOSS,2205,8,16,6,10,0,0,2,9,1,1,0,2,0,17.8
True,2023-01-23,25,23,UTAH JAZZ,HOME,CHARLOTTE HORNETS,WIN,1943,8,14,4,8,5,6,0,11,2,1,1,2,3,21.2
True,2023-01-25,24,2,UTAH JAZZ,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2050,7,16,3,6,7,8,1,3,1,0,0,0,0,17.5
True,2023-01-28,29,7,UTAH JAZZ,HOME,DALLAS MAVERICKS,WIN,2160,11,20,4,8,3,4,0,5,0,1,1,1,2,20.4
True,2023-02-01,28,-1,UTAH JAZZ,HOME,TORONTO RAPTORS,WIN,2133,7,13,4,9,10,10,2,11,1,1,1,4,3,23.6
True,2023-02-03,25,3,UTAH JAZZ,HOME,ATLANTA HAWKS,LOSS,2213,8,19,3,11,6,7,4,6,1,0,0,0,1,19.4
True,2023-02-06,19,-23,UTAH JAZZ,HOME,DALLAS MAVERICKS,LOSS,2175,9,17,1,7,0,0,1,6,0,2,1,2,6,11.5
True,2023-02-08,21,-32,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,LOSS,1404,8,16,3,7,2,2,1,4,3,0,0,2,2,14.2
True,2023-02-10,23,12,UTAH JAZZ,AWAY,TORONTO RAPTORS,WIN,2288,9,20,2,7,3,3,2,7,5,1,0,3,3,16.4
True,2023-02-11,29,1,UTAH JAZZ,AWAY,NEW YORK KNICKS,LOSS,2097,9,23,3,10,8,10,4,1,3,0,3,0,1,22.6
True,2023-02-13,29,3,UTAH JAZZ,AWAY,INDIANA PACERS,WIN,2192,10,20,2,9,7,7,1,10,2,0,0,3,1,20.7
True,2023-02-23,43,14,UTAH JAZZ,HOME,OKLAHOMA CITY THUNDER,WIN,2426,15,28,3,12,10,10,5,5,2,0,0,4,3,30.6
True,2023-02-25,27,7,UTAH JAZZ,HOME,SAN ANTONIO SPURS,WIN,1929,9,17,3,7,6,6,1,3,2,0,0,2,1,19.3
True,2023-02-28,28,5,UTAH JAZZ,HOME,SAN ANTONIO SPURS,LOSS,2103,9,21,4,8,6,8,3,7,1,1,0,3,1,18.6
True,2023-03-03,20,-26,UTAH JAZZ,AWAY,OKLAHOMA CITY THUNDER,LOSS,1777,6,14,0,5,8,11,4,6,2,0,1,6,3,10.9
True,2023-03-07,33,-9,UTAH JAZZ,AWAY,DALLAS MAVERICKS,LOSS,2340,12,20,5,9,4,7,2,4,2,2,1,2,4,25.7
