active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,8,-8,UTAH JAZZ,HOME,DENVER NUGGETS,WIN,896,3,5,2,3,0,0,0,0,1,0,0,3,5,1.4
True,2022-10-21,21,7,UTAH JAZZ,AWAY,MINNESOTA TIMBERWOLVES,WIN,2075,8,14,5,6,0,0,1,2,3,4,1,4,6,16.1
True,2022-10-23,20,-8,UTAH JAZZ,AWAY,NEW ORLEANS PELICANS,WIN,2237,7,12,2,3,4,5,1,2,5,1,0,1,4,17.2
True,2022-10-24,13,8,UTAH JAZZ,AWAY,HOUSTON ROCKETS,LOSS,1604,4,5,2,2,3,4,3,6,4,0,0,5,2,11.6
True,2022-10-26,4,8,UTAH JAZZ,HOME,HOUSTON ROCKETS,WIN,1754,1,8,0,2,2,6,3,5,6,1,0,4,6,-0.4
True,2022-10-28,7,-5,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,1228,3,6,1,3,0,0,1,2,3,1,1,1,4,6.5
True,2022-10-29,23,6,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,WIN,2054,8,10,4,6,3,3,0,3,4,2,3,4,4,21.4
True,2022-10-31,7,5,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,WIN,1273,2,7,0,3,3,4,1,2,1,4,1,2,6,4.8
True,2022-11-02,6,3,UTAH JAZZ,AWAY,DALLAS MAVERICKS,LOSS,1364,3,5,0,1,0,0,2,3,4,1,0,1,5,6.8
True,2022-11-04,18,17,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,WIN,1814,7,10,3,3,1,2,2,2,3,1,0,0,4,16.9
True,2022-11-06,9,10,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,WIN,1767,2,4,1,2,4,4,0,4,4,1,0,3,5,7.0
True,2022-11-07,10,8,UTAH JAZZ,HOME,LOS ANGELES LAKERS,WIN,1366,3,4,0,0,4,4,0,3,2,2,1,4,2,8.6
True,2022-11-09,14,-11,UTAH JAZZ,AWAY,ATLANTA HAWKS,WIN,1235,6,10,1,3,1,2,3,3,2,0,0,2,3,10.2
True,2022-11-12,10,-20,UTAH JAZZ,AWAY,WASHINGTON WIZARDS,LOSS,1695,4,10,2,5,0,0,0,5,4,0,0,2,4,5.3
True,2022-11-13,14,-16,UTAH JAZZ,AWAY,PHILADELPHIA 76ERS,LOSS,1760,4,9,0,4,6,6,1,5,1,1,0,2,5,9.2
True,2022-11-15,27,-7,UTAH JAZZ,HOME,NEW YORK KNICKS,LOSS,1717,7,13,2,5,11,13,2,9,2,1,0,3,5,21.4
True,2022-11-18,5,19,UTAH JAZZ,HOME,PHOENIX SUNS,WIN,1196,2,5,0,1,1,1,1,3,2,1,0,4,5,0.3
True,2022-11-19,5,7,UTAH JAZZ,AWAY,PORTLAND TRAIL BLAZERS,WIN,1860,2,6,1,3,0,0,2,4,4,0,3,1,3,6.9
True,2022-11-21,19,-4,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,1898,6,7,3,3,4,4,3,4,4,2,0,1,4,22.0
True,2022-11-23,8,1,UTAH JAZZ,HOME,DETROIT PISTONS,LOSS,2108,4,7,0,2,0,0,1,2,6,2,1,0,2,12.1
True,2022-11-25,21,-19,UTAH JAZZ,AWAY,GOLDEN STATE WARRIORS,LOSS,1988,9,13,3,6,0,0,2,2,1,1,2,1,3,18.4
True,2022-11-26,10,6,UTAH JAZZ,AWAY,PHOENIX SUNS,LOSS,2005,3,7,1,4,3,4,1,5,3,2,1,0,3,11.7
True,2022-11-28,23,-4,UTAH JAZZ,HOME,CHICAGO BULLS,LOSS,2001,8,13,5,10,2,3,2,2,4,1,2,2,2,21.1
